0.734473705291748:	servo;	-1
5.62181830406189:	state;	ang v,	0.00346008723057|	vy,	0.0|	y,	42.42734146325518|	timestamp,	4.878753185272217|	x,	-71.42086260174001|	vx,	0.0|	angle,	1.81866238363
5.666174411773682:	imu;	yaw,	-0.09053895622491837
5.679894924163818:	state;	ang v,	-0.0153396556409|	vy,	0.0|	y,	42.427343078823974|	timestamp,	4.935141563415527|	x,	-71.42086432599693|	vx,	0.0|	angle,	1.85178253819
5.708815813064575:	imu;	yaw,	-0.08944812417030334
5.735738039016724:	state;	ang v,	0.0142225754864|	vy,	0.0|	y,	42.42734462200209|	timestamp,	4.990821599960327|	x,	-71.42086597299317|	vx,	0.0|	angle,	1.8830183342
5.792983293533325:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
5.829078435897827:	imu;	yaw,	-0.09053895622491837
5.839643955230713:	state;	ang v,	-0.00925383366602|	vy,	0.0|	y,	42.4273470738589|	timestamp,	5.096795082092285|	x,	-71.42086858980016|	vx,	0.0|	angle,	1.92653784881
5.841820240020752:	imu;	yaw,	-0.08944812417030334
5.8964550495147705:	state;	ang v,	0.0153201306419|	vy,	0.0|	y,	42.42734874683542|	timestamp,	5.152771472930908|	x,	-71.42087037532738|	vx,	0.0|	angle,	1.95345765916
5.990218639373779:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
6.086000680923462:	state;	ang v,	0.0187760395143|	vy,	0.0|	y,	42.42735051752612|	timestamp,	5.342361211776733|	x,	-71.42087226514269|	vx,	0.0|	angle,	1.97880385719
6.193343877792358:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
6.246928691864014:	state;	ang v,	0.0193710555571|	vy,	0.0|	y,	42.42735229501006|	timestamp,	5.502824306488037|	x,	-71.42087416220839|	vx,	0.0|	angle,	2.00265980289
6.389392375946045:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
6.404472827911377:	state;	ang v,	0.0194836752061|	vy,	0.0|	y,	42.427354077627335|	timestamp,	5.660735607147217|	x,	-71.42087606475295|	vx,	0.0|	angle,	2.02510606896
6.791644811630249:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
6.836793422698975:	state;	ang v,	0.0195058265466|	vy,	0.0|	y,	42.4273558637764|	timestamp,	6.093672752380371|	x,	-71.42087797106701|	vx,	0.0|	angle,	2.04622011041
6.990960597991943:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
7.001131534576416:	state;	ang v,	0.0195115051102|	vy,	0.0|	y,	42.427357651914875|	timestamp,	6.2564849853515625|	x,	-71.42087987950448|	vx,	0.0|	angle,	2.06607615148
7.19125509262085:	gps;	long,	-71.42098236083984|	lat,	42.4275016784668
7.246186256408691:	state;	ang v,	0.0195129618841|	vy,	0.0|	y,	42.427359440560494|	timestamp,	6.502241611480713|	x,	-71.42088178848336|	vx,	0.0|	angle,	2.08474512924
7.246635913848877:	motors;	5.61042573631e-05
