4.842096328735352:	state;	x,	-71.42084371727788|	vy,	-9.91125661595e-05|	ang v,	-0.0157461741216|	vx,	-9.91125661595e-05|	angle,	2.18586891803|	y,	42.427309432886545|	timestamp,	4.289376258850098
4.951184272766113:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
5.023489952087402:	motors;	-100
5.03119158744812:	state;	x,	-71.4208441402203|	vy,	-7.3787526986e-05|	ang v,	-0.0157703721283|	vx,	-7.3787526986e-05|	angle,	2.1971652978|	y,	42.427309667806256|	timestamp,	4.477415323257446
5.081366777420044:	servo;	-3
5.103725910186768:	servo;	-9
5.105367422103882:	imu;	yaw,	4.568399429321289
5.111061096191406:	imu;	yaw,	4.564035892486572
5.1142237186431885:	servo;	-12
5.119721174240112:	imu;	yaw,	4.559672832489014
5.125488042831421:	servo;	-16
5.1287031173706055:	imu;	yaw,	4.561854362487793
5.133892774581909:	servo;	-17
5.137678384780884:	state;	x,	-71.42084411421452|	vy,	0.529999871508|	ang v,	0.624165040249|	vx,	0.529999871508|	angle,	2.30195093056|	y,	42.42731018383856|	timestamp,	4.581361770629883
5.140891790390015:	imu;	yaw,	4.565126895904541
5.142556667327881:	servo;	-18
5.150338888168335:	servo;	-19
5.151529788970947:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
5.161007404327393:	imu;	yaw,	4.562945365905762
5.171900510787964:	imu;	yaw,	4.561854362487793
5.173085689544678:	servo;	-20
5.178370952606201:	imu;	yaw,	4.560763359069824
5.1853508949279785:	encoder;	counts,	-1
5.1919121742248535:	imu;	yaw,	4.559672832489014
5.209868431091309:	imu;	yaw,	4.558581829071045
5.226017236709595:	servo;	-21
5.229491710662842:	imu;	yaw,	4.557490825653076
5.22989821434021:	imu;	yaw,	4.556400299072266
5.2526161670684814:	imu;	yaw,	4.554218769073486
5.264477729797363:	state;	x,	-71.42084452120972|	vy,	-0.00251787684185|	ang v,	1.14076137104|	vx,	0.0132527198164|	angle,	2.51752309635|	y,	42.427310935508864|	timestamp,	4.71059775352478
5.303416013717651:	imu;	yaw,	4.552036762237549
5.304400205612183:	imu;	yaw,	4.550946235656738
5.319324493408203:	servo;	-22
5.32047963142395:	imu;	yaw,	4.5498552322387695
5.325782060623169:	state;	x,	-71.42084461343241|	vy,	0.193933515569|	ang v,	1.18197604595|	vx,	0.209704304601|	angle,	2.61439313598|	y,	42.42731138954241|	timestamp,	4.772751331329346
5.327227830886841:	servo;	-23
5.333123207092285:	imu;	yaw,	4.550946235656738
5.3402488231658936:	imu;	yaw,	4.552036762237549
5.34126877784729:	servo;	-24
5.361590623855591:	encoder;	counts,	-2
5.362612724304199:	imu;	yaw,	4.553127765655518
5.375165700912476:	gps;	long,	-71.4208755493164|	lat,	42.427330017089844
5.375775098800659:	imu;	yaw,	4.555309295654297
5.379394054412842:	imu;	yaw,	4.557490825653076
5.391040325164795:	imu;	yaw,	4.558581829071045
5.4002180099487305:	state;	x,	-71.42084507538677|	vy,	-0.143172108958|	ang v,	1.22476377924|	vx,	0.34661894946|	angle,	2.7255431877|	y,	42.42731212847452|	timestamp,	4.846404552459717
5.405406713485718:	imu;	yaw,	4.559672832489014
5.4281394481658936:	imu;	yaw,	4.560763359069824
5.431786060333252:	imu;	yaw,	4.564035892486572
5.432993412017822:	imu;	yaw,	4.565126895904541
5.440276384353638:	imu;	yaw,	4.56621789932251
5.452391862869263:	imu;	yaw,	4.568399429321289
5.461140871047974:	state;	x,	-71.42084511713881|	vy,	0.0962918269107|	ang v,	1.1655245002|	vx,	0.586106353753|	angle,	2.82475909525|	y,	42.427312624665504|	timestamp,	4.906710863113403
5.462470054626465:	imu;	yaw,	4.569490432739258
5.467227220535278:	encoder;	counts,	-3
5.492509841918945:	imu;	yaw,	4.573853492736816
5.493280649185181:	imu;	yaw,	4.576035022735596
5.5009191036224365:	imu;	yaw,	4.579307556152344
5.510327339172363:	imu;	yaw,	4.5803985595703125
