-1:	dummy;	3.4.0	1.8.4	0	1	0	0
0.08556103706359863:	dummy;	0.076819	8	-24	80
0.19485902786254883:	time lag;	0.08556	0.07682
0.08557796478271484:	dummy;	0.077778	8	-24	80
0.19489717483520508:	time lag;	0.08558	0.07778
0.08558297157287598:	dummy;	0.078736	8	-24	80
0.19494295120239258:	time lag;	0.08558	0.07874
0.08558797836303711:	dummy;	0.07969299	8	-24	80
0.19498109817504883:	time lag;	0.08559	0.07969
0.08559298515319824:	dummy;	0.08065001	8	-24	80
0.19502902030944824:	time lag;	0.08559	0.08065
0.08559703826904297:	dummy;	0.08161	8	-24	80
0.19506597518920898:	time lag;	0.08560	0.08161
0.085601806640625:	dummy;	0.08256599	8	-24	80
0.19510412216186523:	time lag;	0.08560	0.08257
0.08560681343078613:	dummy;	0.083522	8	-24	80
0.19514203071594238:	time lag;	0.08561	0.08352
0.08561086654663086:	dummy;	0.084472	8	-24	80
0.1952381134033203:	time lag;	0.08561	0.08447
0.08561587333679199:	dummy;	0.085424	9	-24	81
0.19527697563171387:	time lag;	0.08562	0.08542
0.08562302589416504:	dummy;	0.086368	10	-24	82
0.19531512260437012:	time lag;	0.08562	0.08637
0.08562994003295898:	dummy;	0.087327	11	-24	83
0.19535303115844727:	time lag;	0.08563	0.08733
0.08563399314880371:	dummy;	0.088283	12	-24	84
0.19539117813110352:	time lag;	0.08563	0.08828
0.08563899993896484:	dummy;	0.089241	12	-24	84
0.19546008110046387:	time lag;	0.08564	0.08924
0.08564400672912598:	dummy;	0.0902	12	-24	84
0.19551706314086914:	time lag;	0.08564	0.09020
0.0856478214263916:	dummy;	0.09114	12	-24	84
0.1955699920654297:	time lag;	0.08565	0.09114
0.08565282821655273:	dummy;	0.092096	12	-24	84
0.19562816619873047:	time lag;	0.08565	0.09210
0.08662080764770508:	dummy;	0.093054	12	-24	84
0.19566798210144043:	time lag;	0.08662	0.09305
0.08768081665039062:	dummy;	0.094011	12	-24	84
0.19570708274841309:	time lag;	0.08768	0.09401
0.0888528823852539:	dummy;	0.094969	12	-24	84
0.1957709789276123:	time lag;	0.08885	0.09497
0.08987092971801758:	dummy;	0.095928	12	-24	84
0.19580912590026855:	time lag;	0.08987	0.09593
0.09108996391296387:	dummy;	0.09688601	12	-24	84
0.1958470344543457:	time lag;	0.09109	0.09689
0.09320688247680664:	dummy;	0.097844	12	-24	84
0.19589710235595703:	time lag;	0.09321	0.09784
0.09321880340576172:	dummy;	0.098803	12	-24	84
0.19593501091003418:	time lag;	0.09322	0.09880
0.09438586235046387:	dummy;	0.099762	12	-24	84
0.19597506523132324:	time lag;	0.09439	0.09976
0.09555196762084961:	dummy;	0.100721	11	-22	83
0.1960129737854004:	time lag;	0.09555	0.10072
0.09556388854980469:	dummy;	0.101677	10	-20	82
0.19605302810668945:	time lag;	0.09556	0.10168
0.09654402732849121:	dummy;	0.102635	9	-18	81
0.1960921287536621:	time lag;	0.09654	0.10264
0.09655284881591797:	dummy;	0.103593	8	-16	80
0.19613003730773926:	time lag;	0.09655	0.10359
0.09769082069396973:	dummy;	0.104551	8	-16	80
0.1961681842803955:	time lag;	0.09769	0.10455
0.09882593154907227:	dummy;	0.105507	8	-16	80
0.19620609283447266:	time lag;	0.09883	0.10551
0.09999990463256836:	dummy;	0.106447	8	-16	80
0.1962440013885498:	time lag;	0.10000	0.10645
0.19334197044372559:	dummy;	0.107391	8	-16	80
0.2486269474029541:	time lag;	0.19334	0.10739
0.19358491897583008:	dummy;	0.108349	8	-16	80
0.2487649917602539:	time lag;	0.19358	0.10835
0.19359493255615234:	dummy;	0.109305	8	-16	80
0.2488231658935547:	time lag;	0.19359	0.10930
0.19359898567199707:	dummy;	0.110262	8	-16	80
0.2488720417022705:	time lag;	0.19360	0.11026
0.1936018466949463:	dummy;	0.111217	8	-16	80
0.24891901016235352:	time lag;	0.19360	0.11122
0.19360589981079102:	dummy;	0.112171	8	-16	80
0.24896597862243652:	time lag;	0.19361	0.11217
0.19360899925231934:	dummy;	0.113114	8	-16	80
0.24901103973388672:	time lag;	0.19361	0.11311
0.19361186027526855:	dummy;	0.114072	8	-16	80
0.2490551471710205:	time lag;	0.19361	0.11407
0.19361591339111328:	dummy;	0.115027	8	-16	80
0.2490990161895752:	time lag;	0.19362	0.11503
0.1936190128326416:	dummy;	0.115985	8	-16	80
0.24914312362670898:	time lag;	0.19362	0.11599
0.19362187385559082:	dummy;	0.116942	10	-18	82
0.24918603897094727:	time lag;	0.19362	0.11694
0.19362497329711914:	dummy;	0.1179	12	-20	84
0.24922895431518555:	time lag;	0.19362	0.11790
0.19362783432006836:	dummy;	0.118855	14	-22	86
0.24927306175231934:	time lag;	0.19363	0.11886
0.19363093376159668:	dummy;	0.119814	16	-24	88
0.24931716918945312:	time lag;	0.19363	0.11981
0.1936349868774414:	dummy;	0.120772	16	-24	88
0.249359130859375:	time lag;	0.19363	0.12077
0.19365382194519043:	dummy;	0.12173	16	-24	88
0.2494029998779297:	time lag;	0.19365	0.12173
0.19367098808288574:	dummy;	0.122687	16	-24	88
0.24946308135986328:	time lag;	0.19367	0.12269
0.19367384910583496:	dummy;	0.123646	16	-24	88
0.24954795837402344:	time lag;	0.19367	0.12365
0.19367694854736328:	dummy;	0.124604	16	-24	88
0.24960613250732422:	time lag;	0.19368	0.12460
0.19369196891784668:	dummy;	0.125563	16	-24	88
0.24965596199035645:	time lag;	0.19369	0.12556
0.1936948299407959:	dummy;	0.12652	16	-24	88
0.24970412254333496:	time lag;	0.19369	0.12652
0.19369792938232422:	dummy;	0.12747	16	-24	88
0.24975013732910156:	time lag;	0.19370	0.12747
0.19371294975280762:	dummy;	0.128421	16	-24	88
0.24979400634765625:	time lag;	0.19371	0.12842
0.19371795654296875:	dummy;	0.129367	16	-24	88
0.24983811378479004:	time lag;	0.19372	0.12937
0.19372081756591797:	dummy;	0.130324	16	-24	88
0.24988198280334473:	time lag;	0.19372	0.13032
0.1937239170074463:	dummy;	0.131282	16	-24	88
0.24992609024047852:	time lag;	0.19372	0.13128
0.19372892379760742:	dummy;	0.132239	14	-23	86
0.2499699592590332:	time lag;	0.19373	0.13224
0.19376897811889648:	dummy;	0.133198	12	-22	84
0.2500131130218506:	time lag;	0.19377	0.13320
0.19378900527954102:	dummy;	0.134139	10	-21	82
0.25005602836608887:	time lag;	0.19379	0.13414
0.19379281997680664:	dummy;	0.135097	8	-20	80
0.25010013580322266:	time lag;	0.19379	0.13510
0.19379782676696777:	dummy;	0.136052	8	-20	80
0.25014305114746094:	time lag;	0.19380	0.13605
0.19380402565002441:	dummy;	0.137009	8	-20	80
0.2501859664916992:	time lag;	0.19380	0.13701
0.19382190704345703:	dummy;	0.137965	8	-20	80
0.2502291202545166:	time lag;	0.19382	0.13797
0.19383883476257324:	dummy;	0.138924	8	-20	80
0.2502720355987549:	time lag;	0.19384	0.13892
0.19384384155273438:	dummy;	0.13988	8	-20	80
0.25031495094299316:	time lag;	0.19384	0.13988
0.1938488483428955:	dummy;	0.140836	8	-20	80
0.25035810470581055:	time lag;	0.19385	0.14084
0.19385194778442383:	dummy;	0.141792	8	-20	80
0.2504000663757324:	time lag;	0.19385	0.14179
0.19385480880737305:	dummy;	0.142751	8	-20	80
0.25048303604125977:	time lag;	0.19385	0.14275
0.19385886192321777:	dummy;	0.143708	8	-20	80
0.25055503845214844:	time lag;	0.19386	0.14371
0.1938629150390625:	dummy;	0.144665	8	-20	80
0.2506110668182373:	time lag;	0.19386	0.14466
0.19386696815490723:	dummy;	0.145621	8	-20	80
0.2506589889526367:	time lag;	0.19387	0.14562
