13.191384077072144:	gps;	long,	-79.9503402709961|	lat,	40.447269439697266|	fix,	True
13.380714893341064:	imu;	yaw,	-0.05890486389398575|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
13.391453266143799:	gps;	long,	-79.9503402709961|	lat,	40.447269439697266|	fix,	True
13.591856002807617:	gps;	long,	-79.9503402709961|	lat,	40.447269439697266|	fix,	True
13.70067834854126:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
14.292057037353516:	gps;	long,	-79.9503402709961|	lat,	40.447269439697266|	fix,	True
14.303564548492432:	gps;	long,	-79.9503402709961|	lat,	40.447269439697266|	fix,	True
14.402223587036133:	gps;	long,	-79.9503402709961|	lat,	40.447269439697266|	fix,	True
14.595895051956177:	gps;	long,	-79.9503402709961|	lat,	40.447269439697266|	fix,	True
14.601925134658813:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
14.792282104492188:	gps;	long,	-79.9503402709961|	lat,	40.447269439697266|	fix,	True
14.801557064056396:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
14.8206787109375:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
14.83118987083435:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
14.910757303237915:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
14.921238422393799:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
14.931685209274292:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
14.941733837127686:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
14.951450109481812:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
14.993288040161133:	gps;	long,	-79.9503402709961|	lat,	40.447269439697266|	fix,	True
15.002586364746094:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
15.13085126876831:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
15.141521692276001:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
15.15257978439331:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
15.1924467086792:	gps;	long,	-79.9503402709961|	lat,	40.447269439697266|	fix,	True
15.20285439491272:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
15.393115043640137:	gps;	long,	-79.95034790039062|	lat,	40.447265625|	fix,	True
15.404122829437256:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
15.592810869216919:	gps;	long,	-79.95034790039062|	lat,	40.447265625|	fix,	True
15.60073208808899:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
15.792658805847168:	gps;	long,	-79.95034790039062|	lat,	40.447265625|	fix,	True
15.994175910949707:	gps;	long,	-79.95034790039062|	lat,	40.447265625|	fix,	True
16.19244909286499:	gps;	long,	-79.95034790039062|	lat,	40.447265625|	fix,	True
16.220791816711426:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
16.310555696487427:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
16.391555070877075:	gps;	long,	-79.95034790039062|	lat,	40.447265625|	fix,	True
17.092796564102173:	gps;	long,	-79.95034790039062|	lat,	40.447265625|	fix,	True
17.101851224899292:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
17.108908891677856:	gps;	long,	-79.95034790039062|	lat,	40.447265625|	fix,	True
17.19453263282776:	gps;	long,	-79.95038604736328|	lat,	40.447261810302734|	fix,	True
17.20261812210083:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
17.211548328399658:	imu;	yaw,	-0.05781403183937073|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
