1.1673357486724854:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.197437047958374:	controller;	angle_command,	-0.694258399438|	speed_command,	1.0
1.1974983215332031:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.2274620532989502:	controller;	angle_command,	-0.694258399438|	speed_command,	1.0
1.2275221347808838:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.261507511138916:	controller;	angle_command,	-0.694258399438|	speed_command,	1.0
1.261566162109375:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.279273271560669:	state;	angle,	1.27957571105|	vx,	0.0|	x m,	-1.24388559162|	x,	-71.42085341289744|	ang v,	0.0|	y,	42.427301170495795|	vy,	0.0|	y m,	0.748160388012
1.2796671390533447:	gps;	long,	-71.42079162597656|	lat,	42.42731857299805|	fix,	True
1.294182538986206:	controller;	angle_command,	-0.694258399438|	speed_command,	1.0
1.2942571640014648:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.3234610557556152:	controller;	angle_command,	-0.694292318418|	speed_command,	1.0
1.3235194683074951:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.35280442237854:	controller;	angle_command,	-0.694292318418|	speed_command,	1.0
1.3528740406036377:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.3820571899414062:	controller;	angle_command,	-0.694292318418|	speed_command,	1.0
1.3822052478790283:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.4143199920654297:	controller;	angle_command,	-0.694292318418|	speed_command,	1.0
1.4143810272216797:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.4168965816497803:	state;	angle,	1.27964359305|	vx,	0.0|	x m,	-1.24283175216|	x,	-71.42085337568444|	ang v,	0.0|	y,	42.42730117997052|	vy,	0.0|	y m,	0.751215571233
1.4172723293304443:	gps;	long,	-71.42079162597656|	lat,	42.42731857299805|	fix,	True
1.44358229637146:	controller;	angle_command,	-0.694118572099|	speed_command,	1.0
1.4436461925506592:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.4720323085784912:	controller;	angle_command,	-0.694118572099|	speed_command,	1.0
1.4724316596984863:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.5013117790222168:	controller;	angle_command,	-0.694118572099|	speed_command,	1.0
1.5013787746429443:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.5298919677734375:	controller;	angle_command,	-0.694118572099|	speed_command,	1.0
1.5299534797668457:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.5589959621429443:	controller;	angle_command,	-0.694118572099|	speed_command,	1.0
1.559053659439087:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.5872061252593994:	controller;	angle_command,	-0.694118572099|	speed_command,	1.0
1.58726167678833:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.6180341243743896:	controller;	angle_command,	-0.694118572099|	speed_command,	1.0
1.6180963516235352:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.6203718185424805:	state;	angle,	1.27973980202|	vx,	0.0|	x m,	-1.24160389574|	x,	-71.4208533323266|	ang v,	0.0|	y,	42.42730119100978|	vy,	0.0|	y m,	0.754775246559
1.6207942962646484:	gps;	long,	-71.42079162597656|	lat,	42.42731857299805|	fix,	True
1.6470155715942383:	controller;	angle_command,	-0.693932831655|	speed_command,	1.0
1.6470792293548584:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.6757924556732178:	controller;	angle_command,	-0.693932831655|	speed_command,	1.0
1.675856351852417:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.704758644104004:	controller;	angle_command,	-0.693932831655|	speed_command,	1.0
1.704826831817627:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.735780954360962:	controller;	angle_command,	-0.693932831655|	speed_command,	1.0
1.735840082168579:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.7659969329833984:	controller;	angle_command,	-0.693932831655|	speed_command,	1.0
1.766059398651123:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.7963645458221436:	controller;	angle_command,	-0.693932831655|	speed_command,	1.0
1.796421766281128:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.8040120601654053:	state;	angle,	1.27984103473|	vx,	0.0|	x m,	-1.24020263261|	x,	-71.42085328284544|	ang v,	0.0|	y,	42.42730120360809|	vy,	0.0|	y m,	0.758837644859
1.804389238357544:	gps;	long,	-71.42079162597656|	lat,	42.42731857299805|	fix,	True
1.8263397216796875:	controller;	angle_command,	-0.693711739655|	speed_command,	1.0
1.8264038562774658:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.8563778400421143:	controller;	angle_command,	-0.693711739655|	speed_command,	1.0
1.8564362525939941:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.8867714405059814:	controller;	angle_command,	-0.693711739655|	speed_command,	1.0
1.8868381977081299:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.9172184467315674:	controller;	angle_command,	-0.693711739655|	speed_command,	1.0
1.9172778129577637:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.9476656913757324:	controller;	angle_command,	-0.693711739655|	speed_command,	1.0
1.9477367401123047:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
1.9785969257354736:	controller;	angle_command,	-0.693711739655|	speed_command,	1.0
1.9786620140075684:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.011347770690918:	controller;	angle_command,	-0.693711739655|	speed_command,	1.0
2.0114083290100098:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.015935182571411:	state;	angle,	1.27994717181|	vx,	0.0|	x m,	-1.23862865792|	x,	-71.42085322726552|	ang v,	0.0|	y,	42.42730121775918|	vy,	0.0|	y m,	0.763400750784
2.016310453414917:	gps;	long,	-71.42079162597656|	lat,	42.42731857299805|	fix,	True
2.042893409729004:	controller;	angle_command,	-0.693455115018|	speed_command,	1.0
2.042959451675415:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.074479579925537:	controller;	angle_command,	-0.693455115018|	speed_command,	1.0
2.074537515640259:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.105851888656616:	controller;	angle_command,	-0.693455115018|	speed_command,	1.0
2.105919599533081:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.1365807056427:	controller;	angle_command,	-0.693455115018|	speed_command,	1.0
2.136638879776001:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.16709566116333:	controller;	angle_command,	-0.693455115018|	speed_command,	1.0
2.16715669631958:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.1980788707733154:	controller;	angle_command,	-0.693455115018|	speed_command,	1.0
2.1981356143951416:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.2064168453216553:	state;	angle,	1.280042275|	vx,	0.0|	x m,	-1.23688275092|	x,	-71.42085316561437|	ang v,	0.0|	y,	42.42730123345606|	vy,	0.0|	y m,	0.7684623052
2.2068052291870117:	gps;	long,	-71.42079162597656|	lat,	42.42731857299805|	fix,	True
2.2271676063537598:	controller;	angle_command,	-0.693146950446|	speed_command,	1.0
2.2272286415100098:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.260139226913452:	controller;	angle_command,	-0.693146950446|	speed_command,	1.0
2.2602100372314453:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.291930675506592:	controller;	angle_command,	-0.693146950446|	speed_command,	1.0
2.2919952869415283:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.322361946105957:	controller;	angle_command,	-0.693146950446|	speed_command,	1.0
2.322420358657837:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.351630449295044:	controller;	angle_command,	-0.693146950446|	speed_command,	1.0
2.351696014404297:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.3825268745422363:	controller;	angle_command,	-0.693146950446|	speed_command,	1.0
2.3825883865356445:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.417654275894165:	controller;	angle_command,	-0.693146950446|	speed_command,	1.0
2.417710781097412:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.4192700386047363:	state;	angle,	1.28014355257|	vx,	0.0|	x m,	-1.23496577403|	x,	-71.42085309792242|	ang v,	0.0|	y,	42.42730125069099|	vy,	0.0|	y m,	0.774019807901
2.4196646213531494:	gps;	long,	-71.42079162597656|	lat,	42.42731857299805|	fix,	True
2.4469780921936035:	controller;	angle_command,	-0.692804376832|	speed_command,	1.0
2.4470407962799072:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.47603702545166:	controller;	angle_command,	-0.692804376832|	speed_command,	1.0
2.4760916233062744:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
2.5071873664855957:	controller;	angle_command,	-0.692804376832|	speed_command,	1.0
2.5072572231292725:	waypoints;	goal_x,	-71.42080970867147|	goal_y,	42.42733013529741
