1.9213383197784424:	state;	y,	42.42730125431723|	ang v,	0.0|	vy,	0.0|	x m,	-1.23456244478|	vx,	0.0|	x,	-71.42085349152438|	angle,	1.56997902053|	y m,	0.741705122323
1.9218478202819824:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
2.0909688472747803:	state;	y,	42.42730127809291|	ang v,	0.0|	vy,	0.0|	x m,	-1.23191796338|	vx,	0.0|	x,	-71.42085348827061|	angle,	1.5700607246|	y m,	0.741972256074
2.0914206504821777:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
2.3297860622406006:	state;	y,	42.42730130419822|	ang v,	0.0|	vy,	0.0|	x m,	-1.22901436672|	vx,	0.0|	x,	-71.42085348469803|	angle,	1.57017278269|	y m,	0.742265564497
2.330213785171509:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
2.4945878982543945:	state;	y,	42.427301332620274|	ang v,	0.0|	vy,	0.0|	x m,	-1.22585308545|	vx,	0.0|	x,	-71.42085348080839|	angle,	1.57025002013|	y m,	0.742584903074
2.4951136112213135:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
2.6920902729034424:	state;	y,	42.42730136334514|	ang v,	0.0|	vy,	0.0|	x m,	-1.2224356729|	vx,	0.0|	x,	-71.42085347660361|	angle,	1.57034403998|	y m,	0.742930114894
2.6925694942474365:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
2.920186996459961:	state;	y,	42.42730139635774|	ang v,	0.0|	vy,	0.0|	x m,	-1.21876380323|	vx,	0.0|	x,	-71.42085347208575|	angle,	1.57044717409|	y m,	0.74330103084
2.92069935798645:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
3.087590217590332:	state;	y,	42.427301426160945|	ang v,	0.000254902393905|	vy,	0.0|	x m,	-1.21544890231|	vx,	0.0|	x,	-71.4208534680071|	angle,	4.31518770257|	y m,	0.743635887391
3.088348865509033:	imu;	yaw,	-4.713479995727539
3.098951578140259:	state;	y,	42.42730146371646|	ang v,	0.000318806285237|	vy,	0.0|	x m,	-1.21127174229|	vx,	0.0|	x,	-71.42085346286753|	angle,	4.31515775593|	y m,	0.744057845522
3.0998384952545166:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
3.165947675704956:	state;	y,	42.42730150106558|	ang v,	0.00857238939971|	vy,	0.0|	x m,	-1.20711753817|	vx,	0.0|	x,	-71.4208534577562|	angle,	4.31625784506|	y m,	0.74447748475
3.1667215824127197:	imu;	yaw,	-4.71238899230957
3.1863749027252197:	state;	y,	42.427301539640375|	ang v,	-0.0271448336661|	vy,	0.0|	x m,	-1.20282700558|	vx,	0.0|	x,	-71.42085345247712|	angle,	4.31517132213|	y m,	0.744910895274
3.186816930770874:	imu;	yaw,	-4.713479995727539
3.2433605194091797:	state;	y,	42.4273015781225|	ang v,	0.00217583646491|	vy,	0.0|	x m,	-1.19854678115|	vx,	0.0|	x,	-71.42085344721075|	angle,	4.31627277863|	y m,	0.745343264513
3.243774175643921:	imu;	yaw,	-4.71238899230957
3.253791570663452:	state;	y,	42.427301617848244|	ang v,	0.0410663302047|	vy,	0.0|	x m,	-1.19412823413|	vx,	0.0|	x,	-71.42085344177416|	angle,	4.31736647285|	y m,	0.745789606485
3.254376173019409:	imu;	yaw,	-4.71129846572876
3.328575372695923:	state;	y,	42.42730166645715|	ang v,	0.0555371209785|	vy,	0.0|	x m,	-1.18872164597|	vx,	0.0|	x,	-71.4208534351219|	angle,	4.3173494205|	y m,	0.74633575598
3.3289928436279297:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
3.3379383087158203:	state;	y,	42.42730176820543|	ang v,	-0.114568126881|	vy,	0.0|	x m,	-1.17740455958|	vx,	0.0|	x,	-71.42085342119736|	angle,	4.3151585617|	y m,	0.747478957724
3.3383851051330566:	imu;	yaw,	-4.71238899230957
3.3446218967437744:	state;	y,	42.42730176820543|	ang v,	-0.114568126881|	vy,	0.0|	x m,	-1.17740455958|	vx,	0.0|	x,	-71.42085342119736|	angle,	4.3151585617|	y m,	0.747478957724
3.3450558185577393:	imu;	yaw,	-4.713479995727539
3.3589696884155273:	state;	y,	42.42730182113291|	ang v,	-0.0842591054313|	vy,	0.0|	x m,	-1.17151763309|	vx,	0.0|	x,	-71.4208534139541|	angle,	4.31407094681|	y m,	0.748073628861
3.3595478534698486:	imu;	yaw,	-4.714570999145508
3.4184000492095947:	state;	y,	42.42730187328454|	ang v,	-0.019174587092|	vy,	0.0|	x m,	-1.16571699862|	vx,	0.0|	x,	-71.420853406817|	angle,	4.31517203489|	y m,	0.748659583162
3.4189958572387695:	imu;	yaw,	-4.713479995727539
3.4395976066589355:	state;	y,	42.42730192582815|	ang v,	-0.031393415202|	vy,	0.0|	x m,	-1.15987276781|	vx,	0.0|	x,	-71.42085339962627|	angle,	4.31408666471|	y m,	0.749249941371
3.439973831176758:	imu;	yaw,	-4.714570999145508
3.4918007850646973:	state;	y,	42.42730198693235|	ang v,	-0.0359711360679|	vy,	0.0|	x m,	-1.15307637269|	vx,	0.0|	x,	-71.42085339126399|	angle,	4.3140736455|	y m,	0.749936482984
3.492325782775879:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
3.5574164390563965:	state;	y,	42.42730204590274|	ang v,	-0.0193427762994|	vy,	0.0|	x m,	-1.14651731533|	vx,	0.0|	x,	-71.42085338319373|	angle,	4.31298646823|	y m,	0.750599049793
3.5578980445861816:	imu;	yaw,	-4.715661525726318
3.583670139312744:	state;	y,	42.42730210533452|	ang v,	-0.0366589844393|	vy,	0.0|	x m,	-1.1399069374|	vx,	0.0|	x,	-71.42085337506032|	angle,	4.31190012259|	y m,	0.751266800777
3.584425926208496:	imu;	yaw,	-4.716752529144287
3.640313148498535:	state;	y,	42.4273021632715|	ang v,	-0.00178010671437|	vy,	0.0|	x m,	-1.13346282254|	vx,	0.0|	x,	-71.42085336713149|	angle,	4.31300187537|	y m,	0.751917756606
3.6408073902130127:	imu;	yaw,	-4.715661525726318
3.7152626514434814:	state;	y,	42.42730237338049|	ang v,	-0.0736299923897|	vy,	0.0|	x m,	-1.11009317549|	vx,	0.0|	x,	-71.4208533383775|	angle,	4.31297717207|	y m,	0.754278454435
3.715731382369995:	gps;	long,	-71.42085266113281|	lat,	42.42732620239258|	fix,	True
3.7237627506256104:	state;	y,	42.42730237338049|	ang v,	-0.0736299923897|	vy,	0.0|	x m,	-1.11009317549|	vx,	0.0|	x,	-71.4208533383775|	angle,	4.31297717207|	y m,	0.754278454435
3.724172592163086:	imu;	yaw,	-4.714570999145508
3.728804111480713:	state;	y,	42.42730237338049|	ang v,	-0.0736299923897|	vy,	0.0|	x m,	-1.11009317549|	vx,	0.0|	x,	-71.4208533383775|	angle,	4.31297717207|	y m,	0.754278454435
3.7294363975524902:	imu;	yaw,	-4.715661525726318
3.7410647869110107:	state;	y,	42.4273024455858|	ang v,	-0.0937019332261|	vy,	0.0|	x m,	-1.10206204577|	vx,	0.0|	x,	-71.420853328496|	angle,	4.31188830632|	y m,	0.755089723447
3.741544246673584:	imu;	yaw,	-4.716752529144287
