0.983391284942627:	gps;	long,	-71.42078399658203|	lat,	42.427303314208984|	fix,	True
0.9877855777740479:	imu;	yaw,	-4.822563171386719
0.9944803714752197:	blue_led;	60
1.0150399208068848:	controller;	speed_command,	1.0|	angle_command,	0.275590784707
1.0151054859161377:	waypoints;	goal_x,	-71.42086252570152|	goal_y,	42.4273123538726
1.0153250694274902:	motors;	23
1.0202579498291016:	imu;	yaw,	-4.82147216796875
1.0240802764892578:	blue_led;	82
1.031949520111084:	motors;	32
1.03920578956604:	blue_led;	112
1.0454277992248535:	motors;	44
1.0478577613830566:	controller;	speed_command,	0.6|	angle_command,	2.25648458969
1.047952651977539:	waypoints;	goal_x,	-71.42086252570152|	goal_y,	42.4273123538726
1.0508062839508057:	blue_led;	148
1.0524945259094238:	imu;	yaw,	-4.822563171386719
1.0559825897216797:	motors;	58
1.0587999820709229:	imu;	yaw,	-4.823653697967529
1.0714547634124756:	blue_led;	194
1.078989028930664:	controller;	speed_command,	0.6|	angle_command,	2.28290798642
1.0790538787841797:	waypoints;	goal_x,	-71.42086252570152|	goal_y,	42.4273123538726
1.0792934894561768:	motors;	76
1.0837204456329346:	imu;	yaw,	-4.824744701385498
1.0853826999664307:	blue_led;	244
1.1062595844268799:	motors;	95
1.111295223236084:	controller;	speed_command,	0.6|	angle_command,	2.29741260715
1.1113660335540771:	waypoints;	goal_x,	-71.42086252570152|	goal_y,	42.4273123538726
1.1124660968780518:	blue_led;	255
1.1148216724395752:	state;	y m,	1.75119880323|	vx,	0.54249310611|	angle,	0.387573885238|	x m,	-1.11703021283|	ang v,	-0.0517430383629|	y,	42.42730231101021|	vy,	0.54249310611|	x,	-71.42084119560687
1.1152329444885254:	gps;	long,	-71.42078399658203|	lat,	42.427303314208984|	fix,	True
1.117018222808838:	motors;	100
1.1213366985321045:	imu;	yaw,	-4.823653697967529
1.144751787185669:	controller;	speed_command,	0.6|	angle_command,	2.32417909381
1.1448132991790771:	waypoints;	goal_x,	-71.42086252570152|	goal_y,	42.4273123538726
1.1477205753326416:	imu;	yaw,	-4.820381164550781
1.1542706489562988:	imu;	yaw,	-4.817108631134033
1.1774766445159912:	controller;	speed_command,	0.6177113048771048|	angle_command,	2.3438346242
1.1775403022766113:	waypoints;	goal_x,	-71.42085339037854|	goal_y,	42.427301124598
1.1804330348968506:	imu;	yaw,	-4.818199634552002
1.1845502853393555:	imu;	yaw,	-4.820381164550781
1.209184169769287:	controller;	speed_command,	0.6|	angle_command,	2.8732072494
1.209252119064331:	waypoints;	goal_x,	-71.42085339037854|	goal_y,	42.427301124598
1.212388515472412:	imu;	yaw,	-4.819290637969971
1.2169268131256104:	imu;	yaw,	-4.818199634552002
1.2415423393249512:	controller;	speed_command,	0.6|	angle_command,	2.88044346025
1.2416589260101318:	waypoints;	goal_x,	-71.42085339037854|	goal_y,	42.427301124598
1.2452118396759033:	imu;	yaw,	-4.817108631134033
1.2603459358215332:	imu;	yaw,	-4.816018104553223
1.2874066829681396:	controller;	speed_command,	0.6|	angle_command,	2.87922757635
1.2874665260314941:	waypoints;	goal_x,	-71.42085029496798|	goal_y,	42.42730296869134
1.2891786098480225:	imu;	yaw,	-4.814927101135254
1.2977206707000732:	imu;	yaw,	-4.816018104553223
1.3193986415863037:	controller;	speed_command,	0.6|	angle_command,	2.80433116223
1.319467306137085:	waypoints;	goal_x,	-71.42085029496798|	goal_y,	42.42730296869134
1.3228042125701904:	imu;	yaw,	-4.817108631134033
