0.01310586929321289:	state;	y m,	0.740496293347|	vx,	0.0|	x,	-71.42085350624828|	x m,	-1.24652920569|	y,	42.42730114672791|	vy,	0.0|	angle,	4.31386668446|	ang v,	0.0
2.608799457550049:	state;	y m,	1.0395700065|	vx,	6.37666064589e-05|	x,	-71.42084986344601|	x m,	-1.0943447919|	y,	42.42730251496882|	vy,	6.37666064589e-05|	angle,	4.31411083706|	ang v,	-0.0193201540547
2.61033296585083:	gps;	long,	-71.42082214355469|	lat,	42.427249908447266|	fix,	True
2.7624173164367676:	imu;	yaw,	-0.11017391085624695
2.7689924240112305:	imu;	yaw,	-0.11126475036144257
2.7862226963043213:	imu;	yaw,	-0.11017391085624695
2.833005428314209:	state;	y m,	1.06314838861|	vx,	3.25899762794e-06|	x,	-71.42084957625474|	x m,	-1.13466391087|	y,	42.42730215247253|	vy,	3.25899762794e-06|	angle,	4.31516356166|	ang v,	0.0415719069514
2.8337063789367676:	gps;	long,	-71.42082214355469|	lat,	42.427249908447266|	fix,	True
2.8455276489257812:	imu;	yaw,	-0.10908307880163193
2.9031176567077637:	blue_led;	66
2.912748336791992:	motors;	26
2.9146406650543213:	imu;	yaw,	-0.11017391085624695
