2.0556867122650146:	state;	vy,	0.0|	x,	-71.42085358728477|	y m,	0.733843204263|	angle,	1.67364164245|	x m,	-1.23853702846|	ang v,	0.0|	y,	42.427301218583025|	vx,	0.0
2.056222677230835:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
2.2597672939300537:	state;	vy,	0.0|	x,	-71.42085360338861|	y m,	0.732521079366|	angle,	1.67373355298|	x m,	-1.23694879533|	ang v,	0.0|	y,	42.42730123286232|	vx,	0.0
2.2605443000793457:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
2.4815666675567627:	state;	vy,	0.0|	x,	-71.42085362092162|	y m,	0.731081620251|	angle,	1.67383763592|	x m,	-1.23521961176|	ang v,	0.0|	y,	42.42730124840886|	vx,	0.0
2.4820942878723145:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
2.8684654235839844:	state;	vy,	0.0|	x,	-71.4208536398752|	y m,	0.729525534214|	angle,	1.67401364867|	x m,	-1.2333503274|	ang v,	0.0|	y,	42.427301265214986|	vx,	0.0
2.8692002296447754:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
3.053664207458496:	state;	vy,	0.0|	x,	-71.42085366024003|	y m,	0.727853583568|	angle,	1.674102185|	x m,	-1.23134185799|	ang v,	0.0|	y,	42.42730128327249|	vx,	0.0
3.0540995597839355:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
3.266178846359253:	state;	vy,	0.0|	x,	-71.42085368200617|	y m,	0.726066584742|	angle,	1.67419972295|	x m,	-1.2291951843|	ang v,	0.0|	y,	42.42730130257256|	vx,	0.0
3.266599416732788:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
3.4567744731903076:	state;	vy,	0.0|	x,	-71.42085370516304|	y m,	0.724165407319|	angle,	1.67428700704|	x m,	-1.22691135092|	ang v,	0.0|	y,	42.42730132310577|	vx,	0.0
3.457193374633789:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
3.68988037109375:	state;	vy,	0.0|	x,	-71.4208537296994|	y m,	0.722150973021|	angle,	1.6743914633|	x m,	-1.2244914651|	ang v,	0.0|	y,	42.42730134486219|	vx,	0.0
3.690631866455078:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
3.8661012649536133:	state;	vy,	0.0|	x,	-71.42085375560343|	y m,	0.720024254626|	angle,	1.67447472999|	x m,	-1.22193669542|	ang v,	0.0|	y,	42.42730136783131|	vx,	0.0
3.866913080215454:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
4.053098440170288:	state;	vy,	0.0|	x,	-71.42085378286265|	y m,	0.717786274849|	angle,	1.6745625254|	x m,	-1.21924827042|	ang v,	0.0|	y,	42.42730139200207|	vx,	0.0
4.053501844406128:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
4.261608839035034:	state;	vy,	0.0|	x,	-71.42085381146403|	y m,	0.715438105158|	angle,	1.67465543019|	x m,	-1.21642747724|	ang v,	0.0|	y,	42.42730141736292|	vx,	0.0
4.262382745742798:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
4.457865953445435:	state;	vy,	0.0|	x,	-71.42085384139389|	y m,	0.712980864554|	angle,	1.6747474088|	x m,	-1.21347566009|	ang v,	0.0|	y,	42.42730144390177|	vx,	0.0
4.458390712738037:	gps;	long,	-71.42086791992188|	lat,	42.42731475830078|	fix,	True
4.6644370555877686:	state;	vy,	0.0|	x,	-71.4208538726381|	y m,	0.710415718293|	angle,	1.67484332988|	x m,	-1.21039421879|	ang v,	0.0|	y,	42.42730147160602|	vx,	0.0
