state x,state y,gps x,gps y,checkpoint x,checkpoint y
-71.4208326945517,42.42732376690162,0,0,0,0
-71.42083256762388,42.42732386902946,0,0,0,0
-71.4208323669715,42.42732397647443,-71.42082977294922,42.42734146118164,0,0
-71.42083226452084,42.42732407846543,0,0,0,0
-71.4208321063529,42.42732418459079,0,0,0,0
-71.42083202707664,42.42732428641302,0,0,0,0
-71.4208318364537,42.42732439578439,0,0,0,0
-71.42083172147886,42.42732450099663,0,0,0,0
-71.42083160412025,42.427324606893976,0,0,0,0
-71.42083148844488,42.427324713193485,0,0,0,0
-71.42083139912256,42.42732481837927,0,0,0,0
-71.4208313386127,42.4273249222276,0,0,0,0
-71.42083127836537,42.42732502649103,0,0,0,0
-71.4208311708876,42.42732513417655,0,0,0,0
-71.42083096368124,42.427325248621386,0,0,0,0
-71.42083083034392,42.4273253587984,0,0,0,0
-71.42083062699761,42.42732547396684,0,0,0,0
-71.42083013812116,42.42732558385151,-71.42082977294922,42.427337646484375,0,0
-71.42083009458325,42.42732568950092,0,0,0,0
-71.42083000215108,42.42732581006326,0,0,0,0
-71.42082984577306,42.427325975259734,0,0,0,0
-71.42082977852004,42.42732609459232,0,0,0,0
-71.42082963465731,42.42732626399529,0,0,0,0
-71.42082958548313,42.42732637344609,0,0,0,0
-71.42082933673252,42.42732661335948,0,0,0,0
-71.4208292685981,42.42732673552772,0,0,0,0
-71.42082919827982,42.42732685919508,0,0,0,0
-71.42082915169605,42.427326967360806,0,0,0,0
-71.42082911174552,42.42732707120382,0,0,0,0
-71.42082907300889,42.42732717425733,0,0,0,0
-71.42082900831508,42.4273272943088,0,0,0,0
-71.42082894660992,42.42732741237659,0,0,0,0
-71.42082879356141,42.42732759017743,0,0,0,0
-71.4208287622147,42.42732768820715,0,0,0,0
-71.4208286824484,42.42732781783027,-71.42082977294922,42.427337646484375,0,0
-71.42082862184276,42.42732793483604,0,0,0,0
-71.42082855849962,42.427328053533536,0,0,0,0
-71.42082836118816,42.42732825971135,0,0,0,0
-71.42082832434026,42.42732836102736,0,0,0,0
-71.42082827082203,42.42732847321195,0,0,0,0
-71.42082812701506,42.427328644790734,0,0,0,0
-71.42082802916707,42.42732878623464,0,0,0,0
-71.42082796903728,42.42732890266858,0,0,0,0
-71.42082776216209,42.427329116322,0,0,0,0
-71.4208276736932,42.42732925123357,0,0,0,0
-71.42082758248486,42.42732938776566,0,0,0,0
-71.42082748450507,42.42732952858203,0,0,0,0
-71.42082744424819,42.42732963071054,0,0,0,0
-71.42082738417206,42.42732974556574,0,0,0,0
-71.4208273349502,42.42732985292914,0,0,0,0
-71.42082730341875,42.427329948367664,0,0,0,0
-71.42082725129727,42.427330057075224,0,0,0,0
-71.42082721019223,42.4273301582644,-71.42082977294922,42.427337646484375,0,0
-71.4208271543958,42.427330268832904,0,0,0,0
-71.42082712436633,42.42733036194431,0,0,0,0
-71.42082707615272,42.42733046641611,0,0,0,0
-71.4208270623881,42.427330548144546,0,0,0,0
-71.42082701845641,42.427330649093804,0,0,0,0
-71.42082690934646,42.42733079191922,0,0,0,0
-71.42082686084042,42.427330894825154,0,0,0,0
-71.42082680982354,42.42733099881757,0,0,0,0
-71.42082677578414,42.42733109154974,0,0,0,0
-71.42082671870656,42.4273311986327,0,0,0,0
-71.42082656874462,42.42733136464587,0,0,0,0
-71.42082650014557,42.42733147837153,0,0,0,0
-71.42082648692329,42.42733155620761,0,0,0,0
-71.42082644245221,42.42733165338042,0,0,0,0
-71.42082640215422,42.42733174745698,0,0,0,0
-71.42082618089653,42.427331955168185,0,0,0,0
-71.42082616859774,42.42733203062769,0,0,0,0
-71.42082612306368,42.42733212654036,0,0,0,0
-71.42082609002601,42.42733221421174,0,0,0,0
-71.42082603282839,42.42733231658988,-71.42082977294922,42.427337646484375,0,0
-71.42082599151587,42.42733240864632,0,0,0,0
-71.42082594487471,42.4273325036427,0,0,0,0
-71.42082592212498,42.42733258317481,0,0,0,0
-71.42082588717419,42.42733266978943,0,0,0,0
-71.42082578384333,42.427332798350164,0,0,0,0
-71.42082570815278,42.42733290934002,0,0,0,0
-71.42082564560903,42.42733301177361,0,0,0,0
-71.42082558354072,42.427333113506954,0,0,0,0
-71.42082556273982,42.427333189044454,0,0,0,0
-71.42082553719915,42.42733326690636,0,0,0,0
-71.42082545272162,42.427333380282946,0,0,0,0
-71.4208254095581,42.42733346794655,0,0,0,0
-71.4208252904962,42.42733360148555,0,0,0,0
-71.42082529014252,42.42733366209521,0,0,0,0
-71.42082527679187,42.42733373017736,0,0,0,0
-71.42082516833358,42.42733385554328,0,0,0,0
-71.42082513533916,42.42733393468625,0,0,0,0
-71.42082510381513,42.42733401252131,0,0,0,0
-71.42082508239588,42.42733408401251,0,0,0,0
-71.42082506436067,42.42733415316455,0,0,0,0
-71.420824945679,42.427334283607706,0,0,0,0
-71.42082489295922,42.427334373265246,0,0,0,0
-71.42082485596046,42.427334452878895,0,0,0,0
-71.42082481838636,42.42733453243348,0,0,0,0
-71.42082480458579,42.42733459710637,0,0,0,0
-71.4208247883321,42.42733466297337,0,0,0,0
-71.42082468736432,42.42733478077633,0,0,0,0
-71.42082455803066,42.4273349157416,0,0,0,0
-71.42082455458255,42.42733497264931,0,0,0,0
-71.42082448534428,42.4273350699847,0,0,0,0
-71.4208244389904,42.42733515275256,0,0,0,0
-71.42082439359068,42.42733523452935,0,0,0,0
-71.42082439626382,42.427335286218685,0,0,0,0
-71.42082432232063,42.42733538552437,0,0,0,0
-71.42082425973003,42.42733547740183,0,0,0,0
-71.42082394516915,42.4273357270046,-71.42082977294922,42.427337646484375,0,0
-71.42082394638302,42.427335778082316,0,0,0,0
-71.42082392549194,42.42733584263377,0,0,0,0
-71.42082392128289,42.427335896303696,0,0,0,0
-71.42082385234968,42.42733599023592,0,0,0,0
-71.42082381871359,42.427336061584455,0,0,0,0
-71.42082378248475,42.427336134156626,0,0,0,0
-71.42082378322115,42.42733618325637,0,0,0,0
-71.42082377458331,42.42733623798994,0,0,0,0
-71.42082377257383,42.42733628817782,0,0,0,0
-71.42082372146083,42.42733636913349,0,0,0,0
-71.4208236805477,42.42733644323272,0,0,0,0
-71.4208236734857,42.4273364954552,0,0,0,0
-71.42082367562068,42.427336541081274,0,0,0,0
-71.42082366723304,42.42733659261563,0,0,0,0
-71.42082360625074,42.42733667631957,0,0,0,0
-71.42082356946436,42.42733674451343,0,0,0,0
-71.42082355692445,42.42733679725516,0,0,0,0
-71.4208235618525,42.427336838306346,0,0,0,0
-71.42082354361203,42.42733689278533,0,0,0,0
-71.42082350481512,42.4273369591467,0,0,0,0
-71.4208234836869,42.42733701438582,-71.42082977294922,42.427337646484375,0,0
-71.42082345015159,42.427337076721265,0,0,0,0
-71.42082338692435,42.4273371562273,0,0,0,0
-71.42082336419216,42.427337210743744,0,0,0,0
-71.42082329335118,42.427337293453206,0,0,0,0
-71.42082325087232,42.42733735886839,0,0,0,0
-71.42082321933404,42.4273374174092,0,0,0,0
-71.42082323074216,42.42733744992066,0,0,0,0
-71.42082318272888,42.427337517115,0,0,0,0
-71.42082314145284,42.42733757989908,0,0,0,0
-71.42082308597953,42.427337650680144,0,0,0,0
-71.4208230304806,42.42733772112562,0,0,0,0
-71.42082299731594,42.42733777807231,0,0,0,0
-71.42082300665139,42.4273378094012,0,0,0,0
-71.42082298513081,42.42733785818958,0,0,0,0
-71.42082296784699,42.42733790403014,0,0,0,0
-71.4208229543412,42.427337947300494,0,0,0,0
-71.42082294214542,42.427337989472264,0,0,0,0
-71.42082295059895,42.427338019369,0,0,0,0
-71.42082294308068,42.42733805791798,0,0,0,0
-71.42082295331153,42.427338085732735,0,0,0,0
-71.4208229406511,42.427338126223916,-71.42082977294922,42.427337646484375,0,0
-71.42082293910879,42.42733816004097,0,0,0,0
-71.42082289294159,42.427338218944,0,0,0,0
-71.42082290555224,42.42733824409371,0,0,0,0
-71.4208228992891,42.42733827968713,0,0,0,0
-71.4208229249242,42.4273382966577,0,0,0,0
-71.42082292366668,42.42733832836632,0,0,0,0
-71.42082291948269,42.42733836133862,0,0,0,0
-71.42082287297603,42.42733841771259,0,0,0,0
-71.4208228624032,42.42733845365355,0,0,0,0
-71.42082281086499,42.427338512039185,0,0,0,0
-71.42082279748053,42.42733854867109,0,0,0,0
-71.4208227379571,42.4273386106146,0,0,0,0
-71.42082272931246,42.42733864400663,0,0,0,0
-71.42082269823149,42.427338689581184,0,0,0,0
-71.42082270034146,42.427338716486936,0,0,0,0
-71.42082268003585,42.42733875559544,0,0,0,0
-71.42082259484411,42.42733883050128,0,0,0,0
-71.42082258873135,42.427338861218914,0,0,0,0
-71.42082253859057,42.427338916145246,-71.42082977294922,42.427337646484375,0,0
-71.42082255347505,42.427338934707656,0,0,0,0
-71.42082239849424,42.427339047485866,0,0,0,0
-71.42082226636755,42.427339147329796,0,0,0,0
-71.42082225107659,42.42733918194655,0,0,0,0
-71.42082226476272,42.427339200129005,0,0,0,0
