1.4610710144042969:	lidar;	22
1.461082935333252:	lidar;	24	6	7176
1.469038963317871:	lidar;	20
1.469052791595459:	lidar;	25	6	7120
1.476099967956543:	lidar;	475
1.476118803024292:	lidar;	26	6	7304
1.4831178188323975:	lidar;	404
1.4831418991088867:	lidar;	27	6	7408
1.4910778999328613:	lidar;	368
1.4910938739776611:	lidar;	28	6	7624
1.5000848770141602:	lidar;	541
1.5001068115234375:	lidar;	29	6	7672
1.50602388381958:	lidar;	331
1.5060338973999023:	lidar;	30	6	7552
1.5262479782104492:	lidar;	323
1.526263952255249:	lidar;	31	6	7536
1.5263140201568604:	lidar;	330
1.5263218879699707:	lidar;	32	6	7536
1.5280919075012207:	lidar;	342
1.5290508270263672:	lidar;	33	6	7528
1.5360147953033447:	lidar;	365
1.5360238552093506:	lidar;	34	6	7640
1.5450918674468994:	lidar;	410
1.5460448265075684:	lidar;	35	6	7528
1.5510249137878418:	lidar;	469
1.5510318279266357:	lidar;	36	6	7400
1.5590248107910156:	lidar;	556
1.5590310096740723:	lidar;	37	6	7384
1.5660409927368164:	lidar;	717
1.5660548210144043:	lidar;	0	7	7344
1.5730140209197998:	lidar;	957
1.5730218887329102:	lidar;	1	7	7248
1.592120885848999:	lidar;	912
1.5921368598937988:	lidar;	2	7	7320
1.5921440124511719:	lidar;	896
1.5921499729156494:	lidar;	3	7	7256
1.59505295753479:	lidar;	323
1.5950679779052734:	lidar;	4	7	7256
1.6161270141601562:	lidar;	90
1.6161489486694336:	lidar;	5	7	21096
1.623086929321289:	lidar;	75
1.6231038570404053:	lidar;	6	7	7336
1.6300427913665771:	lidar;	66
1.630053997039795:	lidar;	7	7	7112
1.6370317935943604:	lidar;	61
1.6370389461517334:	lidar;	8	7	7128
1.650202989578247:	lidar;	54
1.6502199172973633:	lidar;	9	7	6952
1.6587250232696533:	lidar;	52
1.6587409973144531:	lidar;	10	7	7208
1.6590149402618408:	lidar;	51
1.6590259075164795:	lidar;	11	7	6888
1.6660327911376953:	lidar;	52
1.6660490036010742:	lidar;	12	7	7248
1.6740360260009766:	lidar;	55
1.6740458011627197:	lidar;	13	7	7040
1.680020809173584:	lidar;	56
1.681208848953247:	lidar;	14	7	7432
1.6880238056182861:	lidar;	38
1.6880359649658203:	lidar;	15	7	7296
1.6950039863586426:	lidar;	33
1.6950109004974365:	lidar;	16	7	7112
1.7020189762115479:	lidar;	28
1.7020349502563477:	lidar;	17	7	7120
1.72456693649292:	lidar;	27
1.7245829105377197:	lidar;	18	7	7136
1.724632978439331:	lidar;	23
1.724639892578125:	lidar;	19	7	6984
1.7246458530426025:	lidar;	22
1.72465181350708:	lidar;	20	7	7096
1.7300868034362793:	lidar;	19
1.7300999164581299:	lidar;	21	7	7112
1.7370409965515137:	lidar;	20
1.7370538711547852:	lidar;	22	7	6992
1.744182825088501:	lidar;	19
1.7442238330841064:	lidar;	23	7	7008
1.7521018981933594:	lidar;	22
1.7521250247955322:	lidar;	24	7	7176
1.7580699920654297:	lidar;	24
1.758085012435913:	lidar;	25	7	7096
1.7660248279571533:	lidar;	470
1.7660319805145264:	lidar;	26	7	7240
1.7882728576660156:	lidar;	392
1.788290023803711:	lidar;	27	7	7296
1.7953128814697266:	lidar;	363
1.7953298091888428:	lidar;	28	7	7608
1.7953369617462158:	lidar;	544
1.795461893081665:	lidar;	29	7	7496
1.79551100730896:	lidar;	331
1.7959809303283691:	lidar;	30	7	7424
1.8031659126281738:	lidar;	326
1.8031928539276123:	lidar;	31	7	7504
1.8110249042510986:	lidar;	331
1.8110358715057373:	lidar;	32	7	7496
1.8180229663848877:	lidar;	342
1.8180289268493652:	lidar;	33	7	7416
1.8260319232940674:	lidar;	367
1.8260397911071777:	lidar;	34	7	7552
1.833070993423462:	lidar;	399
1.8330848217010498:	lidar;	35	7	7408
1.8402209281921387:	lidar;	1
1.840242862701416:	lidar;	36	7	7376
1.862149953842163:	lidar;	547
1.8621768951416016:	lidar;	37	7	7240
1.8622279167175293:	lidar;	746
1.8622360229492188:	lidar;	0	8	7392
1.8622419834136963:	lidar;	962
1.8622469902038574:	lidar;	1	8	7200
1.869079828262329:	lidar;	909
1.869095802307129:	lidar;	2	8	7280
1.8770349025726318:	lidar;	899
1.877046823501587:	lidar;	3	8	7376
1.884032964706421:	lidar;	305
1.8840408325195312:	lidar;	4	8	7160
1.9050378799438477:	lidar;	89
1.9050519466400146:	lidar;	5	8	21056
1.912086009979248:	lidar;	75
1.9121038913726807:	lidar;	6	8	7288
1.9275858402252197:	lidar;	65
1.9276008605957031:	lidar;	7	8	7152
1.9276089668273926:	lidar;	61
1.9276139736175537:	lidar;	8	8	7112
1.934046983718872:	lidar;	54
1.9340598583221436:	lidar;	9	8	7152
1.941051959991455:	lidar;	53
1.9410688877105713:	lidar;	10	8	7112
1.9480547904968262:	lidar;	51
1.9480679035186768:	lidar;	11	8	6984
1.9550318717956543:	lidar;	53
1.9550390243530273:	lidar;	12	8	7104
1.9620368480682373:	lidar;	55
1.9630229473114014:	lidar;	13	8	7160
1.9690279960632324:	lidar;	58
1.9690439701080322:	lidar;	14	8	7360
1.977051019668579:	lidar;	38
1.9770569801330566:	lidar;	15	8	7248
1.9930298328399658:	lidar;	33
1.9930458068847656:	lidar;	16	8	7024
1.993053913116455:	lidar;	30
1.9930598735809326:	lidar;	17	8	7112
1.9980928897857666:	lidar;	27
1.9981069564819336:	lidar;	18	8	7008
2.0050339698791504:	lidar;	22
2.005046844482422:	lidar;	19	8	7008
2.012101888656616:	lidar;	23
2.0121188163757324:	lidar;	20	8	7040
2.0190629959106445:	lidar;	22
2.0190768241882324:	lidar;	21	8	7072
2.026150941848755:	lidar;	20
2.026175022125244:	lidar;	22	8	7036
2.0330748558044434:	lidar;	19
2.0330898761749268:	lidar;	23	8	6964
2.040012836456299:	lidar;	19
2.0400218963623047:	lidar;	24	8	7128
2.057107925415039:	lidar;	20
2.057123899459839:	lidar;	25	8	7016
2.057130813598633:	lidar;	470
2.0571370124816895:	lidar;	26	8	7216
2.0610430240631104:	lidar;	402
2.0620548725128174:	lidar;	27	8	7280
2.069056987762451:	lidar;	375
2.0690720081329346:	lidar;	28	8	7512
2.0770328044891357:	lidar;	541
2.0780558586120605:	lidar;	29	8	7416
2.084005832672119:	lidar;	331
2.0840139389038086:	lidar;	30	8	7488
2.0921130180358887:	lidar;	326
2.092134952545166:	lidar;	31	8	7368
2.099118947982788:	lidar;	329
2.0991408824920654:	lidar;	32	8	7416
2.1060168743133545:	lidar;	342
2.1060259342193604:	lidar;	33	8	7512
