0.7396960258483887:	lidar;	23	5
0.7587800025939941:	lidar;	301
0.7587940692901611:	lidar;	24	5
0.7588009834289551:	lidar;	138
0.7588059902191162:	lidar;	25	5
0.7588119506835938:	lidar;	98
0.7588169574737549:	lidar;	26	5
0.7628350257873535:	lidar;	84
0.7628800868988037:	lidar;	27	5
0.766793966293335:	lidar;	73
0.7668130397796631:	lidar;	28	5
0.7706940174102783:	lidar;	63
0.7707018852233887:	lidar;	29	5
0.7756869792938232:	lidar;	56
0.7756929397583008:	lidar;	30	5
0.7796828746795654:	lidar;	54
0.7796900272369385:	lidar;	31	5
0.7847189903259277:	lidar;	52
0.7847259044647217:	lidar;	32	5
0.788701057434082:	lidar;	45
0.788707971572876:	lidar;	33	5
0.7927138805389404:	lidar;	44
0.7927229404449463:	lidar;	34	5
0.7977960109710693:	lidar;	47
0.7978119850158691:	lidar;	35	5
0.8017449378967285:	lidar;	45
0.8017580509185791:	lidar;	36	5
0.8068430423736572:	lidar;	42
0.806926965713501:	lidar;	37	5
0.826650857925415:	lidar;	45
0.8266880512237549:	lidar;	0	6
0.8266980648040771:	lidar;	45
0.8267068862915039:	lidar;	1	6
0.826714038848877:	lidar;	50
0.8267199993133545:	lidar;	2	6
0.8267269134521484:	lidar;	55
0.826732873916626:	lidar;	3	6
0.8297810554504395:	lidar;	49
0.8297948837280273:	lidar;	4	6
0.8387448787689209:	lidar;	1
0.8387570381164551:	lidar;	5	6
0.8498320579528809:	lidar;	1
0.8501758575439453:	lidar;	6	6
0.854733943939209:	lidar;	501
0.8547458648681641:	lidar;	7	6
0.8627200126647949:	lidar;	396
0.8627269268035889:	lidar;	8	6
0.8687970638275146:	lidar;	436
0.8688170909881592:	lidar;	9	6
0.8757259845733643:	lidar;	328
0.8757369518280029:	lidar;	10	6
0.8908829689025879:	lidar;	348
0.8908960819244385:	lidar;	11	6
0.893779993057251:	lidar;	375
0.8937959671020508:	lidar;	12	6
0.8987529277801514:	lidar;	421
0.8987679481506348:	lidar;	13	6
0.9046940803527832:	lidar;	470
0.9047009944915771:	lidar;	14	6
0.9127020835876465:	lidar;	979
0.912708044052124:	lidar;	15	6
0.920738935470581:	lidar;	905
0.9207539558410645:	lidar;	16	6
0.9296948909759521:	lidar;	300
0.9297020435333252:	lidar;	17	6
0.9347090721130371:	lidar;	138
0.9347250461578369:	lidar;	18	6
0.938709020614624:	lidar;	99
0.9387149810791016:	lidar;	19	6
0.9553840160369873:	lidar;	83
0.9554009437561035:	lidar;	20	6
0.955409049987793:	lidar;	72
0.9554140567779541:	lidar;	21	6
0.9554200172424316:	lidar;	64
0.9554250240325928:	lidar;	22	6
0.955751895904541:	lidar;	57
0.9557628631591797:	lidar;	23	6
0.9607739448547363:	lidar;	54
0.9607889652252197:	lidar;	24	6
0.9657368659973145:	lidar;	53
0.9657509326934814:	lidar;	25	6
0.9736940860748291:	lidar;	44
0.9737019538879395:	lidar;	26	6
0.9787120819091797:	lidar;	47
0.9787180423736572:	lidar;	27	6
0.9826960563659668:	lidar;	47
0.9827020168304443:	lidar;	28	6
0.9887020587921143:	lidar;	43
0.9887070655822754:	lidar;	29	6
0.9967038631439209:	lidar;	45
0.9967188835144043:	lidar;	30	6
1.0017318725585938:	lidar;	54
1.0017409324645996:	lidar;	31	6
1.0057308673858643:	lidar;	62
1.0057389736175537:	lidar;	32	6
1.0305030345916748:	lidar;	55
1.0305168628692627:	lidar;	33	6
1.0305249691009521:	lidar;	1
1.0305299758911133:	lidar;	34	6
1.0337328910827637:	lidar;	520
1.0337400436401367:	lidar;	35	6
1.0377070903778076:	lidar;	454
1.0377230644226074:	lidar;	36	6
1.0418179035186768:	lidar;	397
1.0418379306793213:	lidar;	37	6
1.0477628707885742:	lidar;	401
1.047780990600586:	lidar;	0	7
1.0517148971557617:	lidar;	539
1.0517230033874512:	lidar;	1	7
1.0566959381103516:	lidar;	327
1.0567030906677246:	lidar;	2	7
1.0687260627746582:	lidar;	348
1.0687320232391357:	lidar;	3	7
1.074915885925293:	lidar;	381
1.0749359130859375:	lidar;	4	7
1.077768087387085:	lidar;	416
1.0787079334259033:	lidar;	5	7
1.0949549674987793:	lidar;	465
1.0949718952178955:	lidar;	6	7
1.095033884048462:	lidar;	979
1.095041036605835:	lidar;	7	7
1.1017708778381348:	lidar;	904
1.1017799377441406:	lidar;	8	7
1.1097769737243652:	lidar;	215
1.1097970008850098:	lidar;	9	7
1.113724946975708:	lidar;	140
1.1137349605560303:	lidar;	10	7
1.1177079677581787:	lidar;	99
1.1187939643859863:	lidar;	11	7
1.12276291847229:	lidar;	83
1.1227760314941406:	lidar;	12	7
1.1267099380493164:	lidar;	74
1.1267189979553223:	lidar;	13	7
1.1317200660705566:	lidar;	63
1.1317269802093506:	lidar;	14	7
1.1357178688049316:	lidar;	57
1.1367149353027344:	lidar;	15	7
1.1397199630737305:	lidar;	55
1.1397249698638916:	lidar;	16	7
1.143718957901001:	lidar;	54
1.1447179317474365:	lidar;	17	7
1.1593539714813232:	lidar;	47
1.1593708992004395:	lidar;	18	7
1.1593799591064453:	lidar;	44
1.1593849658966064:	lidar;	19	7
1.1593918800354004:	lidar;	45
1.1593968868255615:	lidar;	20	7
1.1617889404296875:	lidar;	47
1.1618030071258545:	lidar;	21	7
1.1667530536651611:	lidar;	43
1.1667649745941162:	lidar;	22	7
1.1707069873809814:	lidar;	45
1.1707139015197754:	lidar;	23	7
1.1757268905639648:	lidar;	44
1.175734043121338:	lidar;	24	7
1.1818029880523682:	lidar;	53
1.1818208694458008:	lidar;	25	7
1.1846978664398193:	lidar;	55
1.1857140064239502:	lidar;	26	7
1.189713954925537:	lidar;	49
1.1897199153900146:	lidar;	27	7
1.1987149715423584:	lidar;	1
1.198720932006836:	lidar;	28	7
1.2077269554138184:	lidar;	787
1.207740068435669:	lidar;	29	7
1.2245268821716309:	lidar;	525
1.2245469093322754:	lidar;	30	7
1.2245559692382812:	lidar;	424
1.2245619297027588:	lidar;	31	7
1.2267439365386963:	lidar;	402
1.226754903793335:	lidar;	32	7
1.2316758632659912:	lidar;	536
1.2316930294036865:	lidar;	33	7
1.2357139587402344:	lidar;	327
1.2357299327850342:	lidar;	34	7
1.2499210834503174:	lidar;	352
1.2499420642852783:	lidar;	35	7
1.25770902633667:	lidar;	415
1.2577168941497803:	lidar;	36	7
1.2636959552764893:	lidar;	465
1.2637019157409668:	lidar;	37	7
1.272723913192749:	lidar;	978
1.272731065750122:	lidar;	0	8
1.2830049991607666:	lidar;	907
1.28302001953125:	lidar;	1	8
1.289085865020752:	lidar;	290
1.2891030311584473:	lidar;	2	8
1.293760061264038:	lidar;	135
1.2937710285186768:	lidar;	3	8
1.2977099418640137:	lidar;	98
1.2986979484558105:	lidar;	4	8
1.3037769794464111:	lidar;	79
1.3037970066070557:	lidar;	5	8
1.3108558654785156:	lidar;	62
1.3108799457550049:	lidar;	6	8
1.3177318572998047:	lidar;	55
1.3177399635314941:	lidar;	7	8
1.3237130641937256:	lidar;	52
1.3237190246582031:	lidar;	8	8
1.3288190364837646:	lidar;	48
1.3288390636444092:	lidar;	9	8
1.332726001739502:	lidar;	43
1.3327360153198242:	lidar;	10	8
1.3367059230804443:	lidar;	44
1.3367140293121338:	lidar;	11	8
1.3442680835723877:	lidar;	44
1.3442809581756592:	lidar;	12	8
1.3537709712982178:	lidar;	42
1.353787899017334:	lidar;	13	8
1.3537960052490234:	lidar;	44
1.3538010120391846:	lidar;	14	8
1.3557720184326172:	lidar;	42
1.3557848930358887:	lidar;	15	8
1.3617489337921143:	lidar;	67
1.361759901046753:	lidar;	16	8
1.373810052871704:	lidar;	44
1.373831033706665:	lidar;	17	8
1.3840789794921875:	lidar;	1
1.3841090202331543:	lidar;	18	8
1.3916759490966797:	lidar;	532
1.3916850090026855:	lidar;	19	8
1.3966460227966309:	lidar;	452
1.3966538906097412:	lidar;	20	8
1.4006609916687012:	lidar;	393
1.4006669521331787:	lidar;	21	8
1.4182460308074951:	lidar;	408
1.4182639122009277:	lidar;	22	8
1.4182729721069336:	lidar;	538
1.4182779788970947:	lidar;	23	8
1.4182848930358887:	lidar;	325
1.4182898998260498:	lidar;	24	8
1.4277539253234863:	lidar;	348
1.4277739524841309:	lidar;	25	8
1.432682991027832:	lidar;	378
1.4326930046081543:	lidar;	26	8
1.436743974685669:	lidar;	415
1.436755895614624:	lidar;	27	8
1.4426600933074951:	lidar;	471
1.4427309036254883:	lidar;	28	8
1.4506609439849854:	lidar;	974
1.4506678581237793:	lidar;	29	8
1.4586660861968994:	lidar;	906
1.4586710929870605:	lidar;	30	8
1.466662883758545:	lidar;	290
1.4666690826416016:	lidar;	31	8
1.4852209091186523:	lidar;	137
1.4852380752563477:	lidar;	32	8
1.4852468967437744:	lidar;	99
1.4852519035339355:	lidar;	33	8
1.485257863998413:	lidar;	83
1.4852628707885742:	lidar;	34	8
1.4857149124145508:	lidar;	70
1.4857349395751953:	lidar;	35	8
1.4937479496002197:	lidar;	57
1.493769884109497:	lidar;	36	8
1.4986600875854492:	lidar;	53
1.498671054840088:	lidar;	37	8
1.5067338943481445:	lidar;	47
1.5067448616027832:	lidar;	0	9
1.5116589069366455:	lidar;	44
1.5116679668426514:	lidar;	1	9
1.5196359157562256:	lidar;	44
1.5196430683135986:	lidar;	2	9
1.5236599445343018:	lidar;	42
1.523676872253418:	lidar;	3	9
1.5286579132080078:	lidar;	43
1.528662919998169:	lidar;	4	9
1.5336530208587646:	lidar;	43
1.533660888671875:	lidar;	5	9
1.550076961517334:	lidar;	51
1.550096035003662:	lidar;	6	9
1.5501039028167725:	lidar;	62
1.5501089096069336:	lidar;	7	9
1.5517239570617676:	lidar;	42
1.5526459217071533:	lidar;	8	9
1.5609219074249268:	lidar;	1
1.5609660148620605:	lidar;	9	9
1.5696589946746826:	lidar;	534
1.5696680545806885:	lidar;	10	9
1.5746610164642334:	lidar;	453
1.574666976928711:	lidar;	11	9
1.578665018081665:	lidar;	392
1.5786709785461426:	lidar;	12	9
1.583677053451538:	lidar;	411
1.583683967590332:	lidar;	13	9
1.58766508102417:	lidar;	539
1.5876710414886475:	lidar;	14	9
1.5926909446716309:	lidar;	327
1.5927000045776367:	lidar;	15	9
1.6153290271759033:	lidar;	348
1.6153478622436523:	lidar;	16	9
1.6153559684753418:	lidar;	380
1.6153619289398193:	lidar;	17	9
1.6153700351715088:	lidar;	416
1.61537504196167:	lidar;	18	9
1.6218788623809814:	lidar;	531
1.621901035308838:	lidar;	19	9
1.6287040710449219:	lidar;	973
1.6287178993225098:	lidar;	20	9
1.6376678943634033:	lidar;	904
1.6376750469207764:	lidar;	21	9
1.6446499824523926:	lidar;	286
1.645637035369873:	lidar;	22	9
1.650866985321045:	lidar;	124
1.6508870124816895:	lidar;	23	9
1.6586558818817139:	lidar;	83
1.6586639881134033:	lidar;	24	9
1.6636369228363037:	lidar;	72
1.6636428833007812:	lidar;	25	9
1.6708860397338867:	lidar;	63
1.6709010601043701:	lidar;	26	9
1.681501865386963:	lidar;	57
1.681520938873291:	lidar;	27	9
1.6815299987792969:	lidar;	54
1.6815359592437744:	lidar;	28	9
1.6815440654754639:	lidar;	53
1.6815500259399414:	lidar;	29	9
1.6846439838409424:	lidar;	48
1.6846508979797363:	lidar;	30	9
1.6886708736419678:	lidar;	43
1.6886780261993408:	lidar;	31	9
1.6936430931091309:	lidar;	44
1.6936500072479248:	lidar;	32	9
1.6976208686828613:	lidar;	45
1.6976280212402344:	lidar;	33	9
1.7027499675750732:	lidar;	42
1.7027699947357178:	lidar;	34	9
1.7076680660247803:	lidar;	45
1.7076780796051025:	lidar;	35	9
1.7116470336914062:	lidar;	44
1.7116549015045166:	lidar;	36	9
1.7166409492492676:	lidar;	52
1.7166469097137451:	lidar;	37	9
1.721693992614746:	lidar;	58
1.7217049598693848:	lidar;	0	10
1.7296578884124756:	lidar;	52
1.7296669483184814:	lidar;	1	10
1.7456610202789307:	lidar;	1
1.745676040649414:	lidar;	2	10
1.7477080821990967:	lidar;	533
1.7477190494537354:	lidar;	3	10
1.753675937652588:	lidar;	453
1.7536849975585938:	lidar;	4	10
1.7576930522918701:	lidar;	387
1.7587010860443115:	lidar;	5	10
1.7628400325775146:	lidar;	408
1.7628610134124756:	lidar;	6	10
1.7666730880737305:	lidar;	539
1.7666840553283691:	lidar;	7	10
1.77069091796875:	lidar;	327
1.7716560363769531:	lidar;	8	10
1.7847318649291992:	lidar;	349
1.7847518920898438:	lidar;	9	10
1.7886710166931152:	lidar;	374
1.7886810302734375:	lidar;	10	10
1.7936558723449707:	lidar;	415
1.7936630249023438:	lidar;	11	10
1.8136470317840576:	lidar;	485
1.8136608600616455:	lidar;	12	10
1.8136680126190186:	lidar;	976
1.8136720657348633:	lidar;	13	10
1.8157670497894287:	lidar;	905
1.8157799243927002:	lidar;	14	10
1.8236770629882812:	lidar;	279
1.823685884475708:	lidar;	15	10
1.8289248943328857:	lidar;	136
1.82896089553833:	lidar;	16	10
1.834709882736206:	lidar;	92
1.8347249031066895:	lidar;	17	10
1.8416779041290283:	lidar;	74
1.8416838645935059:	lidar;	18	10
1.846668004989624:	lidar;	62
1.8466739654541016:	lidar;	19	10
1.854665994644165:	lidar;	53
1.8546719551086426:	lidar;	20	10
1.8586480617523193:	lidar;	53
1.8598380088806152:	lidar;	21	10
1.8627030849456787:	lidar;	47
1.8813719749450684:	lidar;	22	10
1.881397008895874:	lidar;	44
1.8814029693603516:	lidar;	23	10
1.8814098834991455:	lidar;	44
1.8814148902893066:	lidar;	24	10
1.8847298622131348:	lidar;	43
1.8847429752349854:	lidar;	25	10
1.8897030353546143:	lidar;	44
1.8897149562835693:	lidar;	26	10
1.8956968784332275:	lidar;	53
1.895719051361084:	lidar;	27	10
1.8996469974517822:	lidar;	59
1.8996529579162598:	lidar;	28	10
1.9076950550079346:	lidar;	47
1.9077060222625732:	lidar;	29	10
1.9166929721832275:	lidar;	1
1.9167048931121826:	lidar;	30	10
1.9256820678710938:	lidar;	542
1.9256889820098877:	lidar;	31	10
1.9306528568267822:	lidar;	454
