2.947200059890747:	lidar;	4	19
2.9591331481933594:	lidar;	606
2.959144115447998:	lidar;	5	19
2.9731271266937256:	lidar;	993
2.973134994506836:	lidar;	6	19
2.9881420135498047:	lidar;	944
2.988150119781494:	lidar;	7	19
3.011676073074341:	lidar;	907
3.0116939544677734:	lidar;	8	19
3.0202159881591797:	lidar;	632
3.020236015319824:	lidar;	9	19
3.0352420806884766:	lidar;	195
3.0352611541748047:	lidar;	10	19
3.0511410236358643:	lidar;	112
3.051147937774658:	lidar;	11	19
3.0755600929260254:	lidar;	87
3.0755770206451416:	lidar;	12	19
3.0811891555786133:	lidar;	72
3.08119797706604:	lidar;	13	19
3.0962131023406982:	lidar;	61
3.0962350368499756:	lidar;	14	19
3.1121439933776855:	lidar;	53
3.112149953842163:	lidar;	15	19
3.131632089614868:	lidar;	50
3.1316471099853516:	lidar;	16	19
3.1441869735717773:	lidar;	50
3.144202947616577:	lidar;	17	19
3.162168025970459:	lidar;	48
3.162184000015259:	lidar;	18	19
3.1791601181030273:	lidar;	22
3.1791720390319824:	lidar;	19	19
3.2051820755004883:	lidar;	23
3.205199956893921:	lidar;	20	19
3.238201141357422:	lidar;	19
3.2382171154022217:	lidar;	21	19
3.2773399353027344:	lidar;	38
3.2773680686950684:	lidar;	22	19
3.310145139694214:	lidar;	34
3.3101539611816406:	lidar;	23	19
3.33827805519104:	lidar;	23
3.3383400440216064:	lidar;	24	19
3.36419415473938:	lidar;	24
3.364208936691284:	lidar;	25	19
3.3976080417633057:	lidar;	23
3.3976261615753174:	lidar;	26	19
3.4112091064453125:	lidar;	19
3.411229133605957:	lidar;	27	19
3.435133934020996:	lidar;	20
3.435141086578369:	lidar;	28	19
3.457918167114258:	lidar;	18
3.4579319953918457:	lidar;	29	19
3.4771790504455566:	lidar;	18
3.477199077606201:	lidar;	30	19
3.4961440563201904:	lidar;	19
3.497123956680298:	lidar;	31	19
3.529366970062256:	lidar;	19
3.5293869972229004:	lidar;	32	19
3.5331549644470215:	lidar;	20
3.53316593170166:	lidar;	33	19
3.5511839389801025:	lidar;	20
3.5511960983276367:	lidar;	34	19
3.5681300163269043:	lidar;	34
3.568135976791382:	lidar;	35	19
3.5934860706329346:	lidar;	414
3.593502998352051:	lidar;	36	19
3.630171060562134:	lidar;	333
3.630182981491089:	lidar;	37	19
3.6606850624084473:	lidar;	342
3.66070294380188:	lidar;	0	20
3.6611850261688232:	lidar;	357
3.6611969470977783:	lidar;	1	20
3.6761701107025146:	lidar;	384
3.6761929988861084:	lidar;	2	20
3.6922190189361572:	lidar;	428
3.6922380924224854:	lidar;	3	20
3.7091450691223145:	lidar;	481
3.710108995437622:	lidar;	4	20
3.7248740196228027:	lidar;	624
3.724893093109131:	lidar;	5	20
3.735227108001709:	lidar;	993
3.7352681159973145:	lidar;	6	20
3.7502989768981934:	lidar;	940
3.751152992248535:	lidar;	7	20
3.7661280632019043:	lidar;	906
3.766134023666382:	lidar;	8	20
3.789088010787964:	lidar;	631
3.7891061305999756:	lidar;	9	20
3.7971811294555664:	lidar;	194
3.7971880435943604:	lidar;	10	20
3.812127113342285:	lidar;	114
3.8121390342712402:	lidar;	11	20
3.8271219730377197:	lidar;	86
3.8271279335021973:	lidar;	12	20
3.854228973388672:	lidar;	72
3.8542490005493164:	lidar;	13	20
3.8582069873809814:	lidar;	60
3.85821795463562:	lidar;	14	20
3.873577117919922:	lidar;	54
3.873634099960327:	lidar;	15	20
3.8892531394958496:	lidar;	51
3.8892791271209717:	lidar;	16	20
3.9042060375213623:	lidar;	49
3.904226064682007:	lidar;	17	20
3.9212591648101807:	lidar;	48
3.9212751388549805:	lidar;	18	20
3.9381351470947266:	lidar;	23
3.9381439685821533:	lidar;	19	20
3.9611310958862305:	lidar;	20
3.9611401557922363:	lidar;	20	20
3.992125988006592:	lidar;	18
3.9921441078186035:	lidar;	21	20
4.029255151748657:	lidar;	38
4.029273986816406:	lidar;	22	20
4.059340953826904:	lidar;	34
4.059368133544922:	lidar;	23	20
4.087115049362183:	lidar;	22
4.087128162384033:	lidar;	24	20
4.1151039600372314:	lidar;	24
4.115131139755249:	lidar;	25	20
4.134112119674683:	lidar;	20
4.134123086929321:	lidar;	26	20
4.157073974609375:	lidar;	20
4.1570799350738525:	lidar;	27	20
4.180099010467529:	lidar;	20
4.180117130279541:	lidar;	28	20
4.201290130615234:	lidar;	19
4.201313018798828:	lidar;	29	20
4.221091985702515:	lidar;	17
4.221097946166992:	lidar;	30	20
4.241451978683472:	lidar;	19
4.2414679527282715:	lidar;	31	20
4.257154941558838:	lidar;	19
4.2571821212768555:	lidar;	32	20
4.274152994155884:	lidar;	22
4.275148153305054:	lidar;	33	20
4.291095018386841:	lidar;	19
4.292076110839844:	lidar;	34	20
4.312829971313477:	lidar;	30
4.312848091125488:	lidar;	35	20
4.325102090835571:	lidar;	413
4.325122117996216:	lidar;	36	20
4.377148151397705:	lidar;	333
4.377164125442505:	lidar;	37	20
4.384101152420044:	lidar;	340
4.3841071128845215:	lidar;	0	21
4.399099111557007:	lidar;	358
4.39911413192749:	lidar;	1	21
4.414248943328857:	lidar;	385
4.4142680168151855:	lidar;	2	21
4.441202163696289:	lidar;	427
4.441219091415405:	lidar;	3	21
4.4461750984191895:	lidar;	480
4.447148084640503:	lidar;	4	21
4.458091974258423:	lidar;	626
4.458104133605957:	lidar;	5	21
4.472044944763184:	lidar;	988
4.472053050994873:	lidar;	6	21
4.486243009567261:	lidar;	944
4.486263036727905:	lidar;	7	21
4.505677938461304:	lidar;	908
4.505695104598999:	lidar;	8	21
4.519261121749878:	lidar;	602
4.5192811489105225:	lidar;	9	21
4.533282995223999:	lidar;	185
4.533297061920166:	lidar;	10	21
4.548141002655029:	lidar;	113
4.5481531620025635:	lidar;	11	21
4.573143005371094:	lidar;	86
4.573162078857422:	lidar;	12	21
4.5780839920043945:	lidar;	72
4.578089952468872:	lidar;	13	21
4.595103979110718:	lidar;	59
4.595118999481201:	lidar;	14	21
4.6090569496154785:	lidar;	53
4.609063148498535:	lidar;	15	21
4.634658098220825:	lidar;	50
4.634673118591309:	lidar;	16	21
4.6401519775390625:	lidar;	49
4.640171051025391:	lidar;	17	21
4.657626152038574:	lidar;	49
4.657782077789307:	lidar;	18	21
4.6761391162872314:	lidar;	23
4.676155090332031:	lidar;	19	21
4.7014219760894775:	lidar;	19
4.701446056365967:	lidar;	20	21
4.729130983352661:	lidar;	18
4.729149103164673:	lidar;	21	21
4.766790151596069:	lidar;	39
4.766806125640869:	lidar;	22	21
4.7961931228637695:	lidar;	34
4.79621696472168:	lidar;	23	21
4.832288980484009:	lidar;	23
4.832309007644653:	lidar;	24	21
4.849276065826416:	lidar;	24
4.849298000335693:	lidar;	25	21
4.873141050338745:	lidar;	20
4.87316107749939:	lidar;	26	21
4.898205995559692:	lidar;	19
4.8982250690460205:	lidar;	27	21
4.9192681312561035:	lidar;	19
4.919290065765381:	lidar;	28	21
4.940097093582153:	lidar;	19
4.940106153488159:	lidar;	29	21
4.9623939990997314:	lidar;	20
4.962412118911743:	lidar;	30	21
4.978165149688721:	lidar;	19
4.978186130523682:	lidar;	31	21
4.9982359409332275:	lidar;	18
4.998255968093872:	lidar;	32	21
5.025798082351685:	lidar;	19
5.0258660316467285:	lidar;	33	21
5.034106969833374:	lidar;	19
5.034112930297852:	lidar;	34	21
5.049159049987793:	lidar;	33
5.049180030822754:	lidar;	35	21
5.067070007324219:	lidar;	427
5.067080974578857:	lidar;	36	21
5.110101938247681:	lidar;	333
5.110120058059692:	lidar;	37	21
5.126091003417969:	lidar;	343
5.1261069774627686:	lidar;	0	22
5.140128135681152:	lidar;	360
5.140191078186035:	lidar;	1	22
5.155473947525024:	lidar;	384
5.155492067337036:	lidar;	2	22
5.169054985046387:	lidar;	427
5.169064998626709:	lidar;	3	22
5.187127113342285:	lidar;	473
5.187144041061401:	lidar;	4	22
5.198073148727417:	lidar;	625
5.198085069656372:	lidar;	5	22
5.2121500968933105:	lidar;	988
5.219797134399414:	lidar;	6	22
5.228148937225342:	lidar;	938
5.228163957595825:	lidar;	7	22
5.244256973266602:	lidar;	908
5.244296073913574:	lidar;	8	22
5.262082099914551:	lidar;	534
