5.011904954910278:	imu;	yaw,	-3.189589500427246|	accel_x,	0.5|	accel_y,	0.8399999737739563|	compass,	1.244243860244751|	ang_vx,	0.3211405873298645|	ang_vy,	-0.7958701252937317
5.013359069824219:	motors;	76
5.017887115478516:	blue_led;	195
5.031569957733154:	imu;	yaw,	-3.179771900177002|	accel_x,	0.3100000023841858|	accel_y,	-0.019999999552965164|	compass,	1.2796592712402344|	ang_vx,	-0.48171088099479675|	ang_vy,	-0.8377581238746643
5.032625913619995:	blue_led;	192
5.036991119384766:	motors;	75
5.041409254074097:	servo;	10
5.045913219451904:	blue_led;	180
5.05029296875:	motors;	70
5.052202463150024:	imu;	yaw,	-3.1710453033447266|	accel_x,	0.5299999713897705|	accel_y,	-0.20000000298023224|	compass,	1.2796592712402344|	ang_vx,	-0.8447393774986267|	ang_vy,	-0.2932153344154358
5.054832935333252:	servo;	9
5.059410333633423:	blue_led;	170
5.063927173614502:	motors;	66
5.068350315093994:	servo;	8
5.072740077972412:	blue_led;	161
5.077117443084717:	motors;	63
5.08152174949646:	servo;	0
5.08610463142395:	blue_led;	154
5.090405225753784:	motors;	60
5.0947771072387695:	blue_led;	123
5.099285364151001:	motors;	48
5.105227947235107:	blue_led;	111
5.109565496444702:	motors;	43
5.113943338394165:	blue_led;	80
5.118306636810303:	motors;	31
5.122847080230713:	blue_led;	59
5.127203464508057:	motors;	-23
5.131640195846558:	blue_led;	0
5.135978698730469:	motors;	0
5.175892114639282:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.191758871078491:	imu;	yaw,	-3.135047674179077|	accel_x,	0.25999999046325684|	accel_y,	0.800000011920929|	compass,	0.9489083886146545|	ang_vx,	0.22340215742588043|	ang_vy,	-0.6841690540313721
5.211746454238892:	imu;	yaw,	-3.12959361076355|	accel_x,	0.9900000095367432|	accel_y,	0.8700000047683716|	compass,	0.9489083886146545|	ang_vx,	0.27925270795822144|	ang_vy,	-0.8936086297035217
5.290751695632935:	imu;	yaw,	-3.115412712097168|	accel_x,	0.1899999976158142|	accel_y,	1.3700000047683716|	compass,	0.8834949731826782|	ang_vx,	-0.4956735074520111|	ang_vy,	-0.37000980973243713
5.320818662643433:	imu;	yaw,	-3.1143219470977783|	accel_x,	0.10000000149011612|	accel_y,	-0.2199999988079071|	compass,	0.8834949731826782|	ang_vx,	-1.8500490188598633|	ang_vy,	-0.03490658849477768
5.345038652420044:	blue_led;	53
5.349808692932129:	motors;	-20
5.355524301528931:	blue_led;	71
5.359863519668579:	motors;	-28
5.365471363067627:	blue_led;	102
5.369802713394165:	motors;	-40
5.375411510467529:	servo;	-11
5.37978458404541:	blue_led;	127
5.384070873260498:	motors;	-49
5.396627902984619:	servo;	-15
5.401017904281616:	blue_led;	154
5.405307292938232:	motors;	-60
5.4109251499176025:	servo;	-25
5.415392637252808:	blue_led;	255
5.419850587844849:	motors;	-100
5.577426910400391:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.594416856765747:	imu;	yaw,	-3.102322816848755|	accel_x,	0.6700000166893005|	accel_y,	-0.07000000029802322|	compass,	1.0967808961868286|	ang_vx,	-1.0541788339614868|	ang_vy,	0.041887905448675156
5.614083290100098:	imu;	yaw,	-3.1001410484313965|	accel_x,	0.4399999976158142|	accel_y,	0.2800000011920929|	compass,	1.0967808961868286|	ang_vx,	0.2652900516986847|	ang_vy,	-0.06283185631036758
5.7744245529174805:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.9751129150390625:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.99512505531311:	imu;	yaw,	-3.0423271656036377|	accel_x,	0.17000000178813934|	accel_y,	-0.10000000149011612|	compass,	2.165771722793579|	ang_vx,	-0.1466076672077179|	ang_vy,	0.041887905448675156
6.015367746353149:	imu;	yaw,	-3.0368731021881104|	accel_x,	0.28999999165534973|	accel_y,	-0.27000001072883606|	compass,	2.165771722793579|	ang_vx,	-0.06283185631036758|	ang_vy,	-0.4118977189064026
6.03129768371582:	imu;	yaw,	-3.0303280353546143|	accel_x,	0.49000000953674316|	accel_y,	0.9300000071525574|	compass,	2.548564910888672|	ang_vx,	-0.18151424825191498|	ang_vy,	0.33510324358940125
6.174853563308716:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.575594663619995:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.720905065536499:	imu;	yaw,	-2.855794906616211|	accel_x,	-0.3100000023841858|	accel_y,	-0.46000000834465027|	compass,	1.9916404485702515|	ang_vx,	0.2373647838830948|	ang_vy,	-0.8098328113555908
6.774134159088135:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.97476053237915:	gps;	long,	0.0|	lat,	0.0|	fix,	False
7.000583648681641:	imu;	yaw,	-2.7805278301239014|	accel_x,	0.03999999910593033|	accel_y,	-0.8700000047683716|	compass,	3.0738525390625|	ang_vx,	0.18151424825191498|	ang_vy,	-0.3490658700466156
7.174283504486084:	gps;	long,	0.0|	lat,	0.0|	fix,	False
7.321261405944824:	imu;	yaw,	-2.720531940460205|	accel_x,	0.44999998807907104|	accel_y,	-0.33000001311302185|	compass,	1.376424789428711|	ang_vx,	-0.13962635397911072|	ang_vy,	0.2652900516986847
7.575068235397339:	gps;	long,	0.0|	lat,	0.0|	fix,	False
7.774775505065918:	gps;	long,	0.0|	lat,	0.0|	fix,	False
7.9753499031066895:	gps;	long,	0.0|	lat,	0.0|	fix,	False
8.174544095993042:	gps;	long,	0.0|	lat,	0.0|	fix,	False
8.47171139717102:	imu;	yaw,	-2.5143649578094482|	accel_x,	-0.10999999940395355|	accel_y,	-0.23000000417232513|	compass,	1.0600454807281494|	ang_vx,	-0.34208452701568604|	ang_vy,	0.6632251143455505
8.577591896057129:	gps;	long,	0.0|	lat,	0.0|	fix,	False
8.591593742370605:	imu;	yaw,	-2.495820999145508|	accel_x,	-0.20999999344348907|	accel_y,	-0.5|	compass,	1.0779598951339722|	ang_vx,	-0.16755162179470062|	ang_vy,	-0.10471976548433304
8.651288032531738:	imu;	yaw,	-2.4870944023132324|	accel_x,	0.47999998927116394|	accel_y,	-0.5400000214576721|	compass,	1.3176807165145874|	ang_vx,	-0.4398229718208313|	ang_vy,	-0.16755162179470062
8.73160696029663:	imu;	yaw,	-2.470731735229492|	accel_x,	-0.20999999344348907|	accel_y,	-0.4699999988079071|	compass,	1.5100246667861938|	ang_vx,	-0.3211405873298645|	ang_vy,	-0.691150426864624
8.774251461029053:	gps;	long,	0.0|	lat,	0.0|	fix,	False
8.974941730499268:	gps;	long,	0.0|	lat,	0.0|	fix,	False
9.070947647094727:	imu;	yaw,	-2.428189516067505|	accel_x,	0.2199999988079071|	accel_y,	0.05000000074505806|	compass,	2.3785176277160645|	ang_vx,	0.25132742524147034|	ang_vy,	-0.09773844480514526
9.174039363861084:	imu;	yaw,	-2.4129178524017334|	accel_x,	0.18000000715255737|	accel_y,	0.5199999809265137|	compass,	3.1144254207611084|	ang_vx,	0.4328416585922241|	ang_vy,	0.25132742524147034
9.181152820587158:	gps;	long,	0.0|	lat,	0.0|	fix,	False
9.3748300075531:	gps;	long,	0.0|	lat,	0.0|	fix,	False
9.575681924819946:	gps;	long,	0.0|	lat,	0.0|	fix,	False
9.77706503868103:	gps;	long,	0.0|	lat,	0.0|	fix,	False
9.79215955734253:	imu;	yaw,	-2.315833806991577|	accel_x,	0.1599999964237213|	accel_y,	-0.33000001311302185|	compass,	1.7198758125305176|	ang_vx,	0.6981317400932312|	ang_vy,	0.2862339913845062
9.80562138557434:	servo;	-24
9.810397863388062:	blue_led;	204
9.8147611618042:	motors;	-80
9.820638418197632:	servo;	-16
9.825015783309937:	blue_led;	146
9.829457521438599:	motors;	-57
9.835077285766602:	servo;	0
9.83946943283081:	blue_led;	76
9.8437659740448:	motors;	-29
9.848143815994263:	blue_led;	0
9.852425575256348:	motors;	0
9.929970741271973:	servo;	9
9.934521675109863:	blue_led;	65
9.938849925994873:	motors;	25
9.94463586807251:	servo;	14
9.949044227600098:	blue_led;	83
9.95340895652771:	motors;	32
9.957815170288086:	servo;	20
9.962180376052856:	blue_led;	109
9.966471195220947:	motors;	42
9.972462177276611:	servo;	30
9.976135730743408:	gps;	long,	0.0|	lat,	0.0|	fix,	False
9.976861953735352:	blue_led;	163
9.981375217437744:	motors;	64
9.985844850540161:	servo;	35
9.990229368209839:	blue_led;	195
9.992891073226929:	imu;	yaw,	-2.299471378326416|	accel_x,	-0.33000001311302185|	accel_y,	-1.2799999713897705|	compass,	1.078482747077942|	ang_vx,	-0.27925270795822144|	ang_vy,	0.4747295677661896
9.994620561599731:	motors;	76
10.003854513168335:	blue_led;	214
10.008378744125366:	motors;	84
10.015309810638428:	imu;	yaw,	-2.299471378326416|	accel_x,	-0.4099999964237213|	accel_y,	-1.590000033378601|	compass,	1.036307454109192|	ang_vx,	0.4049164056777954|	ang_vy,	0.027925269678235054
10.04029130935669:	blue_led;	217
10.04461932182312:	motors;	85
10.053449869155884:	blue_led;	221
10.0578773021698:	motors;	87
10.060743570327759:	imu;	yaw,	-2.3005621433258057|	accel_x,	0.3799999952316284|	accel_y,	-1.690000057220459|	compass,	1.031752347946167|	ang_vx,	-1.7592918872833252|	ang_vy,	-0.6283185482025146
10.062308549880981:	blue_led;	223
10.0711510181427:	blue_led;	228
10.075591802597046:	motors;	89
