4.841197490692139:	imu;	yaw,	-1.4617133140563965|	accel_x,	-0.33000001311302185|	accel_y,	-0.7099999785423279|	compass,	1.708925724029541|	ang_vx,	2.1013762950897217|	ang_vy,	0.4747295677661896
4.860919237136841:	imu;	yaw,	-1.4595316648483276|	accel_x,	-0.5|	accel_y,	-0.3100000023841858|	compass,	1.708925724029541|	ang_vx,	1.0751228332519531|	ang_vy,	-0.3141592741012573
4.999294757843018:	imu;	yaw,	-1.4442600011825562|	accel_x,	0.15000000596046448|	accel_y,	0.3700000047683716|	compass,	1.5282334089279175|	ang_vx,	1.5847588777542114|	ang_vy,	0.23038345575332642
5.022112846374512:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.041130781173706:	imu;	yaw,	-1.4355332851409912|	accel_x,	-0.1899999976158142|	accel_y,	0.4099999964237213|	compass,	1.5176247358322144|	ang_vx,	-0.4956735074520111|	ang_vy,	-0.33510324358940125
5.2172863483428955:	servo;	-10
5.222166299819946:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.242314338684082:	imu;	yaw,	-1.4017176628112793|	accel_x,	-0.4000000059604645|	accel_y,	0.15000000596046448|	compass,	1.4215716123580933|	ang_vx,	0.6562438011169434|	ang_vy,	0.04886922240257263
5.262457609176636:	imu;	yaw,	-1.3995360136032104|	accel_x,	0.6000000238418579|	accel_y,	0.8899999856948853|	compass,	1.4215716123580933|	ang_vx,	-0.2373647838830948|	ang_vy,	0.027925269678235054
5.279058933258057:	imu;	yaw,	-1.397354245185852|	accel_x,	0.5099999904632568|	accel_y,	0.6700000166893005|	compass,	1.584633469581604|	ang_vx,	-0.7260569930076599|	ang_vy,	0.027925269678235054
5.309288501739502:	imu;	yaw,	-1.3940818309783936|	accel_x,	-0.6200000047683716|	accel_y,	0.6399999856948853|	compass,	1.584633469581604|	ang_vx,	-0.5375614166259766|	ang_vy,	0.06981317698955536
5.422647714614868:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.8224711418151855:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.959314823150635:	imu;	yaw,	-1.3853551149368286|	accel_x,	0.05000000074505806|	accel_y,	-0.1599999964237213|	compass,	1.6761397123336792|	ang_vx,	0.027925269678235054|	ang_vy,	0.18151424825191498
6.021871328353882:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.183086156845093:	servo;	0
6.187494277954102:	blue_led;	0
6.191791296005249:	motors;	0
6.222078800201416:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.418840646743774:	imu;	yaw,	-1.3853551149368286|	accel_x,	0.10000000149011612|	accel_y,	0.9200000166893005|	compass,	1.5963788032531738|	ang_vx,	-3.2882003784179688|	ang_vy,	0.2932153344154358
6.426083326339722:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.440516233444214:	imu;	yaw,	-1.3820825815200806|	accel_x,	0.18000000715255737|	accel_y,	1.159999966621399|	compass,	1.652174711227417|	ang_vx,	0.33510324358940125|	ang_vy,	0.9424778819084167
6.822842836380005:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.839138746261597:	imu;	yaw,	-1.3766283988952637|	accel_x,	0.25|	accel_y,	-0.2199999988079071|	compass,	1.644675374031067|	ang_vx,	-0.18849556148052216|	ang_vy,	0.15358898043632507
7.022334098815918:	gps;	long,	0.0|	lat,	0.0|	fix,	False
7.040807247161865:	imu;	yaw,	-1.3777192831039429|	accel_x,	0.009999999776482582|	accel_y,	-0.07000000029802322|	compass,	1.6377724409103394|	ang_vx,	-0.06283185631036758|	ang_vy,	0.020943952724337578
7.222440242767334:	gps;	long,	0.0|	lat,	0.0|	fix,	False
7.248680830001831:	imu;	yaw,	-1.3777192831039429|	accel_x,	0.03999999910593033|	accel_y,	0.0|	compass,	1.6399890184402466|	ang_vx,	0.041887905448675156|	ang_vy,	0.013962634839117527
7.423097610473633:	gps;	long,	0.0|	lat,	0.0|	fix,	False
7.609026193618774:	imu;	yaw,	-1.3777192831039429|	accel_x,	0.0|	accel_y,	0.029999999329447746|	compass,	1.6388522386550903|	ang_vx,	-0.0069813174195587635|	ang_vy,	0.0069813174195587635
7.622560501098633:	gps;	long,	0.0|	lat,	0.0|	fix,	False
7.823798894882202:	gps;	long,	0.0|	lat,	0.0|	fix,	False
8.023353099822998:	gps;	long,	0.0|	lat,	0.0|	fix,	False
