1.3446035385131836:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.5243070125579834:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
1.543431043624878:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.7418057918548584:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.9427731037139893:	gps;	long,	0.0|	lat,	0.0|	fix,	False
1.9537312984466553:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
1.9640147686004639:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
1.9742722511291504:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
1.984158992767334:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
1.9940564632415771:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.0056920051574707:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.0151281356811523:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.0250344276428223:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.0349440574645996:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.045165777206421:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.0571656227111816:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.0653364658355713:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.0752298831939697:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.0850887298583984:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.094905138015747:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.1083741188049316:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.11486554145813:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.125483989715576:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.136273145675659:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.1512715816497803:	gps;	long,	0.0|	lat,	0.0|	fix,	False
2.3427674770355225:	gps;	long,	0.0|	lat,	0.0|	fix,	False
2.356149911880493:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.3670272827148438:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.3764078617095947:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.385645866394043:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
2.396284818649292:	imu;	yaw,	-0.0|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
