0.010890960693359375:	gps;	long,	0.0|	lat,	0.0|	fix,	False
10.460861921310425:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
10.461889505386353:	motors;	-51
10.467761278152466:	blue_led;	149
10.472092866897583:	motors;	-58
10.477853536605835:	blue_led;	226
10.482160091400146:	motors;	-88
10.487824201583862:	blue_led;	255
10.492220401763916:	motors;	-100
10.537170171737671:	gps;	long,	0.0|	lat,	0.0|	fix,	False
10.657458305358887:	blue_led;	252
10.662246465682983:	motors;	-99
10.668292999267578:	blue_led;	150
10.67301058769226:	motors;	-58
10.679025650024414:	blue_led;	0
10.683351039886475:	motors;	0
10.736397504806519:	gps;	long,	0.0|	lat,	0.0|	fix,	False
10.930097579956055:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
10.940729856491089:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
10.947284698486328:	gps;	long,	0.0|	lat,	0.0|	fix,	False
11.022794723510742:	blue_led;	72
11.027428150177002:	motors;	28
11.033239603042603:	blue_led;	107
11.037697553634644:	motors;	42
11.042189359664917:	blue_led;	128
11.046562433242798:	motors;	50
11.052212953567505:	blue_led;	166
11.056782484054565:	motors;	65
11.061198472976685:	blue_led;	224
11.065533876419067:	motors;	88
11.071194887161255:	blue_led;	255
11.075610637664795:	motors;	100
11.137674570083618:	gps;	long,	0.0|	lat,	0.0|	fix,	False
11.18148946762085:	blue_led;	222
11.186204671859741:	motors;	87
11.192206144332886:	blue_led;	165
11.196698904037476:	motors;	64
11.202789306640625:	blue_led;	112
11.207340240478516:	motors;	44
11.213196992874146:	blue_led;	67
11.21762490272522:	motors;	26
11.223381996154785:	blue_led;	0
11.228082656860352:	motors;	0
11.26134729385376:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
11.31753945350647:	blue_led;	64
11.322110414505005:	motors;	25
11.330180168151855:	blue_led;	106
11.33530068397522:	motors;	41
11.33769702911377:	gps;	long,	0.0|	lat,	0.0|	fix,	False
11.341652631759644:	blue_led;	122
11.34629225730896:	motors;	48
11.351000785827637:	blue_led;	151
11.355544567108154:	motors;	59
11.361643314361572:	blue_led;	196
11.366036891937256:	motors;	76
11.370479345321655:	blue_led;	221
11.375052213668823:	motors;	86
11.379552841186523:	blue_led;	237
11.384060382843018:	motors;	93
11.390069007873535:	servo;	-11
11.394630432128906:	blue_led;	255
11.399004697799683:	motors;	100
11.403502702713013:	servo;	-14
11.40821647644043:	servo;	-15
11.412693977355957:	servo;	-16
11.461570739746094:	servo;	-14
11.469819784164429:	servo;	0
11.489811658859253:	blue_led;	230
11.49451231956482:	motors;	90
11.501718997955322:	blue_led;	193
11.506154537200928:	motors;	75
11.512199401855469:	blue_led;	143
11.516592502593994:	motors;	56
11.522685527801514:	blue_led;	102
11.527086973190308:	motors;	40
11.534526586532593:	blue_led;	63
11.539317607879639:	gps;	long,	0.0|	lat,	0.0|	fix,	False
11.540062189102173:	motors;	25
11.545797109603882:	blue_led;	0
11.550226926803589:	motors;	0
11.580337285995483:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
11.738677263259888:	gps;	long,	0.0|	lat,	0.0|	fix,	False
11.749560594558716:	blue_led;	79
11.754214763641357:	motors;	-31
11.762589454650879:	blue_led;	115
11.767279624938965:	motors;	-45
11.773028135299683:	blue_led;	157
11.77744460105896:	motors;	-61
11.783185243606567:	blue_led;	187
11.78770923614502:	motors;	-73
11.793462038040161:	servo;	9
11.798124313354492:	blue_led;	224
11.802554845809937:	motors;	-87
11.808326244354248:	servo;	11
11.812919616699219:	blue_led;	255
11.81757378578186:	motors;	-100
11.823704719543457:	servo;	14
11.828221082687378:	servo;	15
11.83396053314209:	servo;	16
11.909797430038452:	servo;	12
11.915731191635132:	servo;	11
11.92180848121643:	servo;	9
11.939464569091797:	gps;	long,	0.0|	lat,	0.0|	fix,	False
11.94353437423706:	servo;	8
11.94967794418335:	servo;	0
11.981705904006958:	blue_led;	223
11.986294031143188:	motors;	-87
11.992181301116943:	blue_led;	177
11.996738910675049:	motors;	-69
12.002769708633423:	blue_led;	140
12.007209777832031:	motors;	-55
12.0116446018219:	blue_led;	0
12.016169548034668:	motors;	0
12.066096067428589:	blue_led;	65
12.070549726486206:	motors;	25
12.076295137405396:	blue_led;	67
12.08074426651001:	motors;	26
12.086515665054321:	blue_led;	68
12.095427513122559:	blue_led;	69
12.099970579147339:	motors;	27
12.105697870254517:	blue_led;	70
12.114537715911865:	blue_led;	67
12.118857383728027:	motors;	26
12.12332010269165:	blue_led;	0
12.127624988555908:	motors;	0
12.14147424697876:	gps;	long,	0.0|	lat,	0.0|	fix,	False
12.145958662033081:	blue_led;	71
12.150561809539795:	motors;	-27
12.156463384628296:	blue_led;	90
12.16094970703125:	motors;	-35
12.16673493385315:	blue_led;	103
12.171140432357788:	motors;	-40
12.175568103790283:	blue_led;	130
12.179991483688354:	motors;	-51
12.18587875366211:	blue_led;	146
12.19032597541809:	motors;	-57
12.19477105140686:	blue_led;	158
12.199074268341064:	motors;	-62
12.20348048210144:	blue_led;	173
12.207779169082642:	motors;	-67
12.21949553489685:	blue_led;	205
12.223842144012451:	motors;	-80
12.229576349258423:	blue_led;	214
12.234046459197998:	motors;	-84
12.23851490020752:	blue_led;	255
12.242800951004028:	motors;	-100
12.381598472595215:	blue_led;	223
12.386146306991577:	motors;	-87
12.39194655418396:	blue_led;	56
12.396543741226196:	motors;	-22
12.402473449707031:	blue_led;	0
12.406930208206177:	motors;	0
12.4825119972229:	blue_led;	58
12.487022161483765:	motors;	22
12.492639541625977:	blue_led;	72
12.497065544128418:	motors;	28
12.502800226211548:	blue_led;	109
12.507118940353394:	motors;	43
12.512715816497803:	blue_led;	122
12.517027139663696:	motors;	48
12.533958435058594:	blue_led;	141
12.539209842681885:	gps;	long,	0.0|	lat,	0.0|	fix,	False
12.539652347564697:	motors;	55
12.54557991027832:	blue_led;	161
12.551630020141602:	motors;	63
12.557727813720703:	blue_led;	242
12.562227725982666:	motors;	95
12.56664514541626:	blue_led;	255
12.570958614349365:	motors;	100
12.730344533920288:	blue_led;	211
12.735304832458496:	motors;	83
12.736981868743896:	gps;	long,	0.0|	lat,	0.0|	fix,	False
12.742431640625:	blue_led;	168
12.746803283691406:	motors;	66
12.75240969657898:	blue_led;	123
12.756791114807129:	motors;	48
12.763038158416748:	blue_led;	86
12.767395496368408:	motors;	34
12.773088693618774:	blue_led;	63
12.777416467666626:	motors;	24
12.783045053482056:	blue_led;	0
12.787365198135376:	motors;	0
12.822202205657959:	blue_led;	51
12.826698780059814:	motors;	-20
12.8336660861969:	blue_led;	60
12.837997198104858:	motors;	-23
12.853969812393188:	blue_led;	78
12.85847020149231:	motors;	-30
12.864461183547974:	blue_led;	92
12.868937492370605:	motors;	-36
12.874845743179321:	blue_led;	153
12.879270553588867:	motors;	-60
12.883645057678223:	blue_led;	160
12.888160705566406:	motors;	-62
12.893856048583984:	blue_led;	167
12.89829158782959:	motors;	-65
12.902641773223877:	blue_led;	173
12.906946659088135:	motors;	-68
12.911311864852905:	blue_led;	183
12.91561484336853:	motors;	-71
12.921343803405762:	blue_led;	188
12.925783395767212:	motors;	-73
12.930160522460938:	blue_led;	207
12.934507369995117:	motors;	-81
12.940200090408325:	gps;	long,	0.0|	lat,	0.0|	fix,	False
12.940903663635254:	blue_led;	211
12.945556163787842:	motors;	-83
12.950173377990723:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
12.950955629348755:	blue_led;	215
12.95554232597351:	motors;	-84
12.962392807006836:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
12.963374137878418:	blue_led;	222
12.96802282333374:	motors;	-87
12.970993995666504:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
12.972971439361572:	blue_led;	227
12.977305889129639:	motors;	-89
12.980748653411865:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
12.982125997543335:	blue_led;	229
12.986473083496094:	motors;	-90
12.99093246459961:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
12.991542100906372:	blue_led;	253
12.996051788330078:	motors;	-99
13.000973463058472:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
13.001668691635132:	blue_led;	255
13.006082773208618:	motors;	-100
13.011194705963135:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
13.02036166191101:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
13.030303716659546:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
13.039885997772217:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
13.049909830093384:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
13.060445547103882:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
13.13677430152893:	gps;	long,	0.0|	lat,	0.0|	fix,	False
13.190820455551147:	blue_led;	245
13.195260286331177:	motors;	-96
13.2020845413208:	blue_led;	190
13.206473588943481:	motors;	-74
13.212101221084595:	blue_led;	140
13.216415643692017:	motors;	-55
13.222035646438599:	blue_led;	87
13.226576328277588:	motors;	-34
13.232285261154175:	blue_led;	0
13.236609697341919:	motors;	0
13.330542802810669:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
13.353257417678833:	blue_led;	61
13.358947038650513:	motors;	24
13.365311622619629:	blue_led;	89
13.369990587234497:	motors;	35
13.376890897750854:	blue_led;	128
13.382308959960938:	motors;	50
13.390069961547852:	blue_led;	154
13.39482045173645:	motors;	60
13.399707317352295:	blue_led;	176
13.404805660247803:	motors;	69
13.411831617355347:	blue_led;	225
13.416836738586426:	motors;	88
13.422115087509155:	blue_led;	255
13.426786184310913:	motors;	100
13.432932138442993:	servo;	-10
13.481318235397339:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
13.509855508804321:	servo;	0
13.530220985412598:	blue_led;	245
13.535215139389038:	motors;	96
13.53769850730896:	gps;	long,	0.0|	lat,	0.0|	fix,	False
13.542351245880127:	blue_led;	223
13.547038793563843:	motors;	87
13.552842855453491:	blue_led;	195
13.557363510131836:	motors;	76
13.568588018417358:	blue_led;	177
13.573246240615845:	motors;	69
13.578150987625122:	blue_led;	164
13.58266568183899:	motors;	64
13.589077234268188:	blue_led;	138
13.593931913375854:	motors;	54
13.598581790924072:	blue_led;	113
13.603182077407837:	motors;	44
13.609247922897339:	servo;	7
13.613822937011719:	blue_led;	107
13.618337154388428:	motors;	42
13.622928142547607:	servo;	8
13.627357482910156:	blue_led;	90
13.631754159927368:	motors;	35
13.640916585922241:	blue_led;	78
13.645309686660767:	motors;	30
13.654115915298462:	blue_led;	64
13.658568859100342:	motors;	25
13.66933560371399:	blue_led;	0
13.67448115348816:	motors;	0
13.683734893798828:	servo;	0
13.690322160720825:	blue_led;	51
13.695085525512695:	motors;	-20
13.701087713241577:	blue_led;	57
13.705879211425781:	motors;	-22
13.711837530136108:	blue_led;	64
13.716253995895386:	motors;	-25
13.720820426940918:	blue_led;	83
13.725184202194214:	motors;	-32
13.731334686279297:	blue_led;	96
13.737773895263672:	motors;	-37
13.739314317703247:	gps;	long,	0.0|	lat,	0.0|	fix,	False
13.742346286773682:	blue_led;	115
13.746946096420288:	motors;	-45
13.752825498580933:	blue_led;	118
13.757217168807983:	motors;	-46
13.76183009147644:	blue_led;	126
13.766185760498047:	motors;	-49
13.770558834075928:	blue_led;	144
13.775076866149902:	motors;	-56
13.780913591384888:	blue_led;	156
13.785275936126709:	motors;	-61
13.789751768112183:	blue_led;	160
13.794455289840698:	motors;	-62
13.798990964889526:	blue_led;	172
13.803287506103516:	motors;	-67
13.807670831680298:	blue_led;	175
13.811949491500854:	motors;	-68
13.817748785018921:	blue_led;	186
13.822089910507202:	motors;	-73
13.826629877090454:	blue_led;	204
13.83092737197876:	motors;	-80
13.835302829742432:	blue_led;	212
13.839605331420898:	motors;	-83
13.845287322998047:	blue_led;	215
13.849714994430542:	motors;	-84
13.854116678237915:	blue_led;	255
13.858448505401611:	motors;	-100
13.940260887145996:	gps;	long,	0.0|	lat,	0.0|	fix,	False
14.001995086669922:	servo;	-10
14.01042103767395:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
14.011414051055908:	servo;	-12
14.018529176712036:	servo;	-14
14.024554014205933:	servo;	-15
14.030324459075928:	servo;	-18
14.034816026687622:	blue_led;	253
14.039219617843628:	motors;	-99
14.045343160629272:	servo;	-21
14.049917459487915:	blue_led;	232
14.054283380508423:	motors;	-91
14.058825016021729:	servo;	-23
14.063379526138306:	blue_led;	226
14.067784786224365:	motors;	-88
14.073960542678833:	servo;	-25
14.078590154647827:	blue_led;	213
14.083149909973145:	motors;	-83
14.092105150222778:	blue_led;	209
14.099421977996826:	motors;	-82
14.10117793083191:	imu;	yaw,	-6.151195049285889|	accel_x,	0|	accel_y,	0|	compass,	0|	ang_vx,	0|	ang_vy,	0
14.108490467071533:	blue_led;	203
14.112903118133545:	motors;	-79
14.121709108352661:	blue_led;	183
14.126193046569824:	motors;	-71
14.136704683303833:	blue_led;	174
14.139237403869629:	gps;	long,	0.0|	lat,	0.0|	fix,	False
14.141168117523193:	motors;	-68
14.150310039520264:	blue_led;	171
14.15467381477356:	motors;	-67
14.16346287727356:	blue_led;	160
14.168001413345337:	motors;	-63
14.177043914794922:	blue_led;	154
14.181487560272217:	motors;	-60
14.190351963043213:	blue_led;	138
14.195348501205444:	motors;	-54
14.204287767410278:	blue_led;	124
14.208641529083252:	motors;	-48
14.219054460525513:	blue_led;	117
14.223386287689209:	motors;	-46
14.23218846321106:	blue_led;	98
14.23659634590149:	motors;	-38
14.2452392578125:	blue_led;	0
14.249543905258179:	motors;	0
14.271678686141968:	blue_led;	57
14.276196718215942:	motors;	22
14.285228967666626:	blue_led;	68
14.289640426635742:	motors;	26
14.298696041107178:	blue_led;	76
14.30321717262268:	motors;	30
14.312211275100708:	blue_led;	111
14.316594362258911:	motors;	43
14.325357675552368:	blue_led;	136
14.329781532287598:	motors;	53
14.34038233757019:	blue_led;	170
14.344878196716309:	motors;	66
14.354078531265259:	blue_led;	190
14.358540296554565:	motors;	74
14.367369651794434:	blue_led;	198
14.371797800064087:	motors;	77
