,servo_steering,gps,,,,,,,encoder,imu,,,,,,,,,,,,
timestamp,position,lat_min,lat_sec,long_min,long_sec,speed,heading,hdop,counts,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,yaw,pitch,roll,quat_w,quat_x,quat_y,quat_z
167.5196955204,-4,40,26.5950984955,79,56.3649024963,8.4821596146,1.0499999523,327.2200012207,81,-0.9499999881,-0.3899999857,11.0399999619,0.4666666687,-0.5788888931,0.175555557,300.8125,-5.1875,-1.4375,0.8687133789,3.9888916016,0.0458984375,0.4930419922
167.6202700138,-50,40,26.5950984955,79,56.3649024963,8.4821596146,1.0499999523,327.2200012207,82,3.7200000286,-0.5799999833,-2.9700000286,0.1833333373,-0.5488888621,0.1555555612,300.5625,-5.5,-1.375,0.8676757813,3.9868164063,0.0480957031,0.4946899414
167.7211523056,-62,40,26.596200943,79,56.365901947,8.5191993713,1.0499999523,318.3399963379,83,0.1199999973,-1.5599999428,-8.1800003052,0.1666666716,-0.2166666687,0.088888891,300.25,-5.5625,-1.4375,0.8662109375,3.9869384766,0.0487060547,0.4971313477
167.8258416653,-50,40,26.596200943,79,56.365901947,8.5191993713,1.0499999523,318.3399963379,84,2.5999999046,0.8600000143,0.6800000072,-0.2844444513,0.2377777845,0.0222222228,299.8125,-5.4375,-1.375,0.8642578125,3.9865722656,0.047668457,0.5006103516
167.9299075603,-68,40,26.596200943,79,56.365901947,8.5191993713,1.0499999523,318.3399963379,85,2.2799999714,-0.3899999857,-11.9300003052,0.4644444585,-0.0255555548,-0.0911111087,299.8125,-5.6875,-1.75,0.8641967773,3.9887084961,0.0509033203,0.5004882813
168.0371322632,-74,40,26.596200943,79,56.365901947,8.5191993713,1.0499999523,318.3399963379,86,-2.8199999332,-0.9800000191,11.7700004578,-0.2977777719,0.3711111248,-0.1033333316,299.9375,-5.4375,-1.4375,0.8648681641,3.9874267578,0.0477905273,0.4995117188
168.1366863251,-74,40,26.596200943,79,56.365901947,8.5191993713,1.0499999523,318.3399963379,86,0.6200000048,-0.0399999991,14.6199998856,0.4055555463,-0.3555555642,-0.0655555576,300.3125,-5.375,-1.625,0.8663330078,3.9890136719,0.0479125977,0.4970092773
168.2407035828,-74,40,26.596200943,79,56.365901947,8.5191993713,1.0499999523,318.3399963379,86,-0.6299999952,1.0499999523,-17.8099994659,0.4788888991,-0.5133333206,-0.1444444507,301.1875,-5.5,-1.5625,0.8700561523,3.9885253906,0.0486450195,0.4903564453
168.3446044922,-70,40,26.596200943,79,56.365901947,8.5191993713,1.0499999523,318.3399963379,86,-2.9100000858,0.3000000119,14.8299999237,-0.1299999952,0.1433333308,-0.1055555567,301.6875,-5.375,-1.3125,0.8724365234,3.9871826172,0.0466918945,0.4862670898
168.4479095936,-70,40,26.596200943,79,56.365901947,8.5191993713,1.0499999523,318.3399963379,86,0.9599999785,0.2099999934,-14.0699996948,-0.5133333206,0.0022222223,-0.175555557,302.4375,-6.25,-1.125,0.8752441406,3.9823608398,0.0527954102,0.48046875
168.5523459911,-56,40,26.596200943,79,56.365901947,8.5191993713,1.0499999523,318.3399963379,86,-0.2899999917,0.3700000048,-5.3600001335,0.3577777743,-0.0088888891,-0.1477777809,303.0625,-6,-1.25,0.8778076172,3.9844360352,0.0516357422,0.4759521484
168.657484293,-52,40,26.596200943,79,56.365901947,8.5191993713,1.0499999523,318.3399963379,86,0.6399999857,-0.4900000095,-11.1499996185,-0.1644444466,0.3677777648,-0.1055555567,303.625,-6.0625,-1.0625,0.8801879883,3.9834594727,0.0514526367,0.4715576172
