,servo_steering,gps,,encoder,imu,,,,
timestamp,position,lat,long,counts,accel_x,accel_y,gyro_z,yaw,compass
2.8316917419433594,37,0,0,0,0,0,0,0,0
2.8499703407287598,35,0,0,0,0,0,0,0,0
2.858370304107666,25,0,0,0,0,0,0,0,0
2.87396240234375,-3,0,0,0,0,0,0,0,0
2.889395236968994,-65,0,0,0,0,0,0,0,0
2.9043595790863037,-83,0,0,0,0,0,0,0,0
2.9194746017456055,-90,0,0,0,0,0,0,0,0
2.9375898838043213,-90,0,0,0,0,0,0,0,0
2.9466030597686768,-90,0,0,0,0,0,0,0,0
2.962015151977539,-90,0,0,0,0,0,0,0,0
2.9771838188171387,-90,0,0,0,0,0,0,0,0
2.992098093032837,-90,0,0,0,0,0,0,0,0
3.0071420669555664,-90,0,0,0,0,0,0,0,0
3.0277934074401855,-90,0,0,0,0,0,0,0,0
3.044867992401123,-90,0,0,0,0,0,0,0,0
3.0614922046661377,-90,0,0,0,0,0,0,0,0
3.0778136253356934,-90,0,0,0,0,0,0,0,0
3.094050168991089,-90,0,0,0,0,0,0,0,0
3.1094770431518555,-90,0,0,0,0,0,0,0,0
3.1248104572296143,-90,0,0,0,0,0,0,0,0
3.1399877071380615,-90,0,0,0,0,0,0,0,0
3.155564546585083,-90,0,0,0,0,0,0,0,0
3.1740994453430176,-90,0,0,0,0,0,0,0,0
3.1826703548431396,-90,0,0,0,0,0,0,0,0
3.1979920864105225,-90,0,0,0,0,0,0,0,0
3.213233470916748,-90,0,0,0,0,0,0,0,0
3.2281033992767334,-90,0,0,0,0,0,0,0,0
3.2439234256744385,-90,0,0,0,0,0,0,0,0
3.2585530281066895,-90,0,0,0,0,0,0,0,0
3.273231029510498,-90,0,0,0,0,0,0,0,0
3.287874937057495,-90,0,0,0,0,0,0,0,0
3.3027820587158203,-90,0,0,0,0,0,0,0,0
3.318142890930176,-90,0,0,0,0,0,0,0,0
3.3327603340148926,-90,0,0,0,0,0,0,0,0
3.3473644256591797,-90,0,0,0,0,0,0,0,0
3.3621671199798584,-90,0,0,0,0,0,0,0,0
3.3767499923706055,-90,0,0,0,0,0,0,0,0
3.391273260116577,-90,0,0,0,0,0,0,0,0
3.4060022830963135,-90,0,0,0,0,0,0,0,0
3.420623779296875,-90,0,0,0,0,0,0,0,0
3.435399055480957,-90,0,0,0,0,0,0,0,0
3.4499447345733643,-90,0,0,0,0,0,0,0,0
3.464369773864746,-90,0,0,0,0,0,0,0,0
3.4788646697998047,-90,0,0,0,0,0,0,0,0
3.4936301708221436,-90,0,0,0,0,0,0,0,0
3.508404493331909,-90,0,0,0,0,0,0,0,0
3.5231502056121826,-85,0,0,0,0,0,0,0,0
3.5379652976989746,-61,0,0,0,0,0,0,0,0
3.552926778793335,1,0,0,0,0,0,0,0,0
3.567667007446289,25,0,0,0,0,0,0,0,0
3.582533836364746,41,0,0,0,0,0,0,0,0
3.5971875190734863,45,0,0,0,0,0,0,0,0
