,servo,gps,,,,,,,,,,,,,,encoder,imu,,,,,,,,,,,,,,,,,,,,
timestamp,angle,lat deg,lat min,long deg,long min,speed x,speed y,speed z,heading,altitude,satellites in view,satellites in use,hdop,pdop,vdop,counts,accel x,accel y,accel z,gyro x,gyro y,gyro z,euler x,euler y,euler z,quat w,quat x,quat y,quat z,temperature,grav x,grav y,grav z,mag x,mag y,mag z,compass
1082,0,40,26.6177,79,56.4368,0.14,0.16114,0.25928,303.51,0.0,10,0,1.15,1.44,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1099,0,40,26.6177,79,56.4368,0.14,0.16114,0.25928,303.51,0.0,10,0,1.15,1.44,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110,0,40,26.6177,79,56.4368,0.14,0.16114,0.25928,303.51,0.0,10,0,1.15,1.44,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1121,0,40,26.6177,79,56.4368,0.14,0.16114,0.25928,303.51,0.0,10,0,1.15,1.44,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1143,0,40,26.6177,79,56.4368,0.14,0.16114,0.25928,303.51,0.0,10,0,1.15,1.44,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1154,0,40,26.6177,79,56.4368,0.14,0.16114,0.25928,303.51,0.0,10,0,1.15,1.44,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1165,0,40,26.6177,79,56.4368,0.14,0.16114,0.25928,303.51,0.0,10,0,1.15,1.44,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1183,0,40,26.6177,79,56.4368,0.14,0.16114,0.25928,303.51,0.0,10,0,1.15,1.44,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1194,0,40,26.6177,79,56.4368,0.14,0.16114,0.25928,303.51,0.0,10,0,1.15,1.44,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1205,0,40,26.6177,79,56.4368,0.14,0.16114,0.25928,303.51,0.0,10,0,1.15,1.44,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
