4.258103132247925:	imu;	yaw,	-3.9400808811187744
4.267791748046875:	imu;	yaw,	-3.9422624111175537
4.274167776107788:	encoder;	counts,	3
4.281157732009888:	imu;	yaw,	-3.9433531761169434
4.2992119789123535:	imu;	yaw,	-3.944444179534912
4.3078837394714355:	imu;	yaw,	-3.9455349445343018
4.339093208312988:	imu;	yaw,	-3.9466257095336914
4.357690811157227:	imu;	yaw,	-3.94771671295166
4.380034923553467:	imu;	yaw,	-3.94880747795105
4.3911638259887695:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.3973329067230225:	encoder;	counts,	2
4.404278039932251:	imu;	yaw,	-3.952080011367798
4.41161036491394:	imu;	yaw,	-3.9531707763671875
4.429755687713623:	imu;	yaw,	-3.954261541366577
4.439608573913574:	imu;	yaw,	-3.955352544784546
4.4495320320129395:	imu;	yaw,	-3.9564433097839355
4.458538770675659:	imu;	yaw,	-3.957534074783325
4.468228101730347:	imu;	yaw,	-3.958624839782715
4.4794700145721436:	imu;	yaw,	-3.9597158432006836
4.489438533782959:	imu;	yaw,	-3.9608066082000732
4.499897003173828:	imu;	yaw,	-3.961897373199463
4.506412982940674:	encoder;	counts,	1
4.5133445262908936:	imu;	yaw,	-3.9640791416168213
4.529690504074097:	imu;	yaw,	-3.965169906616211
4.539555788040161:	imu;	yaw,	-3.9662606716156006
4.5491907596588135:	imu;	yaw,	-3.9673516750335693
4.557417631149292:	imu;	yaw,	-3.9695332050323486
4.567936182022095:	imu;	yaw,	-3.9706242084503174
4.579569339752197:	imu;	yaw,	-3.9728057384490967
4.591108798980713:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.598623037338257:	imu;	yaw,	-3.9771690368652344
4.605432987213135:	encoder;	counts,	0
4.612138032913208:	imu;	yaw,	-3.9793508052825928
4.618019342422485:	imu;	yaw,	-3.981532573699951
4.630294561386108:	imu;	yaw,	-3.9837141036987305
4.639671087265015:	imu;	yaw,	-3.985895872116089
4.649703025817871:	imu;	yaw,	-3.988077402114868
4.657830715179443:	imu;	yaw,	-3.989168405532837
4.6683783531188965:	imu;	yaw,	-3.991349935531616
4.680124759674072:	imu;	yaw,	-3.992440700531006
4.68912672996521:	imu;	yaw,	-3.9946224689483643
4.6960461139678955:	encoder;	counts,	-1
4.703542470932007:	imu;	yaw,	-3.9978950023651123
4.715805292129517:	blue_led;	247
4.718066692352295:	imu;	yaw,	-3.998985767364502
4.720304250717163:	motors;	-96
4.728995323181152:	blue_led;	218
4.730136394500732:	imu;	yaw,	-4.000076770782471
4.733441352844238:	motors;	-85
4.739250183105469:	blue_led;	185
4.74036717414856:	imu;	yaw,	-4.00225830078125
4.743679046630859:	motors;	-72
4.749619722366333:	blue_led;	155
4.754002809524536:	motors;	-60
4.754977226257324:	imu;	yaw,	-4.005530834197998
4.759729623794556:	blue_led;	104
4.764073371887207:	motors;	-40
4.766210556030273:	imu;	yaw,	-4.006621837615967
4.769744396209717:	blue_led;	80
4.774114608764648:	motors;	-31
4.778529405593872:	blue_led;	51
4.780693054199219:	imu;	yaw,	-4.008803367614746
4.782857418060303:	motors;	-20
4.788708925247192:	blue_led;	0
4.793216705322266:	imu;	yaw,	-4.009894371032715
4.7936553955078125:	motors;	0
4.799923419952393:	encoder;	counts,	-2
4.813981771469116:	imu;	yaw,	-4.014257431030273
4.8292224407196045:	imu;	yaw,	-4.016438961029053
4.839154005050659:	imu;	yaw,	-4.0175299644470215
4.849452257156372:	imu;	yaw,	-4.015348434448242
4.858084201812744:	imu;	yaw,	-4.013166427612305
4.868188142776489:	imu;	yaw,	-4.012075901031494
4.879647970199585:	imu;	yaw,	-4.014257431030273
4.889106273651123:	imu;	yaw,	-4.0175299644470215
4.899832487106323:	imu;	yaw,	-4.01862096786499
4.909271717071533:	imu;	yaw,	-4.0175299644470215
4.929807424545288:	imu;	yaw,	-4.01862096786499
4.93645977973938:	encoder;	counts,	-3
4.944037437438965:	imu;	yaw,	-4.019711494445801
4.95878791809082:	imu;	yaw,	-4.0208024978637695
4.980456829071045:	imu;	yaw,	-4.021893501281738
4.991989612579346:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.008360862731934:	imu;	yaw,	-4.022984027862549
5.018130540847778:	imu;	yaw,	-4.024075031280518
5.030553340911865:	imu;	yaw,	-4.025166034698486
5.039957761764526:	imu;	yaw,	-4.026256561279297
5.049778699874878:	imu;	yaw,	-4.027347564697266
5.0805652141571045:	imu;	yaw,	-4.028438091278076
5.158353567123413:	imu;	yaw,	-4.029529094696045
5.191730976104736:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.3408966064453125:	encoder;	counts,	-4
5.39145302772522:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.590656042098999:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.991811752319336:	gps;	long,	0.0|	lat,	0.0|	fix,	False
