1.9296317100524902:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
1.978362798690796:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
2.018486499786377:	stepper;	3
2.022655725479126:	blue_led;	229
2.027228355407715:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
2.052232027053833:	blue_led;	0
2.0679826736450195:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
2.1083874702453613:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
2.1485066413879395:	stepper;	-2
2.1526782512664795:	blue_led;	174
2.157151222229004:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
2.197272300720215:	stepper;	-4
2.2014079093933105:	blue_led;	255
2.205929756164551:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
2.2545666694641113:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
2.303375482559204:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
2.3521459102630615:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
2.4009451866149902:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
2.4495961666107178:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
2.498197078704834:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
2.546856164932251:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
2.595484972000122:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
2.6356117725372314:	stepper;	-2
2.6399102210998535:	blue_led;	186
2.644472122192383:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
2.651754856109619:	blue_led;	0
2.684932231903076:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
2.7250654697418213:	stepper;	4
2.729217529296875:	blue_led;	255
2.7336249351501465:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
2.7831876277923584:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
2.8329925537109375:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
2.8817684650421143:	kalman;	pitch,	-0.262500215203|	roll,	1.53480604862|	alt,	-89736.5710296|	yaw,	0.300671033618|	long,	-1.65216474751|	lat,	39.4281235793
