2.61543345451355:	altitude;	altitude,	69.68204498291016
2.6210310459136963:	imu;	yaw,	2.87542986869812
2.627440929412842:	imu;	yaw,	2.873248338699341
2.6392786502838135:	imu;	yaw,	2.8710665702819824
2.648157835006714:	imu;	yaw,	2.8677940368652344
2.6586241722106934:	imu;	yaw,	2.865612506866455
2.664290428161621:	altitude;	altitude,	69.68204498291016
2.670011281967163:	imu;	yaw,	2.8634307384490967
2.6780900955200195:	imu;	yaw,	2.8612492084503174
2.6875650882720947:	imu;	yaw,	2.859067440032959
2.697856903076172:	imu;	yaw,	2.855794906616211
2.7089414596557617:	imu;	yaw,	2.8536133766174316
2.714848518371582:	altitude;	altitude,	69.44952392578125
2.723968505859375:	imu;	yaw,	2.8514316082000732
2.7292165756225586:	imu;	yaw,	2.849249839782715
