5.514722585678101:	state;	angle,	1.73867580854|	x,	-71.42085950562232|	vx,	0.200108309049|	ang v,	-0.0849239698024|	vy,	0.200108309049|	y,	42.42733309675326
5.518109083175659:	imu;	yaw,	0.006544984877109528
5.529493808746338:	servo;	2
5.532413721084595:	imu;	yaw,	0.007635816000401974
5.563685894012451:	imu;	yaw,	0.006544984877109528
5.564152240753174:	imu;	yaw,	0.005454154219478369
5.5684263706207275:	servo;	3
5.5735557079315186:	servo;	4
5.583515167236328:	servo;	5
5.589179992675781:	servo;	6
5.592239618301392:	imu;	yaw,	0.004363323096185923
5.593987703323364:	servo;	7
5.603513956069946:	state;	angle,	1.81587958668|	x,	-71.42086005571763|	vx,	0.608761291412|	ang v,	-0.295489356883|	vy,	0.608761291412|	y,	42.427334638590715
5.605065822601318:	servo;	8
5.616604566574097:	servo;	11
5.637016296386719:	servo;	13
5.658577919006348:	gps;	long,	-71.4209213256836|	lat,	42.42750549316406
5.686400413513184:	state;	angle,	1.72396710893|	x,	-71.4208610194779|	vx,	1.40459680705|	ang v,	-0.725340321449|	vy,	1.40459680705|	y,	42.427337576215976
5.705347299575806:	servo;	14
5.714480400085449:	servo;	15
5.729151487350464:	servo;	16
5.73158860206604:	encoder;	counts,	-1
5.737552165985107:	imu;	yaw,	0.003272492438554764
5.7596964836120605:	imu;	yaw,	0.0021816615480929613
5.771142482757568:	imu;	yaw,	0.0
5.772284984588623:	servo;	17
5.788418769836426:	state;	angle,	1.50670127565|	x,	-71.42086186155393|	vx,	0.00298211389877|	ang v,	-0.945761137344|	vy,	-0.00752306532406|	y,	42.42734068773776
5.794930934906006:	imu;	yaw,	6.281003952026367
5.818379163742065:	imu;	yaw,	6.27991247177124
5.826414346694946:	imu;	yaw,	6.27882194519043
5.833170175552368:	imu;	yaw,	6.27664041519165
5.840632915496826:	gps;	long,	-71.4209213256836|	lat,	42.42750549316406
5.851024866104126:	imu;	yaw,	6.2733683586120605
5.858122825622559:	imu;	yaw,	6.271186828613281
5.865221738815308:	state;	angle,	1.34255389393|	x,	-71.42086313250954|	vx,	0.0951772733622|	ang v,	-81.8837810846|	vy,	0.0846719599206|	y,	42.42734373129128
5.869342088699341:	imu;	yaw,	6.269004821777344
5.901525020599365:	imu;	yaw,	6.267913818359375
5.90385890007019:	encoder;	counts,	-2
5.90455961227417:	imu;	yaw,	6.263550281524658
5.9099133014678955:	imu;	yaw,	6.261368751525879
5.924158334732056:	imu;	yaw,	6.2591872215271
5.9413087368011475:	imu;	yaw,	6.25700569152832
5.944382667541504:	state;	angle,	1.18929350252|	x,	-71.4208645447622|	vx,	-0.115168893979|	ang v,	-5.32799568283|	vy,	-0.336369879437|	y,	42.42734665748878
5.946344614028931:	imu;	yaw,	6.254823684692383
5.951544761657715:	imu;	yaw,	6.2526421546936035
5.9760963916778564:	imu;	yaw,	6.249370098114014
5.976874589920044:	imu;	yaw,	6.247188091278076
5.982586860656738:	imu;	yaw,	6.245006561279297
5.989552736282349:	servo;	16
5.993020534515381:	imu;	yaw,	6.241734027862549
6.0017852783203125:	imu;	yaw,	6.239552021026611
6.004560947418213:	state;	angle,	1.08344126331|	x,	-71.42086549899393|	vx,	-0.138953721729|	ang v,	-1.36914695177|	vy,	-0.360165040004|	y,	42.42734843654725
6.0056493282318115:	servo;	15
6.010310649871826:	imu;	yaw,	6.2362799644470215
6.012715101242065:	servo;	13
6.0385894775390625:	imu;	yaw,	6.234098434448242
6.039086580276489:	encoder;	counts,	-3
6.05089259147644:	imu;	yaw,	6.228643894195557
6.058347225189209:	gps;	long,	-71.4209213256836|	lat,	42.42750549316406
6.064436435699463:	imu;	yaw,	6.223189830780029
6.069751024246216:	imu;	yaw,	6.219917297363281
6.076029539108276:	state;	angle,	0.984874580998|	x,	-71.42086776256983|	vx,	-0.194379818738|	ang v,	-0.575001670976|	vy,	-0.301975281453|	y,	42.42735222948391
6.081204414367676:	imu;	yaw,	6.217735290527344
6.084604024887085:	servo;	12
6.107311010360718:	imu;	yaw,	6.2155537605285645
6.108835935592651:	imu;	yaw,	6.212281703948975
6.114596128463745:	imu;	yaw,	6.210100173950195
6.121397018432617:	imu;	yaw,	6.207918167114258
6.135600566864014:	state;	angle,	0.917064194973|	x,	-71.42086899047479|	vx,	-0.320177417334|	ang v,	-0.446285172142|	vy,	-0.427767367619|	y,	42.42735400995351
6.139399290084839:	imu;	yaw,	6.20464563369751
6.1400604248046875:	encoder;	counts,	-4
6.1426920890808105:	imu;	yaw,	6.199191570281982
6.169520139694214:	imu;	yaw,	6.195918560028076
6.183504819869995:	imu;	yaw,	6.192646503448486
6.184286117553711:	imu;	yaw,	6.189373970031738
6.1910834312438965:	imu;	yaw,	6.18610143661499
6.204487562179565:	imu;	yaw,	6.183919906616211
6.208383560180664:	state;	angle,	0.84668374478|	x,	-71.42087072275429|	vx,	-0.259316917225|	ang v,	-0.361682825615|	vy,	-0.295894802633|	y,	42.427356515948475
6.210345268249512:	imu;	yaw,	6.180646896362305
6.235954761505127:	imu;	yaw,	6.177374839782715
6.237170457839966:	encoder;	counts,	-5
6.238481283187866:	servo;	11
6.240993976593018:	imu;	yaw,	6.171920299530029
6.245380640029907:	gps;	long,	-71.4209213256836|	lat,	42.42750549316406
6.247023105621338:	servo;	10
6.254206418991089:	imu;	yaw,	6.16646671295166
6.260818004608154:	servo;	9
6.266272306442261:	servo;	8
6.273822546005249:	imu;	yaw,	6.164284706115723
6.287264823913574:	imu;	yaw,	6.161012172698975
6.295972108840942:	imu;	yaw,	6.158830642700195
6.303876638412476:	imu;	yaw,	6.155558109283447
6.304895639419556:	servo;	7
