5.252391338348389:	state;	ang v,	-0.622642619568|	vy,	-0.345968273771|	y,	42.42742084470727|	x,	-71.42087151542549|	vx,	-0.755366420217|	angle,	-0.0042381582703
5.253725051879883:	servo;	16
5.256935358047485:	imu;	yaw,	-5.957026958465576
5.277450323104858:	servo;	14
5.2825422286987305:	imu;	yaw,	-5.951572895050049
5.283396482467651:	imu;	yaw,	-5.947209358215332
5.289275884628296:	servo;	13
5.293036937713623:	imu;	yaw,	-5.941755294799805
5.294165372848511:	imu;	yaw,	-5.937392234802246
5.2986226081848145:	encoder;	counts,	-5
5.300482511520386:	servo;	12
5.3118510246276855:	imu;	yaw,	-5.9319376945495605
5.319556951522827:	state;	ang v,	-0.290945832996|	vy,	0.000275081439393|	y,	42.42742482913274|	x,	-71.42087309561316|	vx,	-0.381021912755|	angle,	0.062725906345
5.322793006896973:	imu;	yaw,	-5.926483631134033
5.326200723648071:	imu;	yaw,	-5.922120571136475
5.353244781494141:	imu;	yaw,	-5.916666507720947
5.354341268539429:	imu;	yaw,	-5.911211967468262
5.35999608039856:	imu;	yaw,	-5.906848907470703
5.363433122634888:	imu;	yaw,	-5.901394844055176
5.364415407180786:	servo;	9
5.372479438781738:	imu;	yaw,	-5.89594030380249
5.377918243408203:	servo;	8
5.379122972488403:	state;	ang v,	-0.0370705203364|	vy,	-0.35508085145|	y,	42.42742715259307|	x,	-71.42087426669745|	vx,	-0.736376424058|	angle,	0.104997757239
5.38402795791626:	imu;	yaw,	-5.890486717224121
5.387178182601929:	servo;	7
5.415184497833252:	gps;	long,	-71.42089080810547|	lat,	42.4276123046875
5.4167704582214355:	imu;	yaw,	-5.880668640136719
5.417677640914917:	encoder;	counts,	-6
5.419060230255127:	servo;	6
5.422573566436768:	imu;	yaw,	-5.87630558013916
5.423213005065918:	imu;	yaw,	-5.871942043304443
5.4345879554748535:	imu;	yaw,	-5.867578983306885
5.453050374984741:	imu;	yaw,	-5.863215446472168
5.4588303565979:	state;	ang v,	0.138578174775|	vy,	-0.0676162155919|	y,	42.42743254638706|	x,	-71.42087622165863|	vx,	-0.379643692431|	angle,	0.235478264484
5.460374355316162:	imu;	yaw,	-5.857761859893799
5.463465690612793:	imu;	yaw,	-5.853398323059082
5.490758657455444:	imu;	yaw,	-5.849034786224365
5.491333961486816:	imu;	yaw,	-5.845762252807617
5.494125127792358:	imu;	yaw,	-5.8413987159729
5.5066704750061035:	imu;	yaw,	-5.837035655975342
5.514733076095581:	state;	ang v,	0.0595078328148|	vy,	-0.421303962788|	y,	42.427435037611524|	x,	-71.42087730421429|	vx,	-0.733328042877|	angle,	0.285674235515
5.5167248249053955:	encoder;	counts,	-7
5.519318342208862:	imu;	yaw,	-5.832672119140625
5.527475595474243:	imu;	yaw,	-5.829400062561035
5.5538458824157715:	servo;	5
5.556203842163086:	imu;	yaw,	-5.826127052307129
5.556958436965942:	imu;	yaw,	-5.822854995727539
5.557616472244263:	imu;	yaw,	-5.82067346572876
5.561450481414795:	servo;	4
5.563602685928345:	imu;	yaw,	-5.818491458892822
5.56848669052124:	servo;	3
5.573254585266113:	imu;	yaw,	-5.814128398895264
5.57422661781311:	servo;	1
5.586692810058594:	imu;	yaw,	-5.810855388641357
5.591501951217651:	servo;	0
5.596402168273926:	state;	ang v,	0.197448294676|	vy,	-0.115102243113|	y,	42.427438445337835|	x,	-71.42087881645602|	vx,	-0.350280919752|	angle,	0.378782892939
5.638218402862549:	gps;	long,	-71.42089080810547|	lat,	42.4276123046875
5.644964218139648:	encoder;	counts,	-8
5.654431104660034:	imu;	yaw,	-5.789039611816406
5.665416717529297:	imu;	yaw,	-5.7857666015625
5.667252063751221:	state;	ang v,	-0.00224026831093|	vy,	-0.315912936926|	y,	42.42744370247941|	x,	-71.42088051968463|	vx,	-0.651226388138|	angle,	0.514481371094
5.673465251922607:	imu;	yaw,	-5.78249454498291
5.699462175369263:	imu;	yaw,	-5.780312538146973
5.699899435043335:	imu;	yaw,	-5.775949478149414
