2.6657469272613525:	imu;	yaw,	-4.636031150817871
2.6727638244628906:	encoder;	counts,	18
2.678697109222412:	altitude;	altitude,	72.85013580322266
2.6822509765625:	imu;	yaw,	-4.63712215423584
2.6865015029907227:	imu;	yaw,	-4.63821268081665
2.689779043197632:	servo;	-2
2.7097883224487305:	servo;	-1
2.7159483432769775:	servo;	0
2.721426486968994:	altitude;	altitude,	72.80785369873047
2.726909637451172:	imu;	yaw,	-4.639303684234619
2.7372589111328125:	imu;	yaw,	-4.64039421081543
2.74200439453125:	encoder;	counts,	19
2.756164312362671:	imu;	yaw,	-4.641485214233398
2.7660000324249268:	imu;	yaw,	-4.643666744232178
2.7745096683502197:	altitude;	altitude,	72.78143310546875
2.7779664993286133:	imu;	yaw,	-4.6447577476501465
2.787132501602173:	imu;	yaw,	-4.646939277648926
2.79305362701416:	servo;	1
2.7975971698760986:	imu;	yaw,	-4.6480302810668945
2.8016927242279053:	servo;	2
2.8108527660369873:	encoder;	counts,	20
2.8167173862457275:	servo;	3
2.820751428604126:	altitude;	altitude,	72.56476593017578
2.8366804122924805:	imu;	yaw,	-4.649121284484863
2.8468973636627197:	imu;	yaw,	-4.6480302810668945
2.8589861392974854:	altitude;	altitude,	72.8237075805664
2.8794896602630615:	encoder;	counts,	21
2.887570858001709:	altitude;	altitude,	72.87919616699219
2.9181501865386963:	imu;	yaw,	-4.646939277648926
2.9211525917053223:	servo;	1
2.9269204139709473:	altitude;	altitude,	72.80785369873047
2.929116725921631:	servo;	0
2.9389681816101074:	imu;	yaw,	-4.645848751068115
2.9459993839263916:	encoder;	counts,	22
2.957308530807495:	imu;	yaw,	-4.643666744232178
2.9672555923461914:	imu;	yaw,	-4.6447577476501465
2.978752851486206:	altitude;	altitude,	73.10907745361328
2.982982873916626:	imu;	yaw,	-4.643666744232178
3.008305788040161:	imu;	yaw,	-4.642576217651367
3.0181725025177:	altitude;	altitude,	72.95582580566406
3.0227127075195312:	imu;	yaw,	-4.64039421081543
3.026743173599243:	encoder;	counts,	23
3.031888008117676:	imu;	yaw,	-4.639303684234619
3.039231538772583:	imu;	yaw,	-4.63821268081665
3.0489346981048584:	imu;	yaw,	-4.63712215423584
3.057492971420288:	imu;	yaw,	-4.636031150817871
3.0675127506256104:	imu;	yaw,	-4.633849620819092
3.077347755432129:	altitude;	altitude,	73.04037475585938
3.0812394618988037:	imu;	yaw,	-4.631667613983154
3.0867273807525635:	encoder;	counts,	24
3.0919606685638428:	imu;	yaw,	-4.630577087402344
3.096722364425659:	imu;	yaw,	-4.628395080566406
3.107186794281006:	imu;	yaw,	-4.626213550567627
3.117609739303589:	imu;	yaw,	-4.624032020568848
3.128922939300537:	imu;	yaw,	-4.622941017150879
3.1409218311309814:	altitude;	altitude,	72.83692169189453
3.1417253017425537:	imu;	yaw,	-4.6207594871521
3.1456167697906494:	encoder;	counts,	25
3.1516780853271484:	imu;	yaw,	-4.619668483734131
3.1570005416870117:	imu;	yaw,	-4.61857795715332
3.1685099601745605:	imu;	yaw,	-4.617486953735352
3.17844295501709:	imu;	yaw,	-4.616395950317383
3.1863763332366943:	altitude;	altitude,	72.99810028076172
3.1909444332122803:	imu;	yaw,	-4.615305423736572
3.197551727294922:	servo;	1
3.19954776763916:	imu;	yaw,	-4.6142144203186035
3.205843925476074:	servo;	2
3.207667589187622:	encoder;	counts,	26
3.2177371978759766:	imu;	yaw,	-4.613123416900635
3.2203407287597656:	imu;	yaw,	-4.612032890319824
3.2277233600616455:	imu;	yaw,	-4.6109418869018555
3.2369632720947266:	servo;	4
3.2399775981903076:	altitude;	altitude,	72.85806274414062
3.2431697845458984:	servo;	5
3.249551296234131:	servo;	8
3.25785231590271:	servo;	9
3.272115707397461:	encoder;	counts,	27
3.2767128944396973:	imu;	yaw,	-4.612032890319824
3.2892305850982666:	altitude;	altitude,	72.81842803955078
3.3103084564208984:	imu;	yaw,	-4.6109418869018555
3.3251254558563232:	altitude;	altitude,	72.90562438964844
3.3300602436065674:	encoder;	counts,	28
3.3571600914001465:	servo;	8
3.3633058071136475:	servo;	7
3.3691115379333496:	servo;	6
3.39288592338562:	servo;	5
3.4012579917907715:	servo;	4
3.4132611751556396:	servo;	3
3.448101043701172:	gps;	found,	12|	long,	-71.42084503173828|	lat,	42.42726135253906|	altitude,	89.80000305175781
3.4528331756591797:	encoder;	counts,	29
3.458864450454712:	imu;	yaw,	-4.604396820068359
3.4645395278930664:	encoder;	counts,	30
3.469271183013916:	imu;	yaw,	-4.60221529006958
3.47442889213562:	imu;	yaw,	-4.600033760070801
3.4784929752349854:	servo;	2
3.4811174869537354:	imu;	yaw,	-4.595670223236084
3.4856011867523193:	servo;	3
3.490448474884033:	imu;	yaw,	-4.591306686401367
3.491487741470337:	servo;	2
3.5016837120056152:	imu;	yaw,	-4.586943626403809
3.511176109313965:	imu;	yaw,	-4.5836710929870605
3.516047239303589:	encoder;	counts,	31
3.5212206840515137:	imu;	yaw,	-4.579307556152344
3.5244688987731934:	altitude;	altitude,	73.1117172241211
3.531881809234619:	imu;	yaw,	-4.574944496154785
3.54022479057312:	imu;	yaw,	-4.572762489318848
3.5509133338928223:	imu;	yaw,	-4.570580959320068
3.561441659927368:	imu;	yaw,	-4.568399429321289
3.5706090927124023:	encoder;	counts,	32
3.575558662414551:	imu;	yaw,	-4.56730842590332
3.5808045864105225:	altitude;	altitude,	72.92940521240234
3.590851306915283:	imu;	yaw,	-4.56621789932251
3.614274263381958:	altitude;	altitude,	72.92940521240234
3.630725622177124:	encoder;	counts,	33
3.6359241008758545:	imu;	yaw,	-4.56730842590332
3.6400091648101807:	imu;	yaw,	-4.568399429321289
3.65398907661438:	altitude;	altitude,	72.9716796875
3.6719229221343994:	imu;	yaw,	-4.569490432739258
3.681952714920044:	imu;	yaw,	-4.570580959320068
3.6886329650878906:	altitude;	altitude,	73.30460357666016
3.6935722827911377:	encoder;	counts,	34
3.7132318019866943:	servo;	1
3.722058057785034:	servo;	0
3.725085496902466:	imu;	yaw,	-4.569490432739258
3.7321414947509766:	imu;	yaw,	-4.568399429321289
3.739391326904297:	altitude;	altitude,	72.7391586303711
3.7450637817382812:	imu;	yaw,	-4.56730842590332
3.753525972366333:	imu;	yaw,	-4.56621789932251
3.756107807159424:	encoder;	counts,	35
3.7636046409606934:	imu;	yaw,	-4.565126895904541
3.771235942840576:	imu;	yaw,	-4.564035892486572
3.786259889602661:	altitude;	altitude,	72.90033721923828
3.801304340362549:	imu;	yaw,	-4.562945365905762
3.8114752769470215:	imu;	yaw,	-4.560763359069824
3.8164913654327393:	encoder;	counts,	36
3.822709083557129:	imu;	yaw,	-4.559672832489014
3.8327701091766357:	altitude;	altitude,	72.74708557128906
3.8370144367218018:	imu;	yaw,	-4.557490825653076
3.842197895050049:	imu;	yaw,	-4.555309295654297
3.852503776550293:	imu;	yaw,	-4.553127765655518
3.8629770278930664:	imu;	yaw,	-4.550946235656738
3.87284255027771:	encoder;	counts,	37
3.879131317138672:	imu;	yaw,	-4.5498552322387695
3.8837473392486572:	imu;	yaw,	-4.5465826988220215
3.8921878337860107:	altitude;	altitude,	73.04830169677734
3.8967673778533936:	imu;	yaw,	-4.543310165405273
3.897489070892334:	servo;	1
3.9088659286499023:	servo;	2
3.9173946380615234:	servo;	3
3.924067258834839:	imu;	yaw,	-4.544401168823242
3.9259588718414307:	servo;	4
3.9313466548919678:	encoder;	counts,	38
3.9368603229522705:	servo;	5
3.9398674964904785:	altitude;	altitude,	73.31781768798828
3.9533324241638184:	imu;	yaw,	-4.545491695404053
3.963632583618164:	imu;	yaw,	-4.5465826988220215
3.9731056690216064:	imu;	yaw,	-4.54767370223999
3.9836549758911133:	encoder;	counts,	39
3.9868392944335938:	imu;	yaw,	-4.548764228820801
3.9938366413116455:	imu;	yaw,	-4.5498552322387695
3.9984829425811768:	altitude;	altitude,	73.10379028320312
4.003047466278076:	imu;	yaw,	-4.550946235656738
4.03187894821167:	altitude;	altitude,	73.27025604248047
4.043466806411743:	encoder;	counts,	40
4.047761678695679:	imu;	yaw,	-4.552036762237549
4.054333209991455:	imu;	yaw,	-4.553127765655518
4.079010486602783:	altitude;	altitude,	73.13813781738281
4.083494186401367:	imu;	yaw,	-4.554218769073486
4.093755483627319:	imu;	yaw,	-4.553127765655518
4.097164630889893:	servo;	4
4.108571529388428:	encoder;	counts,	41
4.114084243774414:	imu;	yaw,	-4.552036762237549
4.126755952835083:	imu;	yaw,	-4.5498552322387695
4.1305201053619385:	altitude;	altitude,	72.90826416015625
4.1410071849823:	servo;	3
4.14409327507019:	imu;	yaw,	-4.548764228820801
4.15309739112854:	imu;	yaw,	-4.5465826988220215
4.15395188331604:	servo;	2
4.165978908538818:	encoder;	counts,	42
4.167352676391602:	servo;	1
4.17180609703064:	imu;	yaw,	-4.544401168823242
4.177853107452393:	imu;	yaw,	-4.543310165405273
4.184855699539185:	altitude;	altitude,	72.94261169433594
4.189685344696045:	imu;	yaw,	-4.541128635406494
4.195611476898193:	imu;	yaw,	-4.537856101989746
4.204210996627808:	imu;	yaw,	-4.534583568572998
4.214182615280151:	encoder;	counts,	43
4.220790386199951:	imu;	yaw,	-4.53131103515625
4.2258851528167725:	imu;	yaw,	-4.529129505157471
4.234891176223755:	imu;	yaw,	-4.525856971740723
4.244320631027222:	altitude;	altitude,	72.94261169433594
4.249155044555664:	imu;	yaw,	-4.523675441741943
4.254852771759033:	imu;	yaw,	-4.521493911743164
4.265644073486328:	imu;	yaw,	-4.520402908325195
4.272078275680542:	encoder;	counts,	44
4.279046535491943:	imu;	yaw,	-4.521493911743164
4.284252643585205:	imu;	yaw,	-4.522584915161133
4.294104099273682:	imu;	yaw,	-4.523675441741943
4.299226522445679:	altitude;	altitude,	73.01924133300781
4.316151142120361:	imu;	yaw,	-4.524766445159912
4.3262670040130615:	encoder;	counts,	45
4.335726976394653:	imu;	yaw,	-4.525856971740723
4.369256258010864:	servo;	0
4.387150287628174:	servo;	1
4.392548561096191:	servo;	0
4.4292097091674805:	servo;	1
4.436873435974121:	servo;	0
4.4497971534729:	gps;	found,	12|	long,	-71.42084503173828|	lat,	42.42726135253906|	altitude,	89.80000305175781
4.453326940536499:	encoder;	counts,	47
4.45689582824707:	servo;	1
4.459367275238037:	imu;	yaw,	-4.530220031738281
4.466941595077515:	imu;	yaw,	-4.529129505157471
4.472519636154175:	altitude;	altitude,	72.98224639892578
4.477248430252075:	servo;	0
4.4832892417907715:	servo;	1
4.486413240432739:	imu;	yaw,	-4.52803897857666
4.50577974319458:	altitude;	altitude,	72.79464721679688
4.5120933055877686:	imu;	yaw,	-4.529129505157471
4.517622709274292:	encoder;	counts,	48
4.5252134799957275:	imu;	yaw,	-4.52803897857666
4.52953577041626:	imu;	yaw,	-4.526947975158691
4.531063795089722:	servo;	0
4.537214040756226:	imu;	yaw,	-4.524766445159912
4.546655893325806:	imu;	yaw,	-4.522584915161133
4.552168846130371:	encoder;	counts,	49
4.556896924972534:	imu;	yaw,	-4.519312381744385
4.565791130065918:	imu;	yaw,	-4.514948844909668
