7.1564881801605225:	imu;	yaw,	3.7502763271331787
7.165896415710449:	imu;	yaw,	3.749185562133789
7.169567108154297:	servo;	3
7.173945188522339:	imu;	yaw,	3.7480947971343994
7.1764209270477295:	servo;	-1
7.181257247924805:	motors;	0
7.183500289916992:	encoder;	counts,	-5
7.1882476806640625:	servo;	0
7.191030740737915:	imu;	yaw,	3.7470037937164307
7.200113296508789:	altitude;	altitude,	73.95196533203125
7.205761909484863:	imu;	yaw,	3.7480947971343994
7.232474088668823:	altitude;	altitude,	73.98895263671875
7.255629777908325:	imu;	yaw,	3.7470037937164307
7.264817476272583:	altitude;	altitude,	73.99951934814453
7.267391681671143:	imu;	yaw,	3.745913028717041
7.273936986923218:	imu;	yaw,	3.7448222637176514
7.289787769317627:	motors;	-100
7.29215931892395:	encoder;	counts,	-6
7.298983097076416:	altitude;	altitude,	73.8674087524414
7.310452699661255:	imu;	yaw,	3.742640495300293
7.315797328948975:	imu;	yaw,	3.7404589653015137
7.324954986572266:	imu;	yaw,	3.736095428466797
7.3332202434539795:	imu;	yaw,	3.7306413650512695
7.34623646736145:	altitude;	altitude,	73.91761016845703
7.351031303405762:	imu;	yaw,	3.728459596633911
7.357044458389282:	imu;	yaw,	3.725187063217163
7.36582350730896:	imu;	yaw,	3.7240962982177734
7.385725021362305:	imu;	yaw,	3.7273688316345215
7.39094877243042:	altitude;	altitude,	73.98102569580078
7.3950347900390625:	imu;	yaw,	3.731732130050659
7.405526161193848:	imu;	yaw,	3.7339138984680176
7.409250974655151:	servo;	1
7.410540819168091:	encoder;	counts,	-7
7.416322231292725:	imu;	yaw,	3.736095428466797
7.436667442321777:	altitude;	altitude,	73.95196533203125
7.445683002471924:	imu;	yaw,	3.7371864318847656
7.453501224517822:	servo;	2
7.459667682647705:	servo;	1
7.47684121131897:	altitude;	altitude,	73.96781921386719
7.4807610511779785:	imu;	yaw,	3.736095428466797
7.504070520401001:	altitude;	altitude,	74.00216674804688
7.514836311340332:	encoder;	counts,	-8
7.52151346206665:	servo;	2
7.525624752044678:	imu;	yaw,	3.7350046634674072
7.542159795761108:	altitude;	altitude,	73.8885498046875
7.554298162460327:	servo;	1
7.561720609664917:	servo;	2
7.566630840301514:	imu;	yaw,	3.736095428466797
7.593344688415527:	servo;	1
7.599528789520264:	servo;	2
7.685263633728027:	gps;	lat,	42.427398681640625|	long,	-71.4210433959961|	altitude,	89.80000305175781|	found,	12
7.690113544464111:	encoder;	counts,	-10
7.696483135223389:	imu;	yaw,	3.7339138984680176
7.706731557846069:	imu;	yaw,	3.7350046634674072
7.7116804122924805:	altitude;	altitude,	73.98102569580078
7.7134034633636475:	servo;	0
7.716513156890869:	imu;	yaw,	3.736095428466797
7.746214389801025:	altitude;	altitude,	73.93082427978516
7.75097393989563:	imu;	yaw,	3.7350046634674072
7.756471157073975:	imu;	yaw,	3.736095428466797
7.766865015029907:	imu;	yaw,	3.7350046634674072
7.772715330123901:	encoder;	counts,	-11
7.773930072784424:	servo;	6
7.779588460922241:	imu;	yaw,	3.736095428466797
7.781557559967041:	servo;	7
7.786185026168823:	servo;	8
7.792006254196167:	servo;	9
7.799497842788696:	altitude;	altitude,	74.07878875732422
7.807484149932861:	imu;	yaw,	3.7382771968841553
7.817629814147949:	imu;	yaw,	3.739367961883545
