1.4524376392364502:	state;	x,	-71.42085339344163|	y,	42.42730129971385|	vx,	0.0|	ang v,	0.0|	y m,	0.74975770651|	x m,	-1.22951314559|	angle,	0.93940614304|	vy,	0.0
1.4529147148132324:	gps;	long,	-71.42082214355469|	lat,	42.42736053466797|	fix,	True
1.674556016921997:	state;	x,	-71.42085336134785|	y,	42.42730134323873|	vx,	0.0|	ang v,	0.0|	y m,	0.752392601977|	x m,	-1.22467203346|	angle,	0.939514953665|	vy,	0.0
1.6749708652496338:	gps;	long,	-71.42082214355469|	lat,	42.42736053466797|	fix,	True
1.848668098449707:	state;	x,	-71.4208533252984|	y,	42.427301392128236|	vx,	0.0|	ang v,	0.0|	y m,	0.755352259359|	x m,	-1.21923423396|	angle,	0.939623566265|	vy,	0.0
1.8492395877838135:	gps;	long,	-71.42082214355469|	lat,	42.42736053466797|	fix,	True
2.0669105052948:	state;	x,	-71.42085328531108|	y,	42.42730144635817|	vx,	0.0|	ang v,	0.0|	y m,	0.758635213367|	x m,	-1.21320243927|	angle,	0.939730565181|	vy,	0.0
2.067490577697754:	gps;	long,	-71.42082214355469|	lat,	42.42736053466797|	fix,	True
2.2542223930358887:	state;	x,	-71.42085324140568|	y,	42.427301505901724|	vx,	0.0|	ang v,	0.0|	y m,	0.762239842355|	x m,	-1.20657962886|	angle,	0.939834278602|	vy,	0.0
2.2546803951263428:	gps;	long,	-71.42082214355469|	lat,	42.42736053466797|	fix,	True
2.498087167739868:	state;	x,	-71.4208531936038|	y,	42.427301570729576|	vx,	0.0|	ang v,	0.0|	y m,	0.766164370258|	x m,	-1.19936906591|	angle,	0.939946024831|	vy,	0.0
2.4988789558410645:	gps;	long,	-71.42082214355469|	lat,	42.42736053466797|	fix,	True
2.6487486362457275:	state;	x,	-71.42085314192897|	y,	42.42730164080989|	vx,	0.0|	ang v,	0.0|	y m,	0.770406868714|	x m,	-1.1915742934|	angle,	0.940050799344|	vy,	0.0
2.64928936958313:	gps;	long,	-71.42082214355469|	lat,	42.42736053466797|	fix,	True
2.869298219680786:	state;	x,	-71.42085308640648|	y,	42.42730171610828|	vx,	0.0|	ang v,	0.0|	y m,	0.774965259361|	x m,	-1.18319912993|	angle,	0.940155081575|	vy,	0.0
2.8698153495788574:	gps;	long,	-71.42082214355469|	lat,	42.42736053466797|	fix,	True
3.108431816101074:	state;	x,	-71.42085302706344|	y,	42.42730179658803|	vx,	0.0|	ang v,	0.0|	y m,	0.779837316293|	x m,	-1.17424766517|	angle,	0.940268126424|	vy,	0.0
3.1091468334198:	gps;	long,	-71.42082214355469|	lat,	42.42736053466797|	fix,	True
3.255467176437378:	state;	x,	-71.42085296392874|	y,	42.427301882209946|	vx,	0.0|	ang v,	0.0|	y m,	0.785020668683|	x m,	-1.16472425506|	angle,	0.940369663001|	vy,	0.0
