1.8475697040557861:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
1.8484094142913818:	yaw;	yaw,	-5.073453903198242
1.865671157836914:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
1.8660266399383545:	yaw;	yaw,	-5.074544906616211
1.897029161453247:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
1.897524118423462:	yaw;	yaw,	-5.073453903198242
1.928893804550171:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
1.9293339252471924:	encoder;	counts,	4
1.9523677825927734:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
1.9531073570251465:	yaw;	yaw,	-5.074544906616211
1.9894611835479736:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
1.98982572555542:	yaw;	yaw,	-5.07563591003418
1.9960558414459229:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
1.9965038299560547:	gps;	long,	-71.42083740234375|	lat,	42.42731475830078|	fix,	True
2.0123658180236816:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
2.012906789779663:	yaw;	yaw,	-5.072363376617432
2.038968086242676:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
2.040437936782837:	yaw;	yaw,	-5.071272373199463
2.050304889678955:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
2.0507235527038574:	encoder;	counts,	5
2.056612491607666:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
2.0573337078094482:	yaw;	yaw,	-5.072363376617432
2.081824779510498:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
2.082317352294922:	yaw;	yaw,	-5.073453903198242
2.110605239868164:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
2.111100912094116:	yaw;	yaw,	-5.072363376617432
2.1435387134552:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
2.143904447555542:	yaw;	yaw,	-5.073453903198242
2.170664072036743:	state;	angle,	4.30973129454|	ang v,	-0.724978275798|	vx,	-0.477875666529|	vy,	-0.666023105877|	y m,	0.295756377611|	x m,	-1.6766534267|	x,	-71.42085892330583|	y,	42.42729727961928
2.171091079711914:	yaw;	yaw,	-5.074544906616211
2.222504138946533:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.2237250804901123:	yaw;	yaw,	-5.078908443450928
2.238372325897217:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.2387683391571045:	encoder;	counts,	6
2.2642438411712646:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.2647032737731934:	yaw;	yaw,	-5.082180976867676
2.2893261909484863:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.2898244857788086:	yaw;	yaw,	-5.083271503448486
2.304245948791504:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.3049144744873047:	yaw;	yaw,	-5.084362506866455
2.317694664001465:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.3185410499572754:	yaw;	yaw,	-5.086544036865234
2.3333840370178223:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.3339898586273193:	yaw;	yaw,	-5.087635040283203
2.343677520751953:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.3441247940063477:	gps;	long,	-71.42083740234375|	lat,	42.42731475830078|	fix,	True
2.351928234100342:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.3524062633514404:	encoder;	counts,	7
2.374415397644043:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.374925374984741:	yaw;	yaw,	-5.089816570281982
2.3888468742370605:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.389342784881592:	yaw;	yaw,	-5.0930891036987305
2.4044458866119385:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.404986619949341:	yaw;	yaw,	-5.0963616371154785
2.420820713043213:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.4211947917938232:	yaw;	yaw,	-5.099634170532227
2.4569618701934814:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.457460641860962:	yaw;	yaw,	-5.101815700531006
2.4895284175872803:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.49011492729187:	yaw;	yaw,	-5.105088233947754
2.5026986598968506:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.5030853748321533:	encoder;	counts,	8
2.525881290435791:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.5263023376464844:	yaw;	yaw,	-5.109451770782471
2.5880813598632812:	state;	angle,	4.1811043779|	ang v,	-0.71950720283|	vx,	-0.608198838979|	vy,	-0.638718871722|	y m,	-0.304149732834|	x m,	-2.24203330646|	x,	-71.42086623033033|	y,	42.427292196470084
2.588714122772217:	yaw;	yaw,	-5.11163330078125
