2.961794137954712:	state;	x,	-71.42084988199275|	x m,	-0.893548352427|	vy,	-0.0647161449868|	angle,	4.32388294299|	vx,	-0.0647161449868|	ang v,	0.0390453887735|	y m,	1.03804728948|	y,	42.42730432026523
2.9622597694396973:	yaw;	yaw,	-5.409430027008057
2.9647536277770996:	motors;	32
2.9760053157806396:	state;	x,	-71.42084988199275|	x m,	-0.893548352427|	vy,	-0.0647161449868|	angle,	4.32388294299|	vx,	-0.0647161449868|	ang v,	0.0390453887735|	y m,	1.03804728948|	y,	42.42730432026523
2.976494073867798:	gps;	long,	-71.42081451416016|	lat,	42.427345275878906|	fix,	True
2.978128433227539:	blue_led;	83
3.008352756500244:	state;	x,	-71.42084988199275|	x m,	-0.893548352427|	vy,	-0.0647161449868|	angle,	4.32388294299|	vx,	-0.0647161449868|	ang v,	0.0390453887735|	y m,	1.03804728948|	y,	42.42730432026523
3.0087485313415527:	yaw;	yaw,	-5.408339023590088
3.0374042987823486:	blue_led;	80
3.0545711517333984:	motors;	31
3.0731468200683594:	state;	x,	-71.42084920492417|	x m,	-0.82696144202|	vy,	-0.0261614856679|	angle,	4.33045423447|	vx,	-0.017044704786|	ang v,	0.102466287357|	y m,	1.09363454659|	y,	42.427304918926716
3.073561906814575:	yaw;	yaw,	-5.407248497009277
3.075071334838867:	blue_led;	72
3.089411497116089:	motors;	28
3.0933022499084473:	state;	x,	-71.42084920492417|	x m,	-0.82696144202|	vy,	-0.0261614856679|	angle,	4.33045423447|	vx,	-0.017044704786|	ang v,	0.102466287357|	y m,	1.09363454659|	y,	42.427304918926716
3.093745470046997:	yaw;	yaw,	-5.406157493591309
3.0956532955169678:	blue_led;	67
3.1000614166259766:	state;	x,	-71.42084920492417|	x m,	-0.82696144202|	vy,	-0.0261614856679|	angle,	4.33045423447|	vx,	-0.017044704786|	ang v,	0.102466287357|	y m,	1.09363454659|	y,	42.427304918926716
3.1004414558410645:	yaw;	yaw,	-5.403975963592529
3.1029815673828125:	motors;	26
3.111024856567383:	blue_led;	60
3.1138882637023926:	state;	x,	-71.42084920492417|	x m,	-0.82696144202|	vy,	-0.0261614856679|	angle,	4.33045423447|	vx,	-0.017044704786|	ang v,	0.102466287357|	y m,	1.09363454659|	y,	42.427304918926716
3.1142685413360596:	encoder;	counts,	1
3.1160733699798584:	motors;	23
3.1258158683776855:	blue_led;	0
3.1287057399749756:	state;	x,	-71.42084920492417|	x m,	-0.82696144202|	vy,	-0.0261614856679|	angle,	4.33045423447|	vx,	-0.017044704786|	ang v,	0.102466287357|	y m,	1.09363454659|	y,	42.427304918926716
3.1291723251342773:	yaw;	yaw,	-5.401793956756592
3.133441209793091:	motors;	0
3.144503116607666:	blue_led;	55
3.1497011184692383:	motors;	21
3.158332109451294:	blue_led;	60
3.15950608253479:	state;	x,	-71.42084807765197|	x m,	-0.718357487958|	vy,	-0.0864808895202|	angle,	4.33806409956|	vx,	-0.0773569581124|	ang v,	0.0438710449048|	y m,	1.18618346808|	y,	42.427305895349896
3.1599507331848145:	yaw;	yaw,	-5.400703430175781
3.163872480392456:	state;	x,	-71.42084807765197|	x m,	-0.718357487958|	vy,	-0.0864808895202|	angle,	4.33806409956|	vx,	-0.0773569581124|	ang v,	0.0438710449048|	y m,	1.18618346808|	y,	42.427305895349896
3.1642467975616455:	yaw;	yaw,	-5.3996124267578125
3.1659095287323:	motors;	23
3.173530340194702:	blue_led;	64
3.1805474758148193:	motors;	25
3.1841633319854736:	state;	x,	-71.42084807765197|	x m,	-0.718357487958|	vy,	-0.0864808895202|	angle,	4.33806409956|	vx,	-0.0773569581124|	ang v,	0.0438710449048|	y m,	1.18618346808|	y,	42.427305895349896
3.1845359802246094:	yaw;	yaw,	-5.398521423339844
3.1971848011016846:	blue_led;	66
3.212165594100952:	motors;	26
3.214667797088623:	state;	x,	-71.42084807765197|	x m,	-0.718357487958|	vy,	-0.0864808895202|	angle,	4.33806409956|	vx,	-0.0773569581124|	ang v,	0.0438710449048|	y m,	1.18618346808|	y,	42.427305895349896
3.2150211334228516:	yaw;	yaw,	-5.397430896759033
3.221290349960327:	blue_led;	68
3.2408227920532227:	state;	x,	-71.42084807765197|	x m,	-0.718357487958|	vy,	-0.0864808895202|	angle,	4.33806409956|	vx,	-0.0773569581124|	ang v,	0.0438710449048|	y m,	1.18618346808|	y,	42.427305895349896
3.241851329803467:	yaw;	yaw,	-5.3963398933410645
3.25191068649292:	blue_led;	70
3.260812520980835:	motors;	27
3.2654333114624023:	state;	x,	-71.42084807765197|	x m,	-0.718357487958|	vy,	-0.0864808895202|	angle,	4.33806409956|	vx,	-0.0773569581124|	ang v,	0.0438710449048|	y m,	1.18618346808|	y,	42.427305895349896
3.266289472579956:	gps;	long,	-71.42081451416016|	lat,	42.427345275878906|	fix,	True
3.2679924964904785:	blue_led;	72
3.2733023166656494:	state;	x,	-71.42084807765197|	x m,	-0.718357487958|	vy,	-0.0864808895202|	angle,	4.33806409956|	vx,	-0.0773569581124|	ang v,	0.0438710449048|	y m,	1.18618346808|	y,	42.427305895349896
3.2737395763397217:	yaw;	yaw,	-5.394158363342285
3.282928705215454:	motors;	28
3.296226978302002:	blue_led;	73
3.307781934738159:	state;	x,	-71.42084689747345|	x m,	-0.604004035674|	vy,	-0.0769733905305|	angle,	4.34791457353|	vx,	-0.0766660908519|	ang v,	0.0518049408883|	y m,	1.28307598771|	y,	42.42730692346496
3.3083033561706543:	yaw;	yaw,	-5.393067359924316
3.3572335243225098:	blue_led;	71
3.3602473735809326:	state;	x,	-71.42084689747345|	x m,	-0.604004035674|	vy,	-0.0769733905305|	angle,	4.34791457353|	vx,	-0.0766660908519|	ang v,	0.0518049408883|	y m,	1.28307598771|	y,	42.42730692346496
3.360733985900879:	yaw;	yaw,	-5.391976356506348
3.3771064281463623:	blue_led;	68
3.37823486328125:	state;	x,	-71.42084689747345|	x m,	-0.604004035674|	vy,	-0.0769733905305|	angle,	4.34791457353|	vx,	-0.0766660908519|	ang v,	0.0518049408883|	y m,	1.28307598771|	y,	42.42730692346496
3.378624439239502:	yaw;	yaw,	-5.390885829925537
3.38586688041687:	motors;	26
3.3915066719055176:	state;	x,	-71.42084689747345|	x m,	-0.604004035674|	vy,	-0.0769733905305|	angle,	4.34791457353|	vx,	-0.0766660908519|	ang v,	0.0518049408883|	y m,	1.28307598771|	y,	42.42730692346496
3.3920814990997314:	yaw;	yaw,	-5.387613296508789
3.395554542541504:	blue_led;	59
3.4041075706481934:	motors;	23
