2.8517508506774902:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
2.993478298187256:	state;	y,	42.4273033076568|	x m,	-1.00617707132|	angle,	4.31847613784|	vy,	-0.00992206323069|	ang v,	0.0090425848713|	x,	-71.42085259316195|	y m,	0.815460568798|	vx,	-0.00411169283873
2.9939661026000977:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
3.184844493865967:	state;	y,	42.42730346810596|	x m,	-0.98833090493|	angle,	4.31851536452|	vy,	-0.00520625439343|	ang v,	0.0103429446381|	x,	-71.42085253143604|	y m,	0.820528259245|	vx,	-0.0021574664874
3.185319662094116:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
3.483858346939087:	state;	y,	42.427303633507876|	x m,	-0.969933860515|	angle,	4.31856392443|	vy,	-0.00272114822802|	ang v,	0.0109083700599|	x,	-71.42085246780475|	y m,	0.825752379886|	vx,	-0.00112764103817
3.484506130218506:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
3.6283648014068604:	state;	y,	42.4273038037878|	x m,	-0.950994253447|	angle,	4.31859559046|	vy,	-0.00142074088558|	ang v,	0.0111781462214|	x,	-71.42085240229686|	y m,	0.831130569447|	vx,	-0.000588753567592
3.6291327476501465:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
3.796978712081909:	state;	y,	42.42730397886931|	x m,	-0.931520584446|	angle,	4.31863365464|	vy,	-0.000741568007489|	ang v,	0.0113082008131|	x,	-71.42085233494177|	y m,	0.836660414019|	vx,	-0.000307305022648
3.797462224960327:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
4.030021667480469:	state;	y,	42.42730415867438|	x m,	-0.91152153077|	angle,	4.31867645596|	vy,	-0.000387037107119|	ang v,	0.0113728353105|	x,	-71.42085226576947|	y m,	0.842339449562|	vx,	-0.000160387780713
4.030649662017822:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
4.412883996963501:	state;	y,	42.427304343123495|	x m,	-0.891005937327|	angle,	4.31875460948|	vy,	-0.000201996958399|	ang v,	0.0114049014512|	x,	-71.42085219481059|	y m,	0.84816516443|	vx,	-8.37073326367e-05
4.413418292999268:	gps;	long,	-71.42083740234375|	lat,	42.427364349365234|	fix,	True
4.460338115692139:	blue_led;	53
4.473984241485596:	motors;	20
4.4841766357421875:	blue_led;	59
4.490528583526611:	motors;	23
4.504772424697876:	blue_led;	68
4.512880563735962:	motors;	26
4.521406173706055:	blue_led;	73
4.532057762145996:	motors;	28
4.558471202850342:	blue_led;	76
4.563710927963257:	motors;	29
4.571498394012451:	blue_led;	85
4.573336362838745:	state;	y,	42.427304364380035|	x m,	-0.888641652793|	angle,	4.3173680683|	vy,	-0.0494284094694|	ang v,	0.00319827587843|	x,	-71.42085232166566|	y m,	0.837750375502|	vx,	-0.0493666737769
4.573801517486572:	yaw;	yaw,	-5.270894527435303
4.576016902923584:	motors;	33
4.581261396408081:	blue_led;	88
4.5887696743011475:	motors;	34
