3.5208399295806885:	servo;	-10
3.5274078845977783:	altitude;	altitude,	73.98631286621094
3.5281286239624023:	imu;	yaw,	-4.524766445159912
3.5358974933624268:	imu;	yaw,	-4.523675441741943
3.56223201751709:	altitude;	altitude,	73.96517181396484
3.567214250564575:	imu;	yaw,	-4.524766445159912
3.570619821548462:	encoder;	counts,	31
3.57625412940979:	imu;	yaw,	-4.526947975158691
3.5935187339782715:	imu;	yaw,	-4.529129505157471
3.599428415298462:	servo;	-11
3.60467791557312:	imu;	yaw,	-4.533492565155029
3.611717700958252:	servo;	-12
3.619036912918091:	servo;	-13
3.626328945159912:	servo;	-14
3.6354401111602783:	servo;	-15
3.671471357345581:	servo;	-16
3.687596321105957:	servo;	-19
3.6960792541503906:	servo;	-21
3.7071495056152344:	servo;	-22
3.7193219661712646:	gps;	found,	12|	long,	-71.42086791992188|	lat,	42.42729187011719|	altitude,	89.80000305175781
3.722790002822876:	encoder;	counts,	33
3.7292113304138184:	imu;	yaw,	-4.5465826988220215
3.7344093322753906:	altitude;	altitude,	74.05765533447266
3.740955114364624:	imu;	yaw,	-4.548764228820801
3.744102716445923:	imu;	yaw,	-4.550946235656738
3.751372814178467:	encoder;	counts,	34
3.7591984272003174:	servo;	-18
3.766162633895874:	servo;	-16
3.772606134414673:	servo;	-17
3.776042938232422:	imu;	yaw,	-4.552036762237549
3.7791481018066406:	servo;	-16
3.7856786251068115:	altitude;	altitude,	73.93875122070312
3.792614221572876:	imu;	yaw,	-4.554218769073486
3.7979166507720947:	imu;	yaw,	-4.556400299072266
3.80544114112854:	encoder;	counts,	35
3.8117637634277344:	imu;	yaw,	-4.558581829071045
3.813307523727417:	servo;	-15
3.8161203861236572:	imu;	yaw,	-4.559672832489014
3.827063798904419:	imu;	yaw,	-4.560763359069824
3.836336374282837:	imu;	yaw,	-4.559672832489014
3.846355438232422:	imu;	yaw,	-4.558581829071045
3.8516974449157715:	altitude;	altitude,	73.91761016845703
3.8565351963043213:	imu;	yaw,	-4.557490825653076
3.8591296672821045:	encoder;	counts,	36
3.867391347885132:	imu;	yaw,	-4.554218769073486
3.8772029876708984:	imu;	yaw,	-4.550946235656738
3.891659736633301:	altitude;	altitude,	74.2161865234375
3.8964457511901855:	imu;	yaw,	-4.553127765655518
3.906015396118164:	imu;	yaw,	-4.555309295654297
3.9151103496551514:	encoder;	counts,	37
3.92876935005188:	imu;	yaw,	-4.559672832489014
3.929405927658081:	imu;	yaw,	-4.564035892486572
3.938807249069214:	altitude;	altitude,	73.96517181396484
3.9430603981018066:	imu;	yaw,	-4.568399429321289
3.947120428085327:	imu;	yaw,	-4.574944496154785
3.95713210105896:	imu;	yaw,	-4.578217029571533
