3.6120781898498535:	servo;	-2
3.6171188354492188:	imu;	yaw,	5.102906703948975
3.6361780166625977:	imu;	yaw,	5.101815700531006
3.645669460296631:	imu;	yaw,	5.099634170532227
3.6586475372314453:	encoder;	counts,	36
3.6797432899475098:	imu;	yaw,	5.098543167114258
3.686680316925049:	imu;	yaw,	5.09527063369751
3.697409152984619:	imu;	yaw,	5.0930891036987305
3.7361693382263184:	altitude;	altitude,	-28.330461502075195
3.7366878986358643:	imu;	yaw,	5.088725566864014
3.7372019290924072:	encoder;	counts,	37
3.7376859188079834:	imu;	yaw,	5.084362506866455
3.748081684112549:	imu;	yaw,	5.085453510284424
3.766765832901001:	imu;	yaw,	5.087635040283203
3.7897942066192627:	encoder;	counts,	38
3.7905406951904297:	imu;	yaw,	5.086544036865234
3.7999932765960693:	altitude;	altitude,	-28.446720123291016
3.803851366043091:	servo;	-1
3.806988477706909:	imu;	yaw,	5.085453510284424
3.8193390369415283:	imu;	yaw,	5.084362506866455
3.8301498889923096:	imu;	yaw,	5.083271503448486
3.8513972759246826:	servo;	0
3.9045560359954834:	gps;	lat,	42.42734146118164|	long,	-71.42085266113281|	altitude,	0.0|	found,	13
3.9117648601531982:	encoder;	counts,	40
3.9216744899749756:	imu;	yaw,	5.073453903198242
3.9367265701293945:	imu;	yaw,	5.072363376617432
3.9461166858673096:	imu;	yaw,	5.073453903198242
3.97355580329895:	encoder;	counts,	41
3.9741463661193848:	imu;	yaw,	5.074544906616211
3.996847152709961:	altitude;	altitude,	-28.378021240234375
4.025235414505005:	imu;	yaw,	5.072363376617432
4.025787830352783:	encoder;	counts,	42
4.03196907043457:	imu;	yaw,	5.071272373199463
4.0399439334869385:	imu;	yaw,	5.070181846618652
4.047320127487183:	imu;	yaw,	5.067999839782715
4.057192087173462:	imu;	yaw,	5.0658183097839355
4.066622018814087:	imu;	yaw,	5.064727306365967
4.089501857757568:	encoder;	counts,	43
4.090138673782349:	imu;	yaw,	5.060364246368408
4.1124632358551025:	altitude;	altitude,	-22.88737678527832
4.120530605316162:	imu;	yaw,	5.061454772949219
4.130268335342407:	imu;	yaw,	5.063636779785156
4.155401229858398:	encoder;	counts,	44
4.155984401702881:	imu;	yaw,	5.066909313201904
4.158008813858032:	imu;	yaw,	5.0658183097839355
4.177399158477783:	imu;	yaw,	5.064727306365967
4.1868486404418945:	imu;	yaw,	5.0625457763671875
4.197565317153931:	encoder;	counts,	45
4.207345247268677:	imu;	yaw,	5.0592732429504395
4.218640089035034:	imu;	yaw,	5.05709171295166
4.242363929748535:	altitude;	altitude,	-22.9349365234375
4.242902517318726:	imu;	yaw,	5.056000709533691
4.248465299606323:	imu;	yaw,	5.05709171295166
4.2597575187683105:	encoder;	counts,	46
4.289841413497925:	imu;	yaw,	5.052728176116943
4.2905027866363525:	imu;	yaw,	5.051637649536133
4.300447702407837:	imu;	yaw,	5.049455642700195
4.313112735748291:	encoder;	counts,	47
4.3411500453948975:	altitude;	altitude,	-26.99346923828125
4.359801292419434:	imu;	yaw,	5.048365116119385
4.360226631164551:	imu;	yaw,	5.047274112701416
4.367089748382568:	encoder;	counts,	48
4.374455451965332:	servo;	1
4.386837720870972:	servo;	3
4.390146732330322:	imu;	yaw,	5.046183109283447
4.421514511108398:	imu;	yaw,	5.044001579284668
4.423612356185913:	imu;	yaw,	5.041820049285889
4.4243998527526855:	imu;	yaw,	5.04072904586792
4.428809881210327:	servo;	4
4.434180021286011:	servo;	5
4.436343193054199:	encoder;	counts,	49
4.439268112182617:	servo;	6
4.4465227127075195:	imu;	yaw,	5.035274982452393
4.450057506561279:	servo;	8
4.477267026901245:	servo;	10
4.479234933853149:	imu;	yaw,	5.033093452453613
4.479749441146851:	altitude;	altitude,	-20.282094955444336
4.482171297073364:	servo;	11
4.489452600479126:	servo;	13
4.494940996170044:	imu;	yaw,	5.035274982452393
4.510743618011475:	encoder;	counts,	50
4.514699935913086:	imu;	yaw,	5.034183979034424
4.5449371337890625:	imu;	yaw,	5.035274982452393
4.545488595962524:	imu;	yaw,	5.033093452453613
4.552013635635376:	encoder;	counts,	51
4.570398569107056:	imu;	yaw,	5.030911445617676
4.601825714111328:	imu;	yaw,	5.0287299156188965
4.603809833526611:	altitude;	altitude,	-19.98087501525879
4.606001377105713:	servo;	11
4.612367630004883:	servo;	9
4.614806652069092:	encoder;	counts,	52
4.6179890632629395:	servo;	6
4.62047266960144:	imu;	yaw,	5.025457382202148
4.623620271682739:	servo;	4
4.6288533210754395:	servo;	1
4.6354429721832275:	imu;	yaw,	5.02436637878418
