9.718847751617432:	servo;	6
9.74419379234314:	servo;	9
9.745972394943237:	imu;	yaw,	0.01636246219277382
9.74926471710205:	altitude;	altitude,	-11.980070114135742
9.750558853149414:	servo;	13
9.755927085876465:	servo;	16
9.762229919433594:	servo;	20
9.805346965789795:	servo;	23
9.808046102523804:	altitude;	altitude,	-11.921939849853516
9.809385538101196:	imu;	yaw,	0.01745329238474369
9.815945386886597:	servo;	24
9.81762981414795:	encoder;	counts,	1
9.822421789169312:	imu;	yaw,	0.01854412443935871
9.837142705917358:	imu;	yaw,	0.01745329238474369
9.838300466537476:	servo;	20
9.868210792541504:	servo;	17
9.869986057281494:	imu;	yaw,	0.01636246219277382
9.870514631271362:	imu;	yaw,	0.014180800877511501
9.873525619506836:	imu;	yaw,	0.013089969754219055
9.879797220230103:	servo;	14
9.888548374176025:	imu;	yaw,	0.014180800877511501
9.889719247817993:	servo;	6
9.89966106414795:	servo;	3
9.90226674079895:	imu;	yaw,	0.01636246219277382
9.904395818710327:	motors;	0
9.922634363174438:	servo;	0
9.927444458007812:	imu;	yaw,	0.01745329238474369
9.931212902069092:	imu;	yaw,	0.020725784823298454
9.942880392074585:	imu;	yaw,	0.021816616877913475
9.955248594284058:	motors;	-100
9.960368394851685:	encoder;	counts,	2
9.969268798828125:	imu;	yaw,	0.01854412443935871
9.98466682434082:	imu;	yaw,	0.014180800877511501
9.99786901473999:	altitude;	altitude,	-11.620720863342285
10.018879175186157:	imu;	yaw,	0.008726646192371845
10.023006677627563:	imu;	yaw,	0.0021816615480929613
10.027392625808716:	motors;	0
10.037407875061035:	imu;	yaw,	0.0010908307740464807
10.06481671333313:	imu;	yaw,	6.277731895446777
10.065551280975342:	imu;	yaw,	6.272277355194092
10.069246768951416:	imu;	yaw,	6.264641761779785
10.080721616744995:	imu;	yaw,	6.254823684692383
10.090208530426025:	imu;	yaw,	6.247188091278076
10.10000228881836:	imu;	yaw,	6.245006561279297
10.129589080810547:	imu;	yaw,	6.246097087860107
10.130048751831055:	imu;	yaw,	6.248278617858887
10.130521297454834:	imu;	yaw,	6.2526421546936035
10.138205289840698:	motors;	-100
10.139766931533813:	imu;	yaw,	6.25700569152832
10.14776086807251:	imu;	yaw,	6.260278224945068
10.15412950515747:	servo;	-1
10.180227994918823:	servo;	-4
10.181729078292847:	imu;	yaw,	6.262459754943848
10.182456731796265:	altitude;	altitude,	-11.789826393127441
10.187966108322144:	imu;	yaw,	6.265732288360596
10.19860553741455:	servo;	-8
10.201633214950562:	imu;	yaw,	6.262459754943848
10.2080979347229:	servo;	-11
10.211572647094727:	encoder;	counts,	1
10.21950101852417:	imu;	yaw,	6.260278224945068
10.247931241989136:	servo;	-17
10.249290466308594:	imu;	yaw,	6.261368751525879
10.252530574798584:	imu;	yaw,	6.258096694946289
10.261210203170776:	servo;	-19
10.263346195220947:	imu;	yaw,	6.25591516494751
10.266116380691528:	servo;	-20
10.273518800735474:	imu;	yaw,	6.254823684692383
10.281433820724487:	servo;	-21
10.319013357162476:	imu;	yaw,	6.25591516494751
10.319983959197998:	imu;	yaw,	6.263550281524658
10.321096181869507:	servo;	-22
10.323411226272583:	altitude;	altitude,	-11.652427673339844
10.326405048370361:	servo;	-23
10.331204652786255:	servo;	-24
10.378366470336914:	altitude;	altitude,	-11.763402938842773
10.390554428100586:	imu;	yaw,	6.262459754943848
10.535399913787842:	gps;	lat,	42.427494049072266|	long,	-71.42088317871094|	altitude,	0.0|	found,	13
10.538423538208008:	encoder;	counts,	0
10.549379825592041:	imu;	yaw,	6.246097087860107
10.565758466720581:	imu;	yaw,	6.241734027862549
10.572308540344238:	imu;	yaw,	6.238461494445801
10.597200393676758:	encoder;	counts,	-1
10.598265886306763:	imu;	yaw,	6.234098434448242
