4.683653116226196:	imu;	yaw,	5.020003318786621
4.697771072387695:	altitude;	altitude,	-19.5581111907959
4.7082459926605225:	imu;	yaw,	5.02109432220459
4.719151496887207:	encoder;	counts,	33
4.752617359161377:	altitude;	altitude,	-19.732501983642578
4.760180473327637:	imu;	yaw,	5.020003318786621
4.772659063339233:	encoder;	counts,	34
4.78287148475647:	imu;	yaw,	5.017821788787842
4.808527231216431:	imu;	yaw,	5.018912315368652
4.809588432312012:	imu;	yaw,	5.017821788787842
4.824631452560425:	imu;	yaw,	5.020003318786621
4.83451509475708:	encoder;	counts,	35
4.8429718017578125:	imu;	yaw,	5.02109432220459
4.853914737701416:	imu;	yaw,	5.0221848487854
4.866089820861816:	altitude;	altitude,	-19.71664810180664
4.874157190322876:	imu;	yaw,	5.025457382202148
4.887578010559082:	imu;	yaw,	5.026548385620117
4.90933084487915:	encoder;	counts,	36
4.911571502685547:	imu;	yaw,	5.029820919036865
4.9211204051971436:	imu;	yaw,	5.027638912200928
4.931444883346558:	imu;	yaw,	5.025457382202148
4.94049072265625:	imu;	yaw,	5.026548385620117
4.965334892272949:	encoder;	counts,	37
4.971238374710083:	imu;	yaw,	5.027638912200928
4.984157085418701:	servo;	-7
4.986299753189087:	imu;	yaw,	5.0287299156188965
4.990607500076294:	servo;	-6
5.015381336212158:	servo;	-5
5.020660877227783:	servo;	-4
5.022542238235474:	altitude;	altitude,	-19.943883895874023
5.023308277130127:	imu;	yaw,	5.029820919036865
5.046503782272339:	servo;	-3
5.137150049209595:	gps;	lat,	42.4273567199707|	long,	-71.42085266113281|	altitude,	0.0|	found,	12
5.1499550342559814:	encoder;	counts,	40
5.15725564956665:	imu;	yaw,	5.026548385620117
5.1812217235565186:	imu;	yaw,	5.0221848487854
5.1854565143585205:	imu;	yaw,	5.023275852203369
5.195772647857666:	encoder;	counts,	41
5.224632740020752:	imu;	yaw,	5.02436637878418
5.251228332519531:	altitude;	altitude,	-19.3203067779541
5.2517054080963135:	imu;	yaw,	5.027638912200928
5.254222631454468:	encoder;	counts,	42
5.263566493988037:	imu;	yaw,	5.029820919036865
5.274275779724121:	imu;	yaw,	5.0287299156188965
5.284106016159058:	imu;	yaw,	5.027638912200928
5.316261529922485:	imu;	yaw,	5.026548385620117
5.321310758590698:	servo;	-4
5.323696851730347:	encoder;	counts,	43
5.3334691524505615:	altitude;	altitude,	-19.563396453857422
5.339544296264648:	imu;	yaw,	5.02109432220459
5.342719793319702:	servo;	-5
5.380709409713745:	encoder;	counts,	44
5.383980989456177:	imu;	yaw,	5.020003318786621
5.390423774719238:	servo;	-6
5.397470235824585:	imu;	yaw,	5.0221848487854
5.406593322753906:	imu;	yaw,	5.023275852203369
5.429920673370361:	altitude;	altitude,	-19.309738159179688
5.438162326812744:	encoder;	counts,	45
5.448029279708862:	imu;	yaw,	5.02436637878418
5.45982813835144:	servo;	-7
5.466558933258057:	servo;	-6
5.468295335769653:	imu;	yaw,	5.0221848487854
5.477560043334961:	imu;	yaw,	5.02109432220459
5.487566947937012:	servo;	-7
5.490044355392456:	encoder;	counts,	46
5.493682622909546:	servo;	-6
5.498774290084839:	imu;	yaw,	5.020003318786621
5.500627517700195:	servo;	-7
5.511096239089966:	servo;	-6
5.533620119094849:	imu;	yaw,	5.02109432220459
5.534403324127197:	imu;	yaw,	5.018912315368652
5.540266752243042:	imu;	yaw,	5.017821788787842
5.550701141357422:	encoder;	counts,	47
5.559042453765869:	servo;	-7
5.560922861099243:	imu;	yaw,	5.018912315368652
5.567608833312988:	servo;	-6
5.592336654663086:	imu;	yaw,	5.017821788787842
5.5971999168396:	altitude;	altitude,	-19.241039276123047
5.606775760650635:	servo;	-7
5.609591722488403:	imu;	yaw,	5.018912315368652
5.613452911376953:	encoder;	counts,	48
5.619974613189697:	imu;	yaw,	5.020003318786621
5.651819467544556:	imu;	yaw,	5.018912315368652
5.653348207473755:	imu;	yaw,	5.017821788787842
5.65849494934082:	imu;	yaw,	5.016730785369873
5.664497137069702:	imu;	yaw,	5.015639781951904
5.668381452560425:	servo;	-8
5.674231767654419:	encoder;	counts,	49
5.681283235549927:	imu;	yaw,	5.013458251953125
5.683453559875488:	servo;	-9
5.716810941696167:	imu;	yaw,	5.012367248535156
5.717309236526489:	imu;	yaw,	5.011276721954346
5.723975419998169:	imu;	yaw,	5.012367248535156
5.7253265380859375:	servo;	-10
5.737539768218994:	encoder;	counts,	50
5.745425701141357:	imu;	yaw,	5.014549255371094
