2.5577285289764404:	altitude;	altitude,	-19.732501983642578
2.579148292541504:	altitude;	altitude,	-19.732501983642578
2.6087706089019775:	altitude;	altitude,	-19.811769485473633
2.634024143218994:	altitude;	altitude,	-19.875185012817383
2.655231475830078:	imu;	yaw,	4.510585308074951
2.6666834354400635:	altitude;	altitude,	-19.774778366088867
2.6733646392822266:	servo;	-2
2.6849734783172607:	servo;	-1
2.702568769454956:	altitude;	altitude,	-19.75892448425293
2.7059519290924072:	imu;	yaw,	4.51167631149292
2.7267351150512695:	imu;	yaw,	4.512767314910889
2.7306268215179443:	altitude;	altitude,	-19.75892448425293
2.7605254650115967:	altitude;	altitude,	-19.885753631591797
2.798002004623413:	altitude;	altitude,	-19.632095336914062
2.8221776485443115:	altitude;	altitude,	-19.917461395263672
