2.3779096603393555:	servo;	0
2.3819260597229004:	imu;	yaw,	0.9653852581977844
2.3966569900512695:	altitude;	altitude,	-24.382904052734375
2.4022538661956787:	imu;	yaw,	0.96429443359375
2.412161111831665:	imu;	yaw,	0.9632036089897156
2.425858974456787:	servo;	-1
2.42852783203125:	altitude;	altitude,	-24.4410343170166
2.4341673851013184:	imu;	yaw,	0.9621127843856812
2.451871156692505:	imu;	yaw,	0.9632036089897156
2.4618546962738037:	imu;	yaw,	0.96429443359375
2.471348524093628:	imu;	yaw,	0.9653852581977844
2.4808614253997803:	altitude;	altitude,	-24.647130966186523
2.4856135845184326:	imu;	yaw,	0.9675669074058533
2.494577407836914:	imu;	yaw,	0.9697486162185669
2.501521348953247:	imu;	yaw,	0.9719302654266357
2.512249231338501:	imu;	yaw,	0.9741119146347046
2.5236892700195312:	altitude;	altitude,	-24.77396011352539
2.527979850769043:	imu;	yaw,	0.9773844480514526
2.5337533950805664:	imu;	yaw,	0.9806569218635559
2.5416531562805176:	imu;	yaw,	0.9839293360710144
2.5531275272369385:	imu;	yaw,	0.9872018694877625
2.5633137226104736:	imu;	yaw,	0.9904743432998657
2.5702953338623047:	altitude;	altitude,	-24.57314682006836
2.573979377746582:	imu;	yaw,	0.9937468767166138
2.5852088928222656:	imu;	yaw,	0.9981101751327515
2.5944998264312744:	imu;	yaw,	1.0013827085494995
2.6036605834960938:	imu;	yaw,	1.0046552419662476
2.6125857830047607:	altitude;	altitude,	-24.499164581298828
2.6166646480560303:	imu;	yaw,	1.007927656173706
2.6224799156188965:	imu;	yaw,	1.0101094245910645
2.6323416233062744:	imu;	yaw,	1.013381838798523
2.641528606414795:	imu;	yaw,	1.0155634880065918
2.6537673473358154:	imu;	yaw,	1.0177451372146606
2.660565137863159:	altitude;	altitude,	-24.589000701904297
2.6649701595306396:	imu;	yaw,	1.0199267864227295
2.6733508110046387:	imu;	yaw,	1.0221084356307983
2.6840107440948486:	imu;	yaw,	1.0242900848388672
2.693516492843628:	imu;	yaw,	1.0253809690475464
2.703171491622925:	imu;	yaw,	1.0264718532562256
2.711103677749634:	altitude;	altitude,	-24.68412208557129
2.716475248336792:	imu;	yaw,	1.0275626182556152
2.72348952293396:	imu;	yaw,	1.0286535024642944
2.743544578552246:	imu;	yaw,	1.029744267463684
2.753377676010132:	altitude;	altitude,	-24.810951232910156
2.773909091949463:	imu;	yaw,	1.0308351516723633
2.786900520324707:	altitude;	altitude,	-24.541439056396484
2.797550678253174:	imu;	yaw,	1.031925916671753
2.806800365447998:	imu;	yaw,	1.0330168008804321
2.8983609676361084:	gps;	lat,	42.42753982543945|	long,	-71.4208755493164|	altitude,	111.0|	found,	12
2.9033095836639404:	imu;	yaw,	1.0461066961288452
2.908015012741089:	imu;	yaw,	1.048288345336914
2.914658308029175:	imu;	yaw,	1.0504701137542725
2.924581289291382:	imu;	yaw,	1.0526517629623413
2.933259963989258:	imu;	yaw,	1.0548334121704102
2.9399757385253906:	altitude;	altitude,	-24.425180435180664
2.944336414337158:	imu;	yaw,	1.0581059455871582
2.9559903144836426:	imu;	yaw,	1.060287594795227
2.9677791595458984:	imu;	yaw,	1.062469244003296
2.974837064743042:	altitude;	altitude,	-24.631277084350586
2.9795963764190674:	imu;	yaw,	1.0646508932113647
2.9854612350463867:	imu;	yaw,	1.0668325424194336
2.994288444519043:	imu;	yaw,	1.0690141916275024
3.005155086517334:	imu;	yaw,	1.0711958408355713
3.015261173248291:	altitude;	altitude,	-24.721115112304688
3.020451545715332:	imu;	yaw,	1.072286605834961
3.024376630783081:	imu;	yaw,	1.0744683742523193
3.034510374069214:	imu;	yaw,	1.075559139251709
3.0452656745910645:	imu;	yaw,	1.0766500234603882
3.055569648742676:	imu;	yaw,	1.0777407884597778
3.0644447803497314:	altitude;	altitude,	-24.467456817626953
3.0720882415771484:	imu;	yaw,	1.078831672668457
3.0752294063568115:	imu;	yaw,	1.0799224376678467
3.0946080684661865:	imu;	yaw,	1.0810133218765259
3.1042590141296387:	altitude;	altitude,	-24.48331069946289
3.1294772624969482:	altitude;	altitude,	-24.48331069946289
3.1455483436584473:	imu;	yaw,	1.0799224376678467
3.161428928375244:	altitude;	altitude,	-24.509733200073242
3.1886558532714844:	altitude;	altitude,	-24.55200958251953
3.216134786605835:	altitude;	altitude,	-24.74753761291504
3.220287561416626:	imu;	yaw,	1.078831672668457
3.2477309703826904:	altitude;	altitude,	-24.647130966186523
3.2762012481689453:	altitude;	altitude,	-24.647130966186523
3.2789664268493652:	imu;	yaw,	1.0799224376678467
3.304884195327759:	altitude;	altitude,	-24.48859405517578
3.326098918914795:	imu;	yaw,	1.0810133218765259
3.3301892280578613:	altitude;	altitude,	-24.74753761291504
