2.525907516479492:	altitude;	altitude,	-22.9719295501709
2.53129506111145:	imu;	yaw,	0.0021816615480929613
2.5349643230438232:	imu;	yaw,	0.003272492438554764
2.556713819503784:	imu;	yaw,	0.004363323096185923
2.557574510574341:	servo;	20
2.5645906925201416:	servo;	7
2.5695600509643555:	altitude;	altitude,	-23.072336196899414
2.570887565612793:	motors;	0
2.5782079696655273:	servo;	-7
2.5830953121185303:	servo;	-16
2.5897905826568604:	servo;	-22
2.5944020748138428:	servo;	-24
2.5977513790130615:	imu;	yaw,	0.003272492438554764
2.6003096103668213:	motors;	-100
2.619729518890381:	altitude;	altitude,	-23.188594818115234
2.652561664581299:	altitude;	altitude,	-23.125181198120117
2.657794713973999:	imu;	yaw,	0.0021816615480929613
2.667938470840454:	imu;	yaw,	0.0010908307740464807
2.678870439529419:	imu;	yaw,	0.0
2.6848227977752686:	motors;	0
2.686854839324951:	imu;	yaw,	6.282094478607178
2.692963123321533:	motors;	100
2.696789503097534:	altitude;	altitude,	-22.961360931396484
2.704878568649292:	servo;	-9
2.707188844680786:	imu;	yaw,	6.281003952026367
2.7139718532562256:	servo;	9
2.7210116386413574:	servo;	21
2.727592706680298:	servo;	24
2.738558053970337:	altitude;	altitude,	-23.045913696289062
2.743196964263916:	imu;	yaw,	6.27991247177124
2.7572386264801025:	imu;	yaw,	6.27882194519043
2.76809024810791:	imu;	yaw,	6.277731895446777
2.7777159214019775:	altitude;	altitude,	-23.156888961791992
2.797974109649658:	imu;	yaw,	6.27882194519043
2.815642833709717:	altitude;	altitude,	-22.945507049560547
2.828529119491577:	imu;	yaw,	6.27991247177124
2.838629722595215:	imu;	yaw,	6.281003952026367
2.8460519313812256:	imu;	yaw,	6.282094478607178
2.8557279109954834:	altitude;	altitude,	-23.19916534423828
2.8602123260498047:	imu;	yaw,	0.0010908307740464807
2.868192434310913:	imu;	yaw,	0.003272492438554764
2.879089117050171:	imu;	yaw,	0.004363323096185923
2.891631603240967:	altitude;	altitude,	-23.225587844848633
2.896113157272339:	servo;	16
2.9030838012695312:	servo;	0
2.9085302352905273:	motors;	0
