1.2624845504760742:	imu;	yaw,	1.480257272720337
1.2677948474884033:	altitude;	altitude,	69.54200744628906
1.2717926502227783:	imu;	yaw,	1.480257272720337
1.2756643295288086:	imu;	yaw,	1.480257272720337
1.2861554622650146:	servo;	-4
1.2870173454284668:	imu;	yaw,	1.480257272720337
1.2884607315063477:	imu;	yaw,	1.480257272720337
1.3003716468811035:	imu;	yaw,	1.4791666269302368
1.3006641864776611:	imu;	yaw,	1.4791666269302368
1.3051626682281494:	imu;	yaw,	1.4791666269302368
1.3090534210205078:	imu;	yaw,	1.4791666269302368
1.3097834587097168:	servo;	-3
1.3125641345977783:	imu;	yaw,	1.4791666269302368
1.3187944889068604:	servo;	-2
1.3203270435333252:	encoder;	counts,	4
1.3244123458862305:	imu;	yaw,	1.4791666269302368
1.3254897594451904:	servo;	0
1.3302392959594727:	servo;	0
1.330885887145996:	imu;	yaw,	1.4791666269302368
1.3396735191345215:	imu;	yaw,	1.4791666269302368
1.3402376174926758:	servo;	0
1.345177412033081:	servo;	0
1.3464007377624512:	imu;	yaw,	1.4791666269302368
1.3515000343322754:	servo;	0
1.3527038097381592:	imu;	yaw,	1.4791666269302368
1.356562852859497:	servo;	0
1.3584821224212646:	imu;	yaw,	1.4791666269302368
1.3628160953521729:	servo;	0
1.365917682647705:	imu;	yaw,	1.4791666269302368
1.3726086616516113:	imu;	yaw,	1.4791666269302368
1.3764212131500244:	imu;	yaw,	1.4791666269302368
1.3816494941711426:	imu;	yaw,	1.4791666269302368
1.3867707252502441:	imu;	yaw,	1.4791666269302368
1.3918488025665283:	altitude;	altitude,	69.2090835571289
1.3968994617462158:	imu;	yaw,	1.4791666269302368
1.402083158493042:	imu;	yaw,	1.4791666269302368
1.402411699295044:	servo;	0
1.4073481559753418:	imu;	yaw,	1.4791666269302368
1.413776159286499:	imu;	yaw,	1.4791666269302368
1.4177284240722656:	imu;	yaw,	1.4791666269302368
1.4223120212554932:	imu;	yaw,	1.4791666269302368
1.4226574897766113:	servo;	0
1.4261791706085205:	imu;	yaw,	1.4791666269302368
1.433457612991333:	servo;	0
1.434636116027832:	encoder;	counts,	4
1.4392354488372803:	imu;	yaw,	1.4791666269302368
1.447413682937622:	imu;	yaw,	1.4791666269302368
1.4520933628082275:	imu;	yaw,	1.4791666269302368
1.457249641418457:	imu;	yaw,	1.4791666269302368
1.4625036716461182:	imu;	yaw,	1.4791666269302368
1.466555118560791:	imu;	yaw,	1.4791666269302368
