0.7100298404693604:	motors;	0
0.710127592086792:	imu;	yaw,	6.270095348358154
0.7135963439941406:	servo;	0
0.7174749374389648:	imu;	yaw,	6.269004821777344
0.7183001041412354:	motors;	0
0.7225487232208252:	servo;	0
0.7251806259155273:	imu;	yaw,	6.270095348358154
0.727360725402832:	motors;	0
0.730050802230835:	imu;	yaw,	6.270095348358154
0.7322173118591309:	servo;	0
0.7364492416381836:	imu;	yaw,	6.270095348358154
0.7373287677764893:	motors;	0
0.7432577610015869:	servo;	0
0.7433624267578125:	imu;	yaw,	6.270095348358154
0.7474000453948975:	motors;	0
0.7493281364440918:	imu;	yaw,	6.270095348358154
0.7517130374908447:	servo;	0
0.7571783065795898:	motors;	0
0.7572779655456543:	imu;	yaw,	6.270095348358154
0.7617714405059814:	imu;	yaw,	6.270095348358154
0.7630200386047363:	servo;	0
0.7701907157897949:	motors;	0
0.77030348777771:	imu;	yaw,	6.270095348358154
0.7751574516296387:	servo;	0
0.7771029472351074:	imu;	yaw,	6.270095348358154
0.7799355983734131:	motors;	0
0.7837750911712646:	imu;	yaw,	6.270095348358154
0.7846407890319824:	servo;	0
0.7903029918670654:	motors;	0
0.790395975112915:	imu;	yaw,	6.270095348358154
0.796891450881958:	servo;	0
0.7970058917999268:	imu;	yaw,	6.270095348358154
0.8015553951263428:	motors;	0
0.8016557693481445:	imu;	yaw,	6.270095348358154
0.8049077987670898:	servo;	0
0.809485673904419:	imu;	yaw,	6.270095348358154
0.8103146553039551:	motors;	0
0.8149785995483398:	servo;	0
0.818108081817627:	imu;	yaw,	6.270095348358154
0.819056510925293:	motors;	0
0.8236777782440186:	imu;	yaw,	6.269004821777344
0.8264057636260986:	servo;	0
0.8313088417053223:	motors;	0
0.8314158916473389:	imu;	yaw,	6.269004821777344
0.8363065719604492:	imu;	yaw,	6.269004821777344
0.8371696472167969:	servo;	0
0.8425428867340088:	motors;	0
0.8426387310028076:	imu;	yaw,	6.267913818359375
0.8459088802337646:	servo;	0
0.848482608795166:	imu;	yaw,	6.267913818359375
0.8506214618682861:	motors;	0
0.8574481010437012:	servo;	0
0.8575682640075684:	imu;	yaw,	6.2668232917785645
0.8601260185241699:	imu;	yaw,	6.265732288360596
0.8611099720001221:	motors;	0
0.8659038543701172:	servo;	0
0.8690185546875:	imu;	yaw,	6.265732288360596
0.8706939220428467:	motors;	0
0.8750061988830566:	servo;	0
0.8768641948699951:	imu;	yaw,	6.264641761779785
0.8796219825744629:	motors;	0
0.8829898834228516:	imu;	yaw,	6.263550281524658
0.8847043514251709:	servo;	0
0.8882403373718262:	imu;	yaw,	6.263550281524658
0.8891289234161377:	motors;	0
0.8948783874511719:	servo;	0
0.8949799537658691:	imu;	yaw,	6.262459754943848
0.8984405994415283:	motors;	0
0.9010021686553955:	imu;	yaw,	6.262459754943848
0.9034202098846436:	servo;	0
0.9087831974029541:	motors;	0
0.9088778495788574:	imu;	yaw,	6.262459754943848
0.9122719764709473:	servo;	0
0.916856050491333:	imu;	yaw,	6.262459754943848
0.9177610874176025:	motors;	0
0.92376708984375:	servo;	0
0.923875093460083:	imu;	yaw,	6.263550281524658
0.9275600910186768:	motors;	0
0.9303505420684814:	imu;	yaw,	6.263550281524658
0.9325995445251465:	servo;	0
0.9365744590759277:	imu;	yaw,	6.264641761779785
0.937434196472168:	motors;	0
0.9435379505157471:	servo;	0
0.9436428546905518:	imu;	yaw,	6.265732288360596
0.9481654167175293:	motors;	0
0.9482946395874023:	imu;	yaw,	6.265732288360596
0.9514973163604736:	servo;	0
0.9547743797302246:	imu;	yaw,	6.265732288360596
0.9563689231872559:	motors;	0
0.9620323181152344:	servo;	0
0.9621295928955078:	imu;	yaw,	6.265732288360596
0.9648952484130859:	motors;	0
0.9686944484710693:	imu;	yaw,	6.2668232917785645
0.9697856903076172:	servo;	0
0.9750504493713379:	imu;	yaw,	6.2668232917785645
0.9759001731872559:	motors;	0
0.9818668365478516:	servo;	0
0.9819750785827637:	imu;	yaw,	6.2668232917785645
0.9873874187469482:	motors;	0
0.9874889850616455:	encoder;	counts,	0
0.9912919998168945:	imu;	yaw,	6.267913818359375
0.9923319816589355:	servo;	0
0.9980924129486084:	motors;	0
0.9981858730316162:	imu;	yaw,	6.267913818359375
1.0015490055084229:	servo;	0
1.003669023513794:	imu;	yaw,	6.269004821777344
1.0058717727661133:	motors;	0
1.011927843093872:	servo;	0
1.0120320320129395:	imu;	yaw,	6.269004821777344
1.0167930126190186:	motors;	0
1.0193219184875488:	imu;	yaw,	6.269004821777344
1.0215353965759277:	servo;	0
1.0272595882415771:	motors;	0
1.0273563861846924:	imu;	yaw,	6.270095348358154
1.030942440032959:	servo;	0
1.033616304397583:	imu;	yaw,	6.271186828613281
1.0351085662841797:	motors;	0
1.0408713817596436:	servo;	0
1.0409820079803467:	imu;	yaw,	6.271186828613281
1.0453240871429443:	motors;	0
1.0454246997833252:	imu;	yaw,	6.272277355194092
1.0495388507843018:	servo;	0
1.0514435768127441:	imu;	yaw,	6.272277355194092
1.053556203842163:	motors;	0
1.0593757629394531:	servo;	0
1.0594706535339355:	imu;	yaw,	6.2733683586120605
1.0628173351287842:	motors;	0
1.0686554908752441:	servo;	0
1.0687894821166992:	imu;	yaw,	6.274458885192871
1.07322096824646:	motors;	0
1.0733637809753418:	imu;	yaw,	6.27554988861084
1.076214075088501:	servo;	0
1.0825297832489014:	imu;	yaw,	6.27554988861084
1.0837018489837646:	motors;	0
1.0875444412231445:	imu;	yaw,	6.27664041519165
1.0886740684509277:	servo;	0
1.094635248184204:	motors;	0
1.0947680473327637:	imu;	yaw,	6.277731895446777
1.101156234741211:	servo;	0
1.101318597793579:	imu;	yaw,	6.277731895446777
1.1037921905517578:	motors;	0
1.108398675918579:	imu;	yaw,	6.27882194519043
1.1096246242523193:	servo;	0
1.114830732345581:	motors;	0
1.1149611473083496:	imu;	yaw,	6.27991247177124
1.1221592426300049:	servo;	0
1.122288703918457:	imu;	yaw,	6.27991247177124
1.1246445178985596:	motors;	0
1.1305887699127197:	imu;	yaw,	6.281003952026367
1.1318552494049072:	servo;	0
1.1360182762145996:	imu;	yaw,	6.282094478607178
1.1369662284851074:	motors;	0
1.142601728439331:	imu;	yaw,	0.0
1.1437108516693115:	servo;	0
1.1493375301361084:	motors;	0
1.1494591236114502:	imu;	yaw,	0.0
1.1543211936950684:	imu;	yaw,	0.0021816615480929613
1.1555228233337402:	servo;	0
1.1598849296569824:	motors;	0
1.162989616394043:	imu;	yaw,	0.0021816615480929613
1.1651856899261475:	servo;	0
1.170799732208252:	motors;	0
1.1709201335906982:	imu;	yaw,	0.004363323096185923
1.1774442195892334:	servo;	0
1.1775753498077393:	imu;	yaw,	0.006544984877109528
1.1806564331054688:	motors;	0
1.1834487915039062:	imu;	yaw,	0.006544984877109528
1.1860322952270508:	servo;	0
1.190514326095581:	motors;	0
1.193723440170288:	imu;	yaw,	0.010908308438956738
1.1964716911315918:	servo;	0
1.1997065544128418:	imu;	yaw,	0.010908308438956738
1.2007083892822266:	motors;	0
1.2045848369598389:	imu;	yaw,	0.013089969754219055
1.2058169841766357:	servo;	0
1.2100841999053955:	motors;	0
1.2135415077209473:	imu;	yaw,	0.013089969754219055
1.215583324432373:	servo;	0
1.2203538417816162:	imu;	yaw,	0.01636246219277382
1.2217745780944824:	motors;	0
1.2277231216430664:	imu;	yaw,	0.01854412443935871
1.23024320602417:	servo;	-2
1.2329308986663818:	imu;	yaw,	0.01854412443935871
1.234618902206421:	motors;	0
1.240128993988037:	servo;	-1
1.2402522563934326:	imu;	yaw,	0.020725784823298454
1.2455360889434814:	motors;	0
1.2456610202789307:	imu;	yaw,	0.023998279124498367
1.2508296966552734:	servo;	-1
1.2509815692901611:	imu;	yaw,	0.023998279124498367
1.2537181377410889:	motors;	0
1.260303020477295:	imu;	yaw,	0.02617993950843811
1.261394739151001:	servo;	-1
1.2650361061096191:	imu;	yaw,	0.028361601755023003
1.2660183906555176:	motors;	0
1.2708091735839844:	servo;	0
1.2741591930389404:	imu;	yaw,	0.028361601755023003
1.2758948802947998:	motors;	0
1.2816987037658691:	imu;	yaw,	0.030543264001607895
1.2837095260620117:	servo;	0
1.2879014015197754:	imu;	yaw,	0.03163409233093262
1.288954257965088:	motors;	0
1.2925536632537842:	imu;	yaw,	0.03163409233093262
1.2939271926879883:	servo;	0
1.2999417781829834:	motors;	0
1.300065279006958:	imu;	yaw,	0.03381575644016266
1.3056108951568604:	imu;	yaw,	0.03490658476948738
1.3069357872009277:	servo;	0
1.314485788345337:	motors;	0
1.3146400451660156:	imu;	yaw,	0.03490658476948738
1.3215606212615967:	imu;	yaw,	0.0359974168241024
1.3227591514587402:	servo;	0
1.3268687725067139:	motors;	0
1.3297126293182373:	imu;	yaw,	0.0359974168241024
1.3352909088134766:	servo;	0
1.3355121612548828:	imu;	yaw,	0.0359974168241024
1.3372912406921387:	motors;	0
1.3446848392486572:	imu;	yaw,	0.0359974168241024
1.3482980728149414:	servo;	0
1.3485243320465088:	imu;	yaw,	0.03708824887871742
1.3519890308380127:	motors;	0
1.3521108627319336:	imu;	yaw,	0.03708824887871742
1.3575117588043213:	servo;	0
1.3576419353485107:	imu;	yaw,	0.03708824887871742
1.3600795269012451:	motors;	0
1.3641979694366455:	imu;	yaw,	0.0359974168241024
1.3653218746185303:	servo;	0
1.371845006942749:	motors;	0
1.3719708919525146:	imu;	yaw,	0.0359974168241024
1.3778765201568604:	servo;	0
1.3806498050689697:	imu;	yaw,	0.0359974168241024
1.3822641372680664:	motors;	0
1.3859539031982422:	imu;	yaw,	0.03490658476948738
1.386965274810791:	servo;	0
1.391793966293335:	imu;	yaw,	0.03490658476948738
1.3928260803222656:	motors;	0
1.3993000984191895:	servo;	0
1.3994262218475342:	imu;	yaw,	0.03490658476948738
1.405691146850586:	motors;	0
1.4058701992034912:	imu;	yaw,	0.03490658476948738
1.413928508758545:	servo;	0
1.4140760898590088:	imu;	yaw,	0.03490658476948738
1.4158856868743896:	motors;	0
1.4198050498962402:	imu;	yaw,	0.03381575644016266
1.4210951328277588:	servo;	0
1.4272587299346924:	motors;	0
1.427389144897461:	imu;	yaw,	0.03381575644016266
1.4350004196166992:	servo;	0
1.4351530075073242:	imu;	yaw,	0.03381575644016266
1.4378061294555664:	motors;	0
1.4407665729522705:	imu;	yaw,	0.03163409233093262
