num, long, lat
6700, -71.42079393528847, 42.42711084669835
6750, -71.42080117203611, 42.427110631219115
6800, -71.4208074041335, 42.427110763209285
6850, -71.42081282598049, 42.4271108524969
6900, -71.42082035160794, 42.427111330318176
6950, -71.42082646780013, 42.42710987695643
7000, -71.42083200000242, 42.427110488363596
7050, -71.42083803209941, 42.427110774753
7100, -71.42084456965614, 42.42711103514995
7150, -71.42085065142957, 42.427111319601686
7200, -71.42085624073364, 42.42711156055333
7250, -71.42086359693457, 42.42711211869981
7300, -71.42086986953171, 42.42711243905633
7350, -71.42087642614538, 42.42711170102112
7400, -71.4208830294875, 42.427112211340074
7450, -71.42088930764417, 42.42711288200594
7500, -71.42089374386964, 42.427113359615156
7550, -71.42090000953144, 42.427114014570215
7600, -71.42090571901069, 42.42711452844397
