0.008246660232543945:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.340425968170166:	imu;	yaw,	-1.4998923540115356|	accel_x,	-0.4099999964237213|	accel_y,	0.3700000047683716|	compass,	1.255502700805664|	ang_vx,	-0.6841690540313721|	ang_vy,	0.3839724361896515
4.402951717376709:	servo;	-13
4.419335842132568:	servo;	-12
4.4277143478393555:	servo;	-11
4.439432621002197:	servo;	-10
4.513011693954468:	servo;	0
4.523291110992432:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.540864944458008:	imu;	yaw,	-1.4649858474731445|	accel_x,	-0.28999999165534973|	accel_y,	0.019999999552965164|	compass,	1.518807053565979|	ang_vx,	-0.984365701675415|	ang_vy,	0.10471976548433304
4.679842233657837:	imu;	yaw,	-1.4508049488067627|	accel_x,	-0.30000001192092896|	accel_y,	0.5699999928474426|	compass,	1.6312248706817627|	ang_vx,	-0.3490658700466156|	ang_vy,	-0.7470009326934814
4.721776008605957:	gps;	long,	0.0|	lat,	0.0|	fix,	False
4.741341590881348:	imu;	yaw,	-1.4540774822235107|	accel_x,	-0.05000000074505806|	accel_y,	-0.15000000596046448|	compass,	1.591447353363037|	ang_vx,	1.284562349319458|	ang_vy,	0.27925270795822144
4.743596076965332:	blue_led;	219
4.748017072677612:	motors;	-86
4.753798961639404:	blue_led;	198
4.758154392242432:	motors;	-77
4.764155864715576:	blue_led;	182
4.7685675621032715:	motors;	-71
4.773039102554321:	blue_led;	160
4.77751612663269:	motors;	-62
4.783502817153931:	blue_led;	143
4.787883758544922:	motors;	-56
4.792412757873535:	blue_led;	128
4.796760082244873:	motors;	-50
4.801219463348389:	blue_led;	119
4.805544137954712:	motors;	-46
4.8112874031066895:	blue_led;	0
4.8156445026397705:	motors;	0
4.91901707649231:	imu;	yaw,	-1.4638949632644653|	accel_x,	-0.4399999976158142|	accel_y,	-1.8899999856948853|	compass,	1.2446472644805908|	ang_vx,	-1.6755162477493286|	ang_vy,	0.7819075584411621
5.1225266456604:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.138739824295044:	imu;	yaw,	-1.4758942127227783|	accel_x,	-0.28999999165534973|	accel_y,	-0.9300000071525574|	compass,	1.4123101234436035|	ang_vx,	0.013962634839117527|	ang_vy,	0.0069813174195587635
5.187716007232666:	blue_led;	108
5.19228720664978:	motors;	42
5.199300050735474:	blue_led;	199
5.20368504524231:	motors;	78
5.209458827972412:	blue_led;	255
5.213849067687988:	motors;	100
5.239711761474609:	imu;	yaw,	-1.4780758619308472|	accel_x,	0.019999999552965164|	accel_y,	-0.7799999713897705|	compass,	1.426447868347168|	ang_vx,	-0.45378562808036804|	ang_vy,	0.06981317698955536
5.321818590164185:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.3984599113464355:	imu;	yaw,	-1.476984977722168|	accel_x,	-0.18000000715255737|	accel_y,	-0.6600000262260437|	compass,	1.418463110923767|	ang_vx,	-0.30019664764404297|	ang_vy,	0.04886922240257263
5.521604299545288:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.603615999221802:	servo;	-10
5.639037609100342:	servo;	-11
5.66356086730957:	servo;	-12
5.7024102210998535:	servo;	-13
5.722196102142334:	gps;	long,	0.0|	lat,	0.0|	fix,	False
5.747133255004883:	servo;	-14
5.922122240066528:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.122845649719238:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.202348232269287:	servo;	-13
6.219327926635742:	servo;	-12
6.249105215072632:	imu;	yaw,	-1.4649858474731445|	accel_x,	-0.3700000047683716|	accel_y,	-0.27000001072883606|	compass,	1.386379361152649|	ang_vx,	-0.08377581089735031|	ang_vy,	-0.04886922240257263
6.322157859802246:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.4282732009887695:	imu;	yaw,	-1.4726216793060303|	accel_x,	0.23000000417232513|	accel_y,	-0.5699999928474426|	compass,	1.2969242334365845|	ang_vx,	-1.0471975803375244|	ang_vy,	0.21642082929611206
6.4798970222473145:	servo;	-11
6.4898340702056885:	servo;	-10
6.513423204421997:	servo;	0
6.5220489501953125:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.539371490478516:	imu;	yaw,	-1.4813481569290161|	accel_x,	-0.4099999964237213|	accel_y,	-0.4099999964237213|	compass,	1.5529310703277588|	ang_vx,	0.15358898043632507|	ang_vy,	0.41887906193733215
6.721770763397217:	gps;	long,	0.0|	lat,	0.0|	fix,	False
6.740303993225098:	imu;	yaw,	-1.4813481569290161|	accel_x,	0.46000000834465027|	accel_y,	-0.38999998569488525|	compass,	1.4142738580703735|	ang_vx,	-1.333431601524353|	ang_vy,	0.516617476940155
6.779063701629639:	imu;	yaw,	-1.471530795097351|	accel_x,	0.46000000834465027|	accel_y,	0.3700000047683716|	compass,	1.3694791793823242|	ang_vx,	0.4328416585922241|	ang_vy,	0.21642082929611206
6.843252658843994:	servo;	-10
6.929285764694214:	imu;	yaw,	-1.4453507661819458|	accel_x,	0.25|	accel_y,	1.1699999570846558|	compass,	1.2140557765960693|	ang_vx,	1.535889744758606|	ang_vy,	-0.13264502584934235
7.079685926437378:	imu;	yaw,	-1.4311699867248535|	accel_x,	-0.18000000715255737|	accel_y,	-0.11999999731779099|	compass,	1.6368001699447632|	ang_vx,	2.052507162094116|	ang_vy,	-0.11170107871294022
7.122861623764038:	gps;	long,	0.0|	lat,	0.0|	fix,	False
7.140892267227173:	imu;	yaw,	-1.43771493434906|	accel_x,	0.05000000074505806|	accel_y,	-0.25999999046325684|	compass,	1.6192872524261475|	ang_vx,	0.4747295677661896|	ang_vy,	0.20943953096866608
7.263583183288574:	servo;	0
7.322006940841675:	gps;	long,	0.0|	lat,	0.0|	fix,	False
7.522680282592773:	gps;	long,	0.0|	lat,	0.0|	fix,	False
7.5385236740112305:	imu;	yaw,	-1.4333516359329224|	accel_x,	-0.6399999856948853|	accel_y,	0.3499999940395355|	compass,	1.4127761125564575|	ang_vx,	-1.4311699867248535|	ang_vy,	0.5096361637115479
7.68892765045166:	imu;	yaw,	-1.4137166738510132|	accel_x,	0.5|	accel_y,	-0.18000000715255737|	compass,	1.4483766555786133|	ang_vx,	0.05585053935647011|	ang_vy,	0.6492624878883362
7.7222301959991455:	gps;	long,	0.0|	lat,	0.0|	fix,	False
7.76836895942688:	imu;	yaw,	-1.4071717262268066|	accel_x,	0.25999999046325684|	accel_y,	0.15000000596046448|	compass,	1.3012899160385132|	ang_vx,	-0.2583087384700775|	ang_vy,	0.8307767510414124
7.788613557815552:	imu;	yaw,	-1.4038991928100586|	accel_x,	-1.0700000524520874|	accel_y,	0.019999999552965164|	compass,	1.303626537322998|	ang_vx,	-0.07679449021816254|	ang_vy,	-0.08377581089735031
7.968323469161987:	imu;	yaw,	-1.3711743354797363|	accel_x,	0.07999999821186066|	accel_y,	-0.38999998569488525|	compass,	1.1104810237884521|	ang_vx,	0.5026548504829407|	ang_vy,	0.1186823919415474
8.018935918807983:	imu;	yaw,	-1.3668110370635986|	accel_x,	-0.5099999904632568|	accel_y,	-0.28999999165534973|	compass,	1.2518490552902222|	ang_vx,	1.0122910737991333|	ang_vy,	-0.39095377922058105
8.122752904891968:	gps;	long,	0.0|	lat,	0.0|	fix,	False
8.20412015914917:	blue_led;	0
8.20871615409851:	motors;	0
8.32248330116272:	gps;	long,	0.0|	lat,	0.0|	fix,	False
8.408621072769165:	imu;	yaw,	-1.3089970350265503|	accel_x,	0.7599999904632568|	accel_y,	1.75|	compass,	1.1996221542358398|	ang_vx,	-3.3370697498321533|	ang_vy,	0.2024582028388977
8.522667169570923:	gps;	long,	0.0|	lat,	0.0|	fix,	False
8.539579391479492:	imu;	yaw,	-1.2991795539855957|	accel_x,	-0.3100000023841858|	accel_y,	1.100000023841858|	compass,	1.1159348487854004|	ang_vx,	-0.20943953096866608|	ang_vy,	-0.1186823919415474
8.708759307861328:	imu;	yaw,	-1.2926344871520996|	accel_x,	0.05999999865889549|	accel_y,	1.1200000047683716|	compass,	1.3019955158233643|	ang_vx,	0.13264502584934235|	ang_vy,	0.12566371262073517
8.72187328338623:	gps;	long,	0.0|	lat,	0.0|	fix,	False
8.740014791488647:	imu;	yaw,	-1.2926344871520996|	accel_x,	0.10999999940395355|	accel_y,	0.7300000190734863|	compass,	1.3259764909744263|	ang_vx,	0.0|	ang_vy,	0.04886922240257263
8.762010335922241:	imu;	yaw,	-1.2937253713607788|	accel_x,	0.019999999552965164|	accel_y,	0.4300000071525574|	compass,	1.3259764909744263|	ang_vx,	-0.09075712412595749|	ang_vy,	-0.05585053935647011
9.122282028198242:	gps;	long,	0.0|	lat,	0.0|	fix,	False
9.14152979850769:	imu;	yaw,	-1.2948161363601685|	accel_x,	0.05000000074505806|	accel_y,	-0.03999999910593033|	compass,	1.3018155097961426|	ang_vx,	-0.041887905448675156|	ang_vy,	-0.013962634839117527
