,servo_steering,builtin_accel,,,gps,,,,,encoder
timestamp,position,x,y,z,lat,long,speed,heading,hdop,counts
0.637549638748169,0,5,1,21,0,0.0,0,0.0,0.0,0
0.6428353786468506,0,5,1,21,0,0.0,0,0.0,0.0,0
0.6480741500854492,0,5,1,21,0,0.0,0,0.0,0.0,0
0.653383731842041,0,5,1,21,0,0.0,0,0.0,0.0,0
0.6586971282958984,0,5,1,21,0,0.0,0,0.0,0.0,0
0.6640121936798096,0,5,1,21,0,0.0,0,0.0,0.0,0
0.6693239212036133,0,4,0,21,0,0.0,0,0.0,0.0,0
0.6746420860290527,0,4,0,21,0,0.0,0,0.0,0.0,0
0.6798868179321289,0,4,0,21,0,0.0,0,0.0,0.0,0
0.6851961612701416,0,4,0,21,0,0.0,0,0.0,0.0,0
0.6905133724212646,0,4,0,21,0,0.0,0,0.0,0.0,0
0.6958296298980713,0,4,0,21,0,0.0,0,0.0,0.0,0
0.7011454105377197,0,4,0,21,0,0.0,0,0.0,0.0,0
0.7064559459686279,0,4,0,21,0,0.0,0,0.0,0.0,0
0.7117235660552979,0,4,0,21,0,0.0,0,0.0,0.0,0
0.7169198989868164,0,4,0,21,0,0.0,0,0.0,0.0,0
0.7222292423248291,0,4,0,21,0,0.0,0,0.0,0.0,0
0.7274527549743652,0,6,-1,22,0,0.0,0,0.0,0.0,0
0.7327783107757568,0,6,-1,22,0,0.0,0,0.0,0.0,0
0.7381002902984619,0,6,-1,22,0,0.0,0,0.0,0.0,0
0.7434155941009521,0,6,-1,22,0,0.0,0,0.0,0.0,0
0.7486405372619629,0,6,-1,22,0,0.0,0,0.0,0.0,0
0.7539513111114502,0,6,-1,22,0,0.0,0,0.0,0.0,0
0.7591731548309326,0,6,-1,22,0,0.0,0,0.0,0.0,0
0.7644839286804199,0,6,-1,22,0,0.0,0,0.0,0.0,0
0.7698156833648682,0,6,-1,22,0,0.0,0,0.0,0.0,0
0.7751283645629883,0,6,-1,22,0,0.0,0,0.0,0.0,0
0.7804427146911621,0,6,-1,22,0,0.0,0,0.0,0.0,0
0.7857556343078613,0,6,-1,22,0,0.0,0,0.0,0.0,0
0.7910711765289307,0,6,-1,22,0,0.0,0,0.0,0.0,0
0.7963864803314209,0,6,-1,22,0,0.0,0,0.0,0.0,0
0.8016982078552246,0,7,0,21,0,0.0,0,0.0,0.0,0
0.8070194721221924,0,7,0,21,0,0.0,0,0.0,0.0,0
0.8123354911804199,0,7,0,21,0,0.0,0,0.0,0.0,0
0.8184406757354736,0,7,0,21,0,0.0,0,0.0,0.0,0
0.8237495422363281,0,7,0,21,0,0.0,0,0.0,0.0,0
0.8290653228759766,0,7,0,21,0,0.0,0,0.0,0.0,0
0.8344249725341797,0,7,0,21,0,0.0,0,0.0,0.0,0
0.8397476673126221,0,7,0,21,0,0.0,0,0.0,0.0,0
0.8450593948364258,0,7,0,21,0,0.0,0,0.0,0.0,0
