0.7989251613616943:	lidar;	348
0.7998671531677246:	lidar;	9	6
0.8028850555419922:	lidar;	282
0.8125641345977783:	lidar;	220
0.8125791549682617:	lidar;	194
0.8125851154327393:	lidar;	10	6
0.8191940784454346:	lidar;	177
0.8198721408843994:	lidar;	100
0.8238260746002197:	lidar;	97
0.828902006149292:	lidar;	93
0.8289141654968262:	lidar;	11	6
0.8318760395050049:	lidar;	91
0.8379330635070801:	lidar;	85
0.8419110774993896:	lidar;	86
0.8448920249938965:	lidar;	87
0.8449010848999023:	lidar;	12	6
0.8488671779632568:	lidar;	88
0.8538961410522461:	lidar;	89
0.8578841686248779:	lidar;	92
0.8628959655761719:	lidar;	89
0.8629050254821777:	lidar;	13	6
0.8658921718597412:	lidar;	85
0.8800671100616455:	lidar;	71
0.8813440799713135:	lidar;	66
0.8841230869293213:	lidar;	53
0.8868939876556396:	lidar;	42
0.8908951282501221:	lidar;	52
0.8948700428009033:	lidar;	52
0.8948771953582764:	lidar;	14	6
0.8988780975341797:	lidar;	53
0.9029150009155273:	lidar;	48
0.9068670272827148:	lidar;	52
0.9068741798400879:	lidar;	15	6
0.9098730087280273:	lidar;	56
0.9138631820678711:	lidar;	55
0.9189910888671875:	lidar;	51
0.9190061092376709:	lidar;	16	6
0.9238851070404053:	lidar;	54
0.9329311847686768:	lidar;	239
0.9483380317687988:	lidar;	1
0.9483540058135986:	lidar;	17	6
0.9489061832427979:	lidar;	51
0.952908992767334:	lidar;	118
0.9579730033874512:	lidar;	117
0.9618980884552002:	lidar;	99
0.9619100093841553:	lidar;	18	6
0.9669589996337891:	lidar;	99
0.9719531536102295:	lidar;	118
0.9759621620178223:	lidar;	125
0.9808712005615234:	lidar;	130
0.9849560260772705:	lidar;	354
0.9849700927734375:	lidar;	19	6
0.9879271984100342:	lidar;	549
0.9918689727783203:	lidar;	75
0.9969210624694824:	lidar;	71
0.9969320297241211:	lidar;	20	6
1.009277105331421:	lidar;	66
1.0111031532287598:	lidar;	59
1.0111160278320312:	lidar;	57
1.0138139724731445:	lidar;	51
1.0138270854949951:	lidar;	21	6
1.0178802013397217:	lidar;	51
1.0238490104675293:	lidar;	394
1.0278160572052002:	lidar;	392
1.0308191776275635:	lidar;	348
1.0318779945373535:	lidar;	22	6
1.0348541736602783:	lidar;	290
1.0398571491241455:	lidar;	218
1.0438730716705322:	lidar;	187
1.0478861331939697:	lidar;	170
1.0478990077972412:	lidar;	23	6
1.050889015197754:	lidar;	106
1.0558509826660156:	lidar;	97
1.059826135635376:	lidar;	95
1.0598351955413818:	lidar;	24	6
1.062873125076294:	lidar;	93
1.071364164352417:	lidar;	88
1.0733420848846436:	lidar;	87
1.0775420665740967:	lidar;	87
1.0775530338287354:	lidar;	25	6
1.079859972000122:	lidar;	88
1.0838730335235596:	lidar;	90
1.0872089862823486:	lidar;	92
1.0879650115966797:	lidar;	26	6
1.0908920764923096:	lidar;	90
1.0948371887207031:	lidar;	87
1.0988740921020508:	lidar;	86
1.0988850593566895:	lidar;	27	6
1.1028470993041992:	lidar;	70
1.1088581085205078:	lidar;	65
1.1128230094909668:	lidar;	53
1.117854118347168:	lidar;	45
1.1228680610656738:	lidar;	53
1.1278181076049805:	lidar;	54
1.1536831855773926:	lidar;	51
1.1536991596221924:	lidar;	28	6
1.1537070274353027:	lidar;	51
1.1537151336669922:	lidar;	56
1.1537220478057861:	lidar;	56
1.1537270545959473:	lidar;	29	6
1.1537330150604248:	lidar;	53
1.1578621864318848:	lidar;	181
1.1658601760864258:	lidar;	286
1.165891170501709:	lidar;	30	6
1.1738929748535156:	lidar;	1
1.1808521747589111:	lidar;	106
1.1858410835266113:	lidar;	118
1.1858530044555664:	lidar;	31	6
1.188819169998169:	lidar;	120
1.1948480606079102:	lidar;	83
1.1989400386810303:	lidar;	138
1.1989500522613525:	lidar;	32	6
1.2029249668121338:	lidar;	122
1.215574026107788:	lidar;	125
1.2177741527557373:	lidar;	313
1.2218501567840576:	lidar;	528
1.2258851528167725:	lidar;	74
1.2258961200714111:	lidar;	33	6
1.2298481464385986:	lidar;	71
1.233903169631958:	lidar;	63
1.2388479709625244:	lidar;	58
1.2428271770477295:	lidar;	55
1.2428359985351562:	lidar;	34	6
1.2458691596984863:	lidar;	53
1.2528769969940186:	lidar;	396
1.2579421997070312:	lidar;	393
1.2608261108398438:	lidar;	349
1.261803150177002:	lidar;	35	6
1.2649390697479248:	lidar;	271
1.2698860168457031:	lidar;	216
1.2808871269226074:	lidar;	182
1.2809481620788574:	lidar;	145
1.2858211994171143:	lidar;	97
1.2858340740203857:	lidar;	36	6
1.2878119945526123:	lidar;	97
1.292884111404419:	lidar;	93
1.2978169918060303:	lidar;	87
1.3018560409545898:	lidar;	87
1.305807113647461:	lidar;	87
1.3058140277862549:	lidar;	37	6
1.3098711967468262:	lidar;	89
1.3148281574249268:	lidar;	90
1.3209049701690674:	lidar;	90
1.324864149093628:	lidar;	87
1.3318381309509277:	lidar;	69
1.3421339988708496:	lidar;	64
1.3482561111450195:	lidar;	50
1.3482701778411865:	lidar;	48
1.3520350456237793:	lidar;	52
1.3557791709899902:	lidar;	50
1.3557851314544678:	lidar;	0	7
1.3588151931762695:	lidar;	54
1.363814115524292:	lidar;	50
1.366908073425293:	lidar;	52
1.3678209781646729:	lidar;	1	7
1.3708770275115967:	lidar;	57
1.3748271465301514:	lidar;	56
1.378810167312622:	lidar;	50
1.378817081451416:	lidar;	2	7
1.386890172958374:	lidar;	130
1.3949000835418701:	lidar;	284
1.3949170112609863:	lidar;	3	7
1.4081661701202393:	lidar;	1
1.4165520668029785:	lidar;	98
1.416604995727539:	lidar;	119
1.4166131019592285:	lidar;	4	7
1.4188690185546875:	lidar;	120
1.4228620529174805:	lidar;	85
1.427819013595581:	lidar;	134
1.4288029670715332:	lidar;	5	7
1.4328930377960205:	lidar;	125
1.4378271102905273:	lidar;	126
1.4448320865631104:	lidar;	305
1.448824167251587:	lidar;	530
1.4538791179656982:	lidar;	79
1.4578251838684082:	lidar;	75
1.4618031978607178:	lidar;	65
1.4736499786376953:	lidar;	60
1.4736649990081787:	lidar;	57
1.4772961139678955:	lidar;	55
1.480699062347412:	lidar;	55
1.4807121753692627:	lidar;	6	7
1.4838600158691406:	lidar;	385
1.488882064819336:	lidar;	388
1.4938549995422363:	lidar;	308
1.4988360404968262:	lidar;	223
1.5038671493530273:	lidar;	189
1.5038821697235107:	lidar;	7	7
1.5068070888519287:	lidar;	172
1.5118341445922852:	lidar;	100
1.516897201538086:	lidar;	98
1.5218610763549805:	lidar;	94
1.524878978729248:	lidar;	91
1.5248911380767822:	lidar;	8	7
1.5298051834106445:	lidar;	87
1.5367200374603271:	lidar;	87
1.5458130836486816:	lidar;	88
1.5458571910858154:	lidar;	90
1.547868013381958:	lidar;	92
1.5478780269622803:	lidar;	9	7
1.5519070625305176:	lidar;	90
1.5558381080627441:	lidar;	85
1.561824083328247:	lidar;	78
1.5658600330352783:	lidar;	71
1.5718531608581543:	lidar;	66
1.571869134902954:	lidar;	10	7
1.5758590698242188:	lidar;	47
1.5798029899597168:	lidar;	49
1.5848970413208008:	lidar;	51
1.5889160633087158:	lidar;	54
1.592820167541504:	lidar;	52
1.5928330421447754:	lidar;	11	7
1.5958430767059326:	lidar;	51
1.6065809726715088:	lidar;	55
1.6066350936889648:	lidar;	55
1.6066431999206543:	lidar;	12	7
1.6114931106567383:	lidar;	52
1.615880012512207:	lidar;	40
1.6248791217803955:	lidar;	253
1.6328470706939697:	lidar;	346
1.6338720321655273:	lidar;	13	7
1.6408870220184326:	lidar;	1
1.645827054977417:	lidar;	119
1.6508991718292236:	lidar;	117
1.6548340320587158:	lidar;	93
1.654844045639038:	lidar;	14	7
1.659830093383789:	lidar;	91
1.6671240329742432:	lidar;	119
1.6719131469726562:	lidar;	126
1.677225112915039:	lidar;	130
1.6778011322021484:	lidar;	358
1.6778090000152588:	lidar;	15	7
1.6808500289916992:	lidar;	549
1.6858611106872559:	lidar;	498
1.6898090839385986:	lidar;	83
1.6898159980773926:	lidar;	16	7
1.6928119659423828:	lidar;	75
1.6978180408477783:	lidar;	66
1.7018439769744873:	lidar;	60
1.7068791389465332:	lidar;	58
1.712831974029541:	lidar;	58
1.7169020175933838:	lidar;	385
1.7229039669036865:	lidar;	388
1.7354531288146973:	lidar;	354
1.7354710102081299:	lidar;	251
1.7354769706726074:	lidar;	17	7
1.7380471229553223:	lidar;	215
1.7436761856079102:	lidar;	183
